Seq,Positions
1,390-476
2,438-554
3,
4,6-125,191-272,320-515
5,97-189,242-426
6,318-523
7,291-441
8,353-517,525-611
9,419-569
10,366-512
11,367-593
12,347-438,500-600
13,115-232,390-463
14,93-164,376-472
15,217-458
16,297-375,435-522
17,269-494
18,225-374,384-524
19,452-538
20,117-200,322-478
21,49-145,207-503
22,353-550
23,341-470
24,325-476
25,
26,348-463
27,310-436
28,346-453
29,251-450
30,279-460
31,286-454
32,342-473
33,295-383
34,192-451
35,360-462,473-606
36,383-540
37,352-449,531-611
38,388-574
39,307-494
40,356-518
41,355-610
42,
43,179-323,381-457
44,232-316,381-462
45,346-458
46,209-441
47,285-534
48,27-114
49,157-305,354-425,470-570
50,278-510
51,488-578
52,313-594
53,346-430
54,368-448
55,0-96,416-501
56,282-484
57,247-366,385-518
58,252-385
59,387-494
60,403-521
61,
62,182-254,272-460
63,312-526
64,41-144,229-320,406-507
65,336-491
66,339-518
67,322-513
68,373-470
69,302-447,460-611
70,278-358,363-516
71,195-284,290-473
72,348-501
73,331-440,506-611
74,24-113,357-429
75,40-115,126-226
76,327-549
77,222-313,321-435
78,348-508
79,108-258
80,
81,197-443
82,293-521
83,191-482
84,355-434
85,338-478
86,476-548
87,324-409
88,0-72,339-432
89,229-547
90,301-432
91,260-371,390-548
92,227-551
93,
94,258-514
95,291-492
96,269-466,480-601
97,54-426
98,353-448
99,345-430
100,341-417,509-585
101,184-300,372-462
102,285-554
103,302-379,538-609
104,183-297
105,404-483
106,326-405
107,256-483
108,246-325,351-579
109,160-312,389-515
110,317-468
111,279-415,523-611
112,350-531
113,217-289,352-520
114,373-477
115,184-475
116,384-460
117,345-545
118,324-432
119,318-563
120,323-480
121,377-486
122,362-472
123,225-324,341-440
124,0-115,310-435,469-558
125,306-435
126,236-490
127,320-508
128,160-259,341-472
129,331-467,493-566
130,346-448,511-611
131,0-120,381-497
132,351-457
133,47-207,323-423
134,328-400
135,78-176
136,340-505
137,
138,467-549
139,394-549
140,268-480
141,350-560
142,333-611
143,376-492
144,
145,
146,141-239
147,316-466,494-581
148,
149,272-353
150,
151,161-486
152,0-80,340-428
153,361-491
154,338-491
155,57-298,378-467
156,237-538
157,360-535
158,0-156,338-499
159,375-537
160,
161,322-440,452-523
162,306-389
163,332-456
164,328-539
165,202-457
166,265-484
167,327-442
168,48-160,370-611
169,403-477
170,207-418
171,329-436
172,449-542
173,317-584
174,363-471
175,325-461
176,0-123,260-475
177,377-503
178,107-182,226-306,344-431
179,347-523
180,171-422
181,403-491
182,270-421
183,298-467
184,292-412
185,320-611
186,370-441
187,215-302,329-462
188,191-273,326-493,538-611
189,348-449
190,15-216
191,329-400
192,387-471
193,321-527
194,334-611
195,337-462
196,
197,10-88,357-459,504-595
198,298-420,430-531
199,211-316,328-454
200,208-458
201,322-413
202,335-444,481-578
203,242-315,401-515
204,352-442
205,289-482
206,359-533
207,347-446
208,335-516
209,268-349,362-580
210,397-578
211,153-250,342-490
212,394-530
213,241-420
214,330-440
215,403-514
216,
217,258-479
218,354-565
219,380-611
220,201-448
221,
222,320-415
223,0-71,347-446
224,
225,
226,330-416
