Organism,Seq,Positions,,
Haloferax_phv3,1,187-317,373-422,
Haloferax_phv4,2,446-489,,
Haloferax_phv5,3,403-461,,
Haloferax_phv6,4,269-454,,
Haloferax_phv7,5,29-107,388-478,
Haloferax_phv8,6,334-387,397-450,
Haloferax_phv9,7,353-501,,
Haloferax_phv10,8,367-475,,
Haloferax_phv11,9,392-463,,
Haloferax_phv12,10,401-489,,
Haloferax_phv13,11,203-276,399-448,
Haloferax_phv14,12,377-426,,
Haloferax_phv15,13,394-542,,
Haloferax_phv16,14,382-474,,
Haloferax_phv17,15,384-473,,
Haloferax_phv18,16,381-498,,
Haloferax_phv19,17,265-358,366-445,
Haloferax_phv20,18,398-461,,
Haloferax_phv21,19,361-523,,
Haloferax_phv22,20,283-452,,
Haloferax_phv23,21,365-454,,
Haloferax_phv24,22,389-465,,
Haloferax_phv25,23,387-463,,
Haloferax_phv26,24,348-421,,
Haloferax_phv27,25,4-81,369-461,
Haloferax_phv28,26,326-366,396-502,
Haloferax_phv29,27,405-461,540-613,
Haloferax_phv30,28,397-441,,
Haloferax_phv31,29,122-388,,
Haloferax_phv32,30,157-290,,
Haloferax_phv33,31,285-346,395-456,
Haloferax_phv34,32,216-260,390-477,
Haloferax_phv35,33,193-269,370-472,
Haloferax_phv36,34,0-89,370-462,
Haloferax_phv37,35,,,
Haloferax_phv38,36,250-447,,
Haloferax_phv39,37,398-451,,
Haloferax_phv40,38,288-393,,
Haloferax_phv41,39,275-357,365-442,
Haloferax_phv42,40,400-460,,
Haloferax_phv43,41,253-446,,
Haloferax_phv44,42,371-567,,
Haloferax_phv45,43,48-97,399-465,
Haloferax_phv46,44,415-454,,
Haloferax_phv47,45,245-301,419-509,
Haloferax_phv48,46,,,
Haloferax_phv49,47,299-368,,
Haloferax_phv50,48,0-69,365-453,
Haloferax_phv51,49,383-463,,
Haloferax_phv52,50,571-613,,
Haloferax_phv53,51,157-310,,
Haloferax_phv54,52,395-452,,
Haloferax_phv55,53,305-508,,
Haloferax_phv56,54,404-465,490-548,
Haloferax_phv57,55,315-444,,
Haloferax_phv58,56,254-343,381-469,
Haloferax_phv59,57,45-109,173-227,407-452
Haloferax_phv60,58,387-456,,
Haloferax_phv61,59,0-59,340-446,
Haloferax_phv62,60,561-597,,
Haloferax_phv63,61,,,
Haloferax_phv64,62,376-470,,
Haloferax_phv65,63,391-485,,
Haloferax_phv66,64,226-279,422-478,
Haloferax_phv67,65,226-301,421-500,
Haloferax_phv68,66,346-406,418-470,
Haloferax_phv69,67,363-444,,
Haloferax_phv70,68,296-358,,
Haloferax_phv71,69,,,
Haloferax_phv72,70,281-361,371-506,519-560
Haloferax_phv73,71,159-244,335-428,
Haloferax_phv74,72,314-386,396-476,
Haloferax_phv75,73,307-445,479-537,
Haloferax_phv76,74,298-337,,
Haloferax_phv77,75,,,
Haloferax_phv78,76,362-452,,
Haloferax_phv79,77,307-369,381-471,
Haloferax_phv80,78,394-457,,
Haloferax_phv81,79,196-287,385-454,
Haloferax_phv82,80,376-463,,
Haloferax_phv83,81,19-101,168-215,382-447
Haloferax_phv84,82,376-466,,
Haloferax_phv85,83,401-472,,
Haloferax_phv86,84,331-489,,
Haloferax_phv87,85,273-315,402-514,
Haloferax_phv88,86,237-305,,
Haloferax_phv89,87,312-480,,
Haloferax_phv90,88,398-478,,
Haloferax_phv91,89,390-473,,
Haloferax_phv92,90,306-353,,
Haloferax_phv93,91,51-115,446-512,
Haloferax_phv94,92,416-484,,
Haloferax_phv95,93,385-499,,
Haloferax_phv96,94,402-483,,
Haloferax_phv97,95,53-98,389-488,
Haloferax_phv98,96,322-362,416-467,
Haloferax_phv99,97,225-309,,
Haloferax_phv100,98,198-245,388-460,
Haloferax_phv101,99,302-347,359-474,
