Organism,Seq,Positions,,,
Haloferax,1,385-474,,,
Haloferax,2,381-613,,,
Haloferax,3,,,,
Haloferax,4,312-362,470-517,,
Haloferax,5,272-428,,,
Haloferax,6,373-608,,,
Haloferax,7,38-92,416-461,,
Haloferax,8,395-481,,,
Haloferax,9,354-503,,,
Haloferax,10,77-128,148-206,,
Haloferax,11,287-352,,,
Haloferax,12,291-390,408-453,,
Haloferax,13,,,,
Haloferax,14,375-500,577-613,,
Haloferax,15,55-125,,,
Haloferax,16,324-425,,,
Haloferax,17,454-494,500-594,,
Haloferax,18,289-333,,,
Haloferax,19,111-160,,,
Haloferax,20,0-48,407-448,,
Haloferax,21,,,,
Haloferax,22,309-434,,,
Haloferax,23,279-319,,,
Haloferax,24,222-311,,,
Haloferax,25,266-325,344-429,,
Haloferax,26,341-414,497-554,,
Haloferax,27,400-455,,,
Haloferax,28,368-436,,,
Haloferax,29,234-325,,,
Haloferax,30,400-451,,,
Haloferax,31,398-449,,,
Haloferax,32,,,,
Haloferax,33,427-470,496-535,,
Haloferax,34,370-426,430-472,,
Haloferax,35,309-389,,,
Haloferax,36,403-464,,,
Haloferax,37,294-350,377-413,,
Haloferax,38,62-121,216-341,402-495,
Haloferax,39,358-467,,,
Haloferax,40,,,,
Haloferax,41,400-467,,,
Haloferax,42,336-400,527-580,,
Haloferax,43,367-460,,,
Haloferax,44,314-499,,,
Haloferax,45,431-520,,,
Haloferax,46,,,,
Haloferax,47,,,,
Haloferax,48,430-473,,,
Haloferax,49,195-286,408-461,,
Haloferax,50,283-329,,,
Haloferax,51,323-474,544-590,,
Haloferax,52,,,,
Haloferax,53,353-430,,,
Haloferax,54,394-469,,,
Haloferax,55,408-455,,,
Haloferax,56,422-490,,,
Haloferax,57,156-258,,,
Haloferax,58,391-450,,,
Haloferax,59,46-92,387-484,,
Haloferax,60,322-518,,,
Haloferax,61,310-443,,,
Haloferax,62,404-451,537-613,,
Haloferax,63,,,,
Haloferax,64,288-358,482-539,,
Haloferax,65,103-185,220-332,,
Haloferax,66,214-252,391-485,,
Haloferax,67,212-259,367-467,,
Haloferax,68,177-223,411-456,,
Haloferax,69,351-478,,,
Haloferax,70,167-356,378-416,,
Haloferax,71,345-465,,,
Haloferax,72,426-471,,,
Haloferax,73,,,,
Haloferax,74,242-301,404-457,,
Haloferax,75,539-609,,,
Haloferax,76,,,,
Haloferax,77,291-376,,,
Haloferax,78,,,,
Haloferax,79,385-471,,,
Haloferax,80,260-349,413-461,,
Haloferax,81,415-509,,,
Haloferax,82,0-66,,,
Haloferax,83,403-522,,,
Haloferax,84,141-195,,,
Haloferax,85,383-456,,,
Haloferax,86,,,,
Haloferax,87,343-475,,,
