Organism,Seq,Positions,,,,
Methano,1,0-64,160-416,,,
Methano,2,0-560,,,,
Methano,3,0-24,328-424,,,
Methano,4,56-216,312-416,,,
Methano,5,152-288,360-456,,,
Methano,6,0-448,,,,
Methano,7,200-536,,,,
Methano,8,304-448,,,,
Methano,9,232-400,,,,
Methano,10,24-48,312-560,,,
Methano,11,80-400,,,,
Methano,12,312-528,,,,
Methano,13,88-416,536-552,,,
Methano,14,0-544,,,,
Methano,15,184-528,,,,
Methano,16,240-312,,,,
Methano,17,136-280,368-408,,,
Methano,18,120-536,,,,
Methano,19,176-216,360-544,,,
Methano,20,384-488,,,,
Methano,21,0-72,192-544,,,
Methano,22,48-408,520-544,,,
Methano,23,168-432,536-544,,,
Methano,24,24-104,224-560,,,
Methano,25,184-296,,,,
Methano,26,120-160,280-424,488-520,,
Methano,27,176-456,,,,
Methano,28,144-424,464-536,,,
Methano,29,152-416,,,,
Methano,30,248-472,,,,
Methano,31,200-448,,,,
Methano,32,0-216,312-560,,,
Methano,33,0-80,232-440,,,
Methano,34,0-16,232-376,520-560,,
Methano,35,344-432,,,,
Methano,36,0-448,,,,
Methano,37,104-240,,,,
Methano,38,272-520,,,,
Methano,39,200-440,,,,
Methano,40,144-440,,,,
Methano,41,48-128,,,,
Methano,42,72-408,528-560,,,
Methano,43,88-128,352-440,,,
Methano,44,64-320,480-560,,,
Methano,45,128-184,280-456,536-544,,
Methano,46,184-192,384-400,536-560,,
Methano,47,224-448,,,,
Methano,48,256-472,,,,
Methano,49,240-320,456-512,,,
Methano,50,0-392,472-560,,,
Methano,51,8-192,408-560,,,
Methano,52,352-416,,,,
Methano,53,168-272,384-496,,,
Methano,54,216-520,,,,
Methano,55,232-480,,,,
Methano,56,168-536,,,,
Methano,57,16-96,216-280,368-472,,
Methano,58,8-80,184-288,368-408,480-520,
Methano,59,256-448,,,,
Methano,60,0-56,256-504,,,
Methano,61,320-552,,,,
Methano,62,0-504,,,,
Methano,63,192-400,,,,
Methano,64,0-24,152-360,,,
Methano,65,128-440,,,,
Methano,66,56-72,312-560,,,
Methano,67,0-16,48-56,280-544,,
Methano,68,152-232,360-376,472-552,,
Methano,69,0-32,248-360,,,
Methano,70,328-560,,,,
Methano,71,0-176,224-408,,,
Methano,72,0-456,528-560,,,
Methano,73,176-264,312-432,504-560,,
Methano,74,0-64,192-408,464-472,,
Methano,75,168-232,296-456,,,
Methano,76,136-184,360-408,,,
Methano,77,112-440,,,,
Methano,78,0-56,168-432,520-544,,
Methano,79,0-168,,,,
Methano,80,224-480,,,,
Methano,81,24-200,328-448,528-560,,
Methano,82,320-552,,,,
Methano,83,232-456,528-560,,,
Methano,84,160-480,,,,
Methano,85,0-72,400-520,,,
Methano,86,256-456,,,,
Methano,87,192-480,,,,
Methano,88,0-456,,,,
Methano,89,136-392,,,,
Methano,90,152-464,,,,
Methano,91,96-112,128-136,288-304,328-344,416-504
Methano,92,144-240,336-400,,,
Methano,93,0-56,280-560,,,
Methano,94,104-160,320-392,504-560,,
Methano,95,368-392,,,,
Methano,96,0-96,184-456,,,
Methano,97,152-480,,,,
Methano,98,64-80,224-432,,,
Methano,99,56-112,,,,
Methano,100,200-376,440-496,,,
Methano,101,232-432,,,,
Methano,102,264-408,,,,
Methano,103,224-384,496-512,,,
Methano,104,248-480,,,,
Methano,105,0-24,352-440,,,
Methano,106,0-64,104-120,280-544,,
Methano,107,280-560,,,,
Methano,108,112-560,,,,
Methano,109,40-64,192-416,480-560,,
Methano,110,0-40,168-192,336-464,,
Methano,111,0-16,192-240,296-384,,
Methano,112,96-560,,,,
Methano,113,152-208,480-560,,,
Methano,114,0-80,256-512,,,
Methano,115,392-560,,,,
Methano,116,0-416,,,,
Methano,117,40-48,64-496,,,
Methano,118,0-8,104-416,,,
Methano,119,0-24,200-224,328-560,,
Methano,120,216-256,360-560,,,
Methano,121,264-560,,,,
Methano,122,248-448,,,,
Methano,123,240-456,,,,
Methano,124,0-88,360-448,520-560,,
Methano,125,208-240,,,,
Methano,126,536-552,,,,
Methano,127,192-432,,,,
Methano,128,0-48,240-472,,,
Methano,129,96-352,496-560,,,
Methano,130,0-16,272-464,,,
Methano,131,72-272,,,,
Methano,132,160-240,312-448,,,
Methano,133,240-512,,,,
Methano,134,232-464,,,,
Methano,135,272-400,512-552,,,
Methano,136,272-416,528-560,,,
Methano,137,288-480,,,,
Methano,138,264-552,,,,
Methano,139,24-104,128-560,,,
Methano,140,320-512,,,,
Methano,141,160-448,,,,
Methano,142,176-416,,,,
Methano,143,152-288,336-480,,,
Methano,144,0-8,336-448,,,
Methano,145,0-24,136-424,496-528,,
Methano,146,184-408,496-528,,,
Methano,147,312-480,,,,
Methano,148,312-560,,,,
Methano,149,24-56,200-416,,,
Methano,150,0-72,280-296,376-448,,
Methano,151,0-72,272-496,,,
Methano,152,0-120,280-288,344-560,,
Methano,153,256-480,,,,
Methano,154,160-496,,,,
Methano,155,184-408,,,,
Methano,156,272-560,,,,
Methano,157,208-536,,,,
Methano,158,224-440,488-536,,,
Methano,159,232-464,,,,
Methano,160,136-176,312-440,,,
Methano,161,0-32,248-440,,,
Methano,162,280-424,504-520,,,
Methano,163,280-464,,,,
Methano,164,0-24,184-480,,,
Methano,165,152-184,288-352,496-560,,
Methano,166,0-208,304-376,,,
Methano,167,0-16,288-352,440-560,,
Methano,168,216-456,,,,
Methano,169,0-24,168-440,,,
Methano,170,104-424,488-512,,,
Methano,171,232-392,,,,
Methano,172,0-16,128-192,296-544,,
Methano,173,232-512,,,,
Methano,174,,,,,
Methano,175,0-16,128-200,224-456,,
Methano,176,200-504,,,,
Methano,177,0-408,,,,
Methano,178,264-520,,,,
Methano,179,0-480,,,,
