Organism,Seq,Positions,,
Halo,1,385-474,,
Halo,2,402-613,,
Halo,3,,,
Halo,4,312-371,471-508,
Halo,5,275-427,,
Halo,6,374-457,462-606,
Halo,7,37-82,415-458,
Halo,8,396-478,,
Halo,9,356-457,461-500,
Halo,10,81-127,145-192,
Halo,11,288-352,,
Halo,12,292-401,409-451,
Halo,13,,,
Halo,14,372-512,,
Halo,15,57-126,,
Halo,16,326-425,,
Halo,17,535-592,,
Halo,18,290-332,,
Halo,19,111-159,,
Halo,20,0-47,406-449,
Halo,21,,,
Halo,22,310-433,,
Halo,23,280-319,,
Halo,24,224-308,,
Halo,25,268-325,344-428,
Halo,26,342-413,498-554,
Halo,27,401-452,,
Halo,28,,,
Halo,29,242-323,,
Halo,30,400-448,,
Halo,31,399-449,,
Halo,32,,,
Halo,33,428-574,,
Halo,34,403-473,,
Halo,35,316-389,,
Halo,36,403-463,,
Halo,37,295-345,,
Halo,38,61-121,263-340,402-478
Halo,39,358-468,,
Halo,40,,,
Halo,41,400-467,,
Halo,42,337-401,,
Halo,43,367-457,,
Halo,44,288-494,,
Halo,45,429-517,,
Halo,46,570-613,,
Halo,47,,,
Halo,48,426-472,,
Halo,49,201-279,399-461,
Halo,50,283-328,,
Halo,51,324-472,545-585,
Halo,52,,,
Halo,53,353-430,,
Halo,54,387-466,,
Halo,55,409-454,,
Halo,56,430-477,,
Halo,57,160-258,,
Halo,58,374-454,,
Halo,59,388-484,,
Halo,60,322-512,,
Halo,61,354-442,,
Halo,62,404-452,538-613,
Halo,63,,,
Halo,64,288-357,,
Halo,65,124-183,220-332,
Halo,66,391-483,,
Halo,67,367-466,,
Halo,68,174-220,414-453,
Halo,69,370-475,,
Halo,70,171-355,378-414,
Halo,71,347-463,,
Halo,72,424-472,,
Halo,73,,,
Halo,74,245-302,404-458,
Halo,75,575-613,,
Halo,76,,,
Halo,77,292-375,,
Halo,78,,,
Halo,79,386-467,,
Halo,80,263-348,413-457,
Halo,81,433-511,,
Halo,82,0-59,,
Halo,83,404-520,,
Halo,84,140-194,,
Halo,85,378-434,,
Halo,86,393-431,,
Halo,87,344-473,,
Halo,88,391-478,,
Halo,89,155-234,544-608,
Halo,90,13-119,180-292,
Halo,91,303-449,,
Halo,92,461-536,,
Halo,93,364-424,466-503,537-599
Halo,94,315-351,366-461,
Halo,95,384-427,,
Halo,96,410-452,,
Halo,97,385-459,,
Halo,98,402-451,,
Halo,99,366-470,,
Halo,100,,,
Halo,101,280-362,,
Halo,102,,,
Halo,103,428-480,484-541,569-613
Halo,104,377-430,,
Halo,105,392-484,,
Halo,106,251-296,394-430,
Halo,107,,,
Halo,108,167-214,358-431,
Halo,109,0-86,,
Halo,110,,,
Halo,111,338-402,406-462,
Halo,112,409-461,,
Halo,113,,,
Halo,114,376-431,,
Halo,115,403-456,,
Halo,116,227-271,436-491,
Halo,117,437-475,,
Halo,118,378-442,,
Halo,119,209-252,,
Halo,120,401-493,,
Halo,121,36-72,384-458,
Halo,122,126-349,,
Halo,123,404-457,,
Halo,124,399-454,,
Halo,125,24-85,,
Halo,126,,,
Halo,127,,,
Halo,128,419-530,,
Halo,129,123-159,,
Halo,130,202-330,413-458,
Halo,131,378-470,,
Halo,132,,,
Halo,133,377-461,,
Halo,134,,,
Halo,135,382-466,,
Halo,136,,,
Halo,137,,,
Halo,138,337-407,,
Halo,139,320-391,,
Halo,140,376-428,569-613,
Halo,141,516-592,,
Halo,142,,,
Halo,143,289-424,,
Halo,144,94-138,,
Halo,145,306-423,,
Halo,146,401-460,,
Halo,147,406-491,,
Halo,148,,,
Halo,149,263-435,,
Halo,150,207-259,414-456,
Halo,151,180-300,,
Halo,152,236-338,386-437,441-499
Halo,153,365-443,,
Halo,154,382-446,,
Halo,155,,,
Halo,156,526-593,,
Halo,157,311-373,,
Halo,158,339-452,465-613,
