Organism,Seq,Positions,,,
Synecho,1,216-240,384-432,,
Synecho,2,88-216,328-552,,
Synecho,3,328-368,,,
Synecho,4,0-144,168-200,,
Synecho,5,360-504,,,
Synecho,6,0-48,144-432,512-560,
Synecho,7,248-272,352-432,,
Synecho,8,64-184,232-280,432-464,
Synecho,9,0-40,112-208,328-376,480-552
Synecho,10,176-264,,,
Synecho,11,72-104,336-472,,
Synecho,12,224-456,,,
Synecho,13,32-120,400-432,,
Synecho,14,128-160,360-456,,
Synecho,15,224-264,,,
Synecho,16,0-8,,,
Synecho,17,48-80,208-416,528-560,
Synecho,18,184-240,368-480,,
Synecho,19,136-264,424-432,,
Synecho,20,32-40,56-72,120-432,
Synecho,21,176-536,,,
Synecho,22,400-416,,,
Synecho,23,368-424,,,
Synecho,24,0-88,,,
Synecho,25,216-280,488-536,,
Synecho,26,256-440,,,
Synecho,27,376-464,,,
Synecho,28,,,,
Synecho,29,160-328,,,
Synecho,30,200-224,384-504,,
Synecho,31,0-56,144-560,,
Synecho,32,120-448,488-560,,
Synecho,33,96-152,256-312,360-440,
Synecho,34,72-200,264-336,,
Synecho,35,0-80,144-528,,
Synecho,36,,,,
Synecho,37,360-424,,,
Synecho,38,288-560,,,
Synecho,39,64-96,248-552,,
Synecho,40,64-88,168-208,280-392,
Synecho,41,0-8,336-536,,
Synecho,42,80-168,368-472,,
Synecho,43,368-408,480-520,,
Synecho,44,216-440,,,
Synecho,45,328-336,392-504,,
Synecho,46,,,,
Synecho,47,144-200,,,
Synecho,48,56-96,160-512,,
Synecho,49,384-440,,,
Synecho,50,56-128,232-560,,
Synecho,51,32-80,480-560,,
Synecho,52,8-224,304-368,,
Synecho,53,0-40,128-184,240-512,
Synecho,54,0-56,224-240,288-296,384-424
Synecho,55,48-168,288-424,,
Synecho,56,360-424,,,
Synecho,57,328-560,,,
Synecho,58,184-216,304-560,,
Synecho,59,56-240,376-536,,
Synecho,60,208-512,,,
Synecho,61,232-456,528-560,,
Synecho,62,0-8,248-512,,
Synecho,63,0-72,144-296,456-512,
Synecho,64,32-80,272-440,,
Synecho,65,144-192,288-304,432-520,
Synecho,66,56-232,416-504,,
Synecho,67,312-560,,,
Synecho,68,248-440,,,
Synecho,69,120-144,296-560,,
Synecho,70,192-368,,,
Synecho,71,0-232,360-368,,
Synecho,72,232-560,,,
Synecho,73,208-560,,,
Synecho,74,0-208,328-456,,
Synecho,75,352-384,464-488,,
Synecho,76,0-320,416-448,,
Synecho,77,528-560,,,
Synecho,78,0-8,152-184,368-496,
Synecho,79,0-112,320-352,,
Synecho,80,384-464,,,
Synecho,81,128-272,368-440,,
Synecho,82,0-32,120-552,,
Synecho,83,304-328,464-552,,
Synecho,84,32-80,176-184,448-464,
Synecho,85,0-240,408-560,,
Synecho,86,0-96,,,
Synecho,87,216-320,,,
Synecho,88,216-288,384-560,,
Synecho,89,144-176,416-448,,
Synecho,90,400-432,,,
Synecho,91,0-224,360-384,,
Synecho,92,304-440,,,
Synecho,93,200-240,392-560,,
Synecho,94,152-208,312-480,,
Synecho,95,496-544,,,
Synecho,96,336-504,,,
Synecho,97,136-168,408-472,,
Synecho,98,0-24,112-376,536-544,
Synecho,99,312-432,,,
Synecho,100,424-560,,,
Synecho,101,80-112,256-280,,
Synecho,102,352-472,,,
Synecho,103,408-424,,,
Synecho,104,0-216,272-328,536-560,
Synecho,105,0-40,256-400,,
Synecho,106,0-88,,,
Synecho,107,72-104,320-464,,
Synecho,108,384-528,,,
Synecho,109,384-536,,,
Synecho,110,320-352,512-560,,
Synecho,111,0-48,104-256,376-424,
Synecho,112,0-176,320-360,,
Synecho,113,0-40,256-488,,
Synecho,114,72-152,376-520,,
Synecho,115,392-440,,,
Synecho,116,56-112,432-464,,
Synecho,117,0-72,,,
Synecho,118,0-56,224-320,424-448,
Synecho,119,0-168,512-560,,
Synecho,120,0-88,280-392,,
Synecho,121,400-440,,,
Synecho,122,304-536,,,
Synecho,123,0-176,320-456,,
Synecho,124,0-168,272-400,440-512,
Synecho,125,216-432,,,
Synecho,126,0-48,184-344,392-432,
Synecho,127,216-240,304-504,,
Synecho,128,0-168,320-480,,
Synecho,129,0-32,240-544,,
Synecho,130,0-560,,,
Synecho,131,336-368,,,
Synecho,132,0-320,392-464,,
Synecho,133,0-104,416-448,,
Synecho,134,88-144,312-536,,
Synecho,135,304-416,520-560,,
Synecho,136,144-152,272-472,,
Synecho,137,160-200,272-456,,
Synecho,138,0-88,272-280,400-456,
Synecho,139,328-416,,,
Synecho,140,0-32,368-448,,
Synecho,141,264-440,,,
Synecho,142,176-224,448-560,,
Synecho,143,112-304,400-480,,
Synecho,144,8-312,416-480,,
Synecho,145,360-408,472-560,,
Synecho,146,0-48,264-536,,
Synecho,147,0-168,,,
Synecho,148,264-344,440-472,,
Synecho,149,0-24,192-232,296-360,504-560
Synecho,150,152-408,,,
Synecho,151,296-368,384-408,,
Synecho,152,48-216,296-312,,
Synecho,153,280-560,,,
Synecho,154,0-104,168-240,,
Synecho,155,,,,
Synecho,158,104-136,280-368,400-488,
Synecho,159,256-432,,,
Synecho,160,168-480,,,
Synecho,161,256-312,440-560,,
Synecho,162,0-32,120-456,,
Synecho,163,,,,
Synecho,164,120-152,248-560,,
Synecho,165,64-128,264-536,,
Synecho,166,0-16,208-280,,
Synecho,167,16-440,,,
Synecho,168,232-480,,,
Synecho,169,0-24,128-176,264-456,
Synecho,170,304-384,,,
Synecho,171,48-216,,,
Synecho,172,120-168,280-328,392-488,
Synecho,173,0-208,328-496,,
Synecho,174,0-80,328-464,,
Synecho,175,16-32,152-208,336-480,
Synecho,176,312-480,,,
Synecho,177,0-8,328-440,488-544,
Synecho,178,256-312,,,
Synecho,179,0-216,440-512,,
Synecho,180,32-104,224-440,536-560,
Synecho,181,0-40,104-320,408-472,
Synecho,182,216-296,384-472,,
Synecho,183,0-16,136-160,320-368,488-512
Synecho,184,24-64,136-152,312-392,
Synecho,185,304-400,,,
Synecho,186,136-168,368-440,,
Synecho,187,248-552,,,
Synecho,188,152-288,488-520,,
Synecho,189,320-464,,,
Synecho,190,,,,
Synecho,191,160-216,312-448,,
Synecho,192,240-320,,,
Synecho,193,120-200,296-480,,
Synecho,194,8-176,336-416,,
Synecho,195,200-208,344-448,,
Synecho,196,0-248,336-536,,
Synecho,197,0-312,352-464,,
Synecho,198,0-88,264-552,,
Synecho,199,128-304,376-416,,
Synecho,200,,,,
Synecho,201,312-432,,,
Synecho,202,88-128,336-488,,
Synecho,203,0-48,120-184,336-424,
Synecho,204,0-104,176-296,,
Synecho,205,,,,
Synecho,206,40-88,216-384,408-472,
Synecho,207,32-152,192-536,,
Synecho,208,504-560,,,
Synecho,209,24-80,216-392,528-552,
Synecho,210,88-216,312-520,,
Synecho,211,240-416,528-560,,
Synecho,212,208-392,496-560,,
Synecho,213,96-424,,,
Synecho,214,96-416,,,
Synecho,215,464-560,,,
Synecho,216,360-400,,,
Synecho,217,128-184,304-448,,
Synecho,218,0-128,200-256,376-512,
Synecho,219,248-480,,,
Synecho,220,304-424,496-544,,
Synecho,221,,,,
Synecho,222,288-312,376-496,,
Synecho,223,0-32,360-560,,
Synecho,224,0-56,272-408,504-560,
Synecho,225,200-240,312-352,464-496,
Synecho,226,296-328,400-424,488-528,
Synecho,227,0-104,312-544,,
Synecho,228,176-480,,,
Synecho,229,80-536,,,
Synecho,230,448-520,,,
Synecho,231,32-208,360-496,,
Synecho,232,96-312,,,
Synecho,233,48-88,224-264,344-536,
Synecho,234,248-424,,,
Synecho,235,136-184,480-552,,
Synecho,236,88-160,280-320,416-440,
Synecho,237,72-272,360-432,,
Synecho,238,184-304,,,
Synecho,239,216-472,,,
Synecho,240,0-424,,,
Synecho,241,8-104,296-560,,
Synecho,242,0-8,144-296,368-488,
Synecho,243,24-176,328-472,,
Synecho,244,304-536,,,
Synecho,245,272-424,,,
Synecho,246,0-32,496-552,,
Synecho,247,144-200,392-480,528-552,
Synecho,248,280-408,,,
Synecho,249,80-144,296-528,,
Synecho,250,0-32,488-512,,
Synecho,251,136-192,280-408,,
