Organism,Seq,Positions,,,
Helicobacter,1,288-520,,,
Helicobacter,2,0-80,248-448,536-560,
Helicobacter,3,0-32,112-280,360-464,
Helicobacter,4,0-8,256-456,,
Helicobacter,5,0-560,,,
Helicobacter,6,72-184,232-560,,
Helicobacter,7,144-192,288-352,,
Helicobacter,8,144-192,288-352,,
Helicobacter,9,0-40,136-240,352-560,
Helicobacter,10,0-48,208-264,,
Helicobacter,11,56-552,,,
Helicobacter,12,208-480,,,
Helicobacter,13,0-56,192-480,,
Helicobacter,14,0-64,176-560,,
Helicobacter,15,312-440,,,
Helicobacter,16,240-560,,,
Helicobacter,17,40-64,176-488,,
Helicobacter,18,256-464,,,
Helicobacter,19,88-480,,,
Helicobacter,20,368-472,,,
Helicobacter,21,16-72,392-560,,
Helicobacter,22,0-72,152-512,,
Helicobacter,23,160-192,304-560,,
Helicobacter,24,184-392,,,
Helicobacter,25,16-456,,,
Helicobacter,26,0-88,192-216,368-560,
Helicobacter,27,264-328,400-448,,
Helicobacter,28,216-264,320-488,,
Helicobacter,29,24-240,336-560,,
Helicobacter,30,0-552,,,
Helicobacter,31,0-8,328-440,,
Helicobacter,32,200-480,,,
Helicobacter,33,0-16,152-456,,
Helicobacter,34,40-72,288-456,,
Helicobacter,35,40-448,,,
Helicobacter,36,264-536,,,
Helicobacter,37,104-152,304-440,,
Helicobacter,38,104-504,,,
Helicobacter,39,0-16,48-432,,
Helicobacter,40,48-72,272-448,,
Helicobacter,41,56-184,328-472,528-536,
Helicobacter,42,0-32,128-152,376-424,528-560
Helicobacter,43,0-32,80-184,352-488,
Helicobacter,44,0-48,192-432,,
Helicobacter,45,0-24,384-552,,
Helicobacter,46,0-16,192-448,,
Helicobacter,47,0-80,344-560,,
Helicobacter,48,128-168,320-520,,
Helicobacter,49,0-16,112-144,352-560,
Helicobacter,50,0-48,184-528,,
Helicobacter,51,144-528,,,
Helicobacter,52,312-544,,,
Helicobacter,53,392-464,,,
Helicobacter,54,0-128,208-256,336-496,
Helicobacter,55,248-504,,,
Helicobacter,56,40-232,280-456,504-560,
Helicobacter,57,0-136,328-432,,
Helicobacter,58,48-88,216-456,,
Helicobacter,59,0-216,296-552,,
Helicobacter,60,88-136,312-360,440-560,
Helicobacter,61,144-216,304-408,,
Helicobacter,62,264-560,,,
Helicobacter,63,128-512,,,
Helicobacter,64,192-560,,,
Helicobacter,65,0-24,208-504,,
Helicobacter,66,0-32,328-448,496-560,
Helicobacter,67,216-480,,,
Helicobacter,68,64-88,328-520,,
Helicobacter,69,0-8,144-296,328-456,528-560
Helicobacter,70,120-136,256-560,,
Helicobacter,71,200-488,,,
Helicobacter,72,224-456,,,
Helicobacter,73,16-192,320-536,,
Helicobacter,74,0-240,336-480,,
Helicobacter,75,224-304,376-480,536-544,
Helicobacter,76,40-104,224-448,,
Helicobacter,77,24-88,184-536,,
Helicobacter,78,0-216,408-416,,
Helicobacter,79,0-560,,,
Helicobacter,80,80-144,216-536,,
Helicobacter,81,200-464,,,
Helicobacter,82,0-104,184-232,328-512,
Helicobacter,83,40-88,176-440,,
Helicobacter,84,0-64,152-320,424-440,520-560
