Organism,Seq,Positions,,,
Thermo,1,213-341,,,
Thermo,2,369-542,,,
Thermo,3,297-431,,,
Thermo,4,,,,
Thermo,5,92-180,552-591,,
Thermo,6,191-230,381-461,,
Thermo,7,403-471,,,
Thermo,8,406-448,,,
Thermo,9,226-290,296-457,,
Thermo,10,313-445,,,
Thermo,11,,,,
Thermo,12,,,,
Thermo,13,237-279,397-462,,
Thermo,14,399-445,,,
Thermo,15,,,,
Thermo,16,34-78,399-454,548-613,
Thermo,17,48-125,,,
Thermo,18,263-308,414-469,,
Thermo,19,0-123,404-491,,
Thermo,20,429-475,,,
Thermo,21,374-484,,,
Thermo,22,31-78,359-498,,
Thermo,23,371-528,,,
Thermo,24,524-571,,,
Thermo,25,396-455,,,
Thermo,26,383-438,512-586,,
Thermo,27,360-429,,,
Thermo,28,301-496,,,
Thermo,29,359-468,,,
Thermo,30,367-455,498-543,,
Thermo,31,357-425,,,
Thermo,32,291-411,419-479,,
Thermo,33,348-431,,,
Thermo,34,391-457,,,
Thermo,35,340-393,,,
Thermo,36,395-498,544-591,,
Thermo,37,,,,
Thermo,38,,,,
Thermo,39,,,,
Thermo,40,376-413,,,
Thermo,41,409-459,,,
Thermo,42,337-388,,,
Thermo,43,309-363,371-453,,
Thermo,44,353-459,564-601,,
Thermo,45,315-435,,,
Thermo,46,152-191,376-431,569-613,
Thermo,47,152-191,376-431,569-613,
Thermo,48,,,,
Thermo,49,257-452,,,
Thermo,50,403-498,,,
Thermo,51,358-426,430-534,,
Thermo,52,321-512,,,
Thermo,53,370-520,,,
Thermo,54,375-436,,,
Thermo,55,351-435,,,
Thermo,56,204-285,333-412,,
Thermo,57,316-435,,,
Thermo,58,365-418,,,
Thermo,59,403-467,,,
Thermo,60,150-196,244-409,,
Thermo,61,396-439,,,
Thermo,62,301-425,429-466,504-580,
Thermo,63,275-465,,,
Thermo,64,402-468,,,
Thermo,65,385-424,,,
Thermo,66,252-309,373-439,,
Thermo,67,,,,
Thermo,68,454-550,,,
Thermo,69,247-421,,,
Thermo,70,370-449,,,
Thermo,71,377-495,,,
Thermo,72,388-434,575-612,,
Thermo,73,0-52,184-234,351-426,
Thermo,74,352-431,,,
Thermo,75,249-289,430-466,,
Thermo,76,395-446,,,
Thermo,77,372-444,,,
Thermo,78,373-474,,,
Thermo,79,306-377,,,
Thermo,80,267-424,,,
Thermo,81,212-491,,,
Thermo,82,335-443,,,
Thermo,83,356-473,,,
Thermo,84,410-496,,,
Thermo,85,382-443,480-567,,
Thermo,86,195-258,274-312,405-471,
Thermo,87,377-445,,,
Thermo,88,391-498,,,
Thermo,89,217-283,361-456,,
Thermo,90,,,,
Thermo,91,401-455,513-563,570-612,
Thermo,92,,,,
Thermo,93,284-440,,,
Thermo,94,280-476,,,
Thermo,95,459-504,,,
Thermo,96,401-452,544-610,,
Thermo,97,339-454,,,
Thermo,98,326-414,,,
Thermo,99,272-417,,,
Thermo,100,,,,
Thermo,101,167-269,380-446,,
Thermo,102,267-424,,,
Thermo,103,327-408,,,
Thermo,104,308-424,,,
Thermo,105,399-450,,,
Thermo,106,344-454,,,
Thermo,107,360-428,,,
Thermo,108,165-444,,,
Thermo,109,185-246,256-293,341-461,
Thermo,110,237-301,323-470,,
Thermo,111,312-348,353-433,,
Thermo,112,492-532,,,
Thermo,113,399-442,,,
Thermo,114,299-363,383-420,,
Thermo,115,308-348,354-466,470-576,
Thermo,116,406-512,,,
Thermo,117,229-290,,,
Thermo,118,202-311,400-481,,
Thermo,119,417-465,,,
Thermo,120,,,,
Thermo,121,334-375,381-467,547-613,
Thermo,122,560-613,,,
Thermo,123,330-368,,,
Thermo,124,405-441,,,
Thermo,125,395-490,,,
Thermo,126,377-443,,,
Thermo,127,364-512,,,
Thermo,128,,,,
Thermo,129,390-482,514-591,,
Thermo,130,,,,
Thermo,131,,,,
Thermo,132,381-428,,,
Thermo,133,395-481,,,
Thermo,134,150-192,197-234,,
Thermo,135,,,,
Thermo,136,403-459,,,
Thermo,137,,,,
Thermo,138,405-444,,,
Thermo,139,371-446,,,
Thermo,140,,,,
Thermo,141,,,,
Thermo,142,0-41,503-564,,
Thermo,143,285-480,,,
Thermo,144,259-308,,,
Thermo,145,,,,
Thermo,146,328-451,,,
Thermo,147,396-467,,,
Thermo,148,283-435,449-498,,
Thermo,149,379-449,,,
Thermo,150,63-176,200-315,,
Thermo,151,193-239,291-426,520-570,
Thermo,152,416-518,,,
Thermo,153,183-221,227-264,284-462,
Thermo,154,,,,
Thermo,155,379-491,,,
Thermo,156,382-432,555-599,,
Thermo,157,,,,
Thermo,158,576-613,,,
Thermo,159,234-433,,,
Thermo,160,439-525,,,
Thermo,161,267-463,,,
Thermo,162,,,,
Thermo,163,365-426,,,
Thermo,164,264-429,,,
Thermo,165,,,,
Thermo,166,57-101,186-325,399-458,
Thermo,167,301-352,373-483,,
Thermo,168,402-462,,,
Thermo,169,398-507,,,
Thermo,170,,,,
Thermo,171,341-428,,,
Thermo,172,,,,
Thermo,173,535-576,,,
Thermo,174,290-433,,,
Thermo,175,390-429,,,
Thermo,176,365-426,,,
Thermo,177,420-540,,,
Thermo,178,334-456,,,
Thermo,179,,,,
Thermo,180,379-436,,,
Thermo,181,,,,
Thermo,182,333-443,,,
Thermo,183,422-479,,,
Thermo,184,407-452,,,
Thermo,185,334-461,562-608,,
Thermo,186,228-306,386-455,,
Thermo,187,266-545,,,
Thermo,188,375-465,,,
Thermo,189,494-539,,,
Thermo,190,474-556,,,
Thermo,191,,,,
Thermo,192,383-443,481-562,,
Thermo,193,24-75,409-459,,
Thermo,194,241-384,,,
Thermo,195,417-467,,,
Thermo,196,184-231,,,
Thermo,197,319-380,388-442,,
Thermo,198,347-441,,,
Thermo,199,320-512,,,
Thermo,200,254-345,350-433,,
Thermo,201,,,,
Thermo,202,15-58,124-294,,
Thermo,203,481-555,,,
Thermo,204,,,,
Thermo,205,80-187,501-613,,
Thermo,206,164-217,311-373,498-555,
Thermo,207,477-579,,,
Thermo,208,329-396,466-517,,
Thermo,209,212-269,,,
Thermo,210,,,,
Thermo,211,364-434,,,
Thermo,212,57-103,,,
Thermo,213,313-447,,,
Thermo,214,361-455,462-505,,
Thermo,215,,,,
Thermo,216,,,,
Thermo,217,385-442,,,
Thermo,218,341-452,457-493,526-613,
Thermo,219,396-472,508-576,,
Thermo,220,240-443,,,
Thermo,221,294-359,366-417,,
Thermo,222,398-480,527-570,,
Thermo,223,362-481,,,
Thermo,224,414-463,,,
Thermo,225,272-428,,,
Thermo,226,431-488,,,
Thermo,227,382-435,,,
Thermo,228,214-297,,,
Thermo,229,257-323,,,
Thermo,230,334-447,,,
Thermo,231,269-426,,,
Thermo,232,,,,
Thermo,233,361-399,,,
Thermo,234,274-347,425-474,,
Thermo,235,188-418,,,
Thermo,236,334-495,,,
Thermo,237,349-429,538-581,,
Thermo,238,409-455,,,
Thermo,239,208-371,393-451,,
Thermo,240,,,,
Thermo,241,,,,
Thermo,242,35-103,384-451,,
Thermo,243,310-488,,,
Thermo,244,275-378,,,
Thermo,245,544-580,,,
Thermo,246,364-453,516-590,,
Thermo,247,232-273,,,
Thermo,248,280-452,459-526,,
Thermo,249,382-454,,,
Thermo,250,346-415,,,
Thermo,251,308-423,,,
Thermo,252,141-188,,,
Thermo,253,187-224,302-340,395-456,
Thermo,254,507-613,,,
Thermo,255,353-450,,,
Thermo,256,,,,
Thermo,257,139-195,476-551,557-598,
Thermo,258,536-611,,,
Thermo,259,296-461,,,
Thermo,260,404-451,,,
Thermo,261,362-445,,,
Thermo,262,419-470,,,
Thermo,263,0-60,389-444,,
Thermo,264,368-423,,,
Thermo,265,399-498,509-555,,
Thermo,266,318-425,,,
Thermo,267,352-407,,,
Thermo,268,,,,
Thermo,269,208-319,,,
Thermo,270,246-450,,,
Thermo,271,,,,
Thermo,272,305-442,,,
Thermo,273,,,,
Thermo,274,280-361,,,
Thermo,275,,,,
Thermo,276,385-450,,,
Thermo,277,354-411,502-545,,
Thermo,278,349-385,422-496,,
Thermo,279,,,,
Thermo,280,279-363,424-499,,
Thermo,281,301-444,,,
Thermo,282,369-433,504-577,,
Thermo,283,372-529,,,
Thermo,284,253-314,373-453,,
Thermo,285,,,,
Thermo,286,378-468,,,
Thermo,287,281-360,382-484,,
Thermo,288,19-102,383-458,,
Thermo,289,,,,
Thermo,290,281-436,,,
Thermo,291,12-96,,,
Thermo,292,292-351,401-497,,
Thermo,293,127-242,308-406,,
Thermo,294,366-445,,,
Thermo,295,363-435,,,
Thermo,296,224-281,385-432,,
Thermo,297,256-395,,,
Thermo,298,269-463,,,
Thermo,299,391-451,494-550,,
Thermo,300,357-447,,,
Thermo,301,,,,
Thermo,302,132-269,282-321,,
Thermo,303,389-437,,,
Thermo,304,313-443,,,
Thermo,305,391-431,,,
Thermo,306,274-433,,,
Thermo,307,274-539,,,
Thermo,308,390-456,,,
Thermo,309,,,,
Thermo,310,251-429,,,
Thermo,311,380-444,,,
Thermo,312,364-408,438-487,,
Thermo,313,373-439,,,
Thermo,314,0-57,,,
Thermo,315,420-484,,,
Thermo,316,,,,
Thermo,317,246-307,,,
Thermo,318,442-522,,,
Thermo,319,25-90,263-304,,
Thermo,320,390-440,,,
Thermo,321,228-292,317-433,,
Thermo,322,,,,
Thermo,323,223-330,,,
Thermo,324,333-456,,,
Thermo,325,294-370,379-446,,
Thermo,326,332-441,,,
Thermo,327,390-432,,,
Thermo,328,355-415,,,
Thermo,329,510-565,,,
Thermo,330,388-463,,,
Thermo,331,35-108,173-219,401-452,500-575
Thermo,332,,,,
Thermo,333,392-467,,,
Thermo,334,384-441,,,
Thermo,335,,,,
Thermo,336,183-270,288-462,,
Thermo,337,294-417,,,
Thermo,338,406-504,,,
Thermo,339,400-562,,,
Thermo,340,315-463,,,
Thermo,341,399-460,465-567,,
Thermo,342,,,,
Thermo,343,419-458,,,
Thermo,344,400-492,,,
Thermo,345,265-427,,,
Thermo,346,400-477,,,
Thermo,347,565-613,,,
Thermo,348,371-435,,,
Thermo,349,351-448,,,
Thermo,350,307-450,,,
Thermo,351,431-482,,,
