Organism,Seq,Positions,,,
Helico,1,402-511,,,
Helico,2,,,,
Helico,3,,,,
Helico,4,0-39,385-486,,
Helico,5,3-50,366-552,,
Helico,6,317-391,529-584,,
Helico,7,,,,
Helico,8,,,,
Helico,9,396-439,463-525,533-613,
Helico,10,249-300,,,
Helico,11,317-476,,,
Helico,12,228-292,,,
Helico,13,257-342,472-520,,
Helico,14,537-613,,,
Helico,15,355-461,,,
Helico,16,326-375,382-444,,
Helico,17,235-318,386-514,,
Helico,18,316-455,,,
Helico,19,226-367,392-505,,
Helico,20,,,,
Helico,21,500-552,,,
Helico,22,233-402,414-512,,
Helico,23,331-465,494-561,,
Helico,24,215-267,,,
Helico,25,207-315,384-486,,
Helico,26,410-504,552-613,,
Helico,27,311-356,425-472,,
Helico,28,369-496,,,
Helico,29,404-447,476-530,577-613,
Helico,30,297-435,487-543,,
Helico,31,349-476,,,
Helico,32,243-283,361-454,486-522,
Helico,33,202-481,,,
Helico,34,,,,
Helico,35,209-307,,,
Helico,36,324-518,,,
Helico,37,377-488,,,
Helico,38,273-333,,,
Helico,39,232-402,,,
Helico,40,449-485,,,
Helico,41,397-482,,,
Helico,42,,,,
Helico,43,,,,
Helico,44,350-387,,,
Helico,45,422-487,,,
Helico,46,228-321,394-432,,
Helico,47,1-61,367-526,,
Helico,48,378-446,454-508,,
Helico,49,408-469,,,
Helico,50,259-484,,,
Helico,51,221-302,358-479,,
Helico,52,366-541,,,
Helico,53,,,,
Helico,54,12-85,253-291,,
Helico,55,377-515,,,
Helico,56,204-258,325-465,,
Helico,57,374-422,,,
Helico,58,235-353,363-403,,
Helico,59,337-427,,,
Helico,60,116-167,,,
Helico,61,377-424,,,
Helico,62,308-491,495-587,,
Helico,63,183-261,,,
Helico,64,448-534,,,
Helico,65,332-524,,,
Helico,66,0-67,378-478,,
Helico,67,360-459,,,
Helico,68,470-551,,,
Helico,69,,,,
Helico,70,332-412,420-484,561-611,
Helico,71,237-374,458-515,,
Helico,72,280-499,,,
Helico,73,397-478,,,
Helico,74,174-236,413-453,,
Helico,75,423-467,,,
Helico,76,270-313,,,
Helico,77,280-370,400-536,,
Helico,78,175-242,417-454,,
Helico,79,428-496,544-613,,
Helico,80,294-344,404-492,,
Helico,81,218-361,368-410,,
Helico,82,,,,
Helico,83,242-345,411-474,,
Helico,84,,,,
Helico,85,254-344,,,
Helico,86,313-480,530-587,,
Helico,87,372-538,,,
Helico,88,,,,
Helico,89,197-276,382-473,,
Helico,90,383-431,483-613,,
Helico,91,406-469,,,
Helico,92,261-314,380-435,,
Helico,93,209-303,353-468,,
Helico,94,230-369,425-496,,
Helico,95,323-386,496-532,,
Helico,96,388-467,536-613,,
Helico,97,475-515,,,
Helico,98,409-490,,,
Helico,99,359-522,,,
Helico,100,370-424,551-602,,
Helico,101,343-475,,,
Helico,102,0-44,325-404,429-488,
Helico,103,293-476,,,
Helico,104,,,,
Helico,105,,,,
Helico,106,,,,
Helico,107,337-505,,,
Helico,108,,,,
Helico,109,0-60,394-434,519-556,
Helico,110,78-121,451-497,,
Helico,111,254-305,336-481,,
Helico,112,215-300,403-494,,
Helico,113,375-478,,,
Helico,114,184-233,305-463,,
Helico,115,221-453,,,
Helico,116,351-471,573-613,,
Helico,117,211-314,324-484,,
Helico,118,,,,
Helico,119,196-257,271-460,,
Helico,120,234-362,370-455,,
Helico,121,284-511,,,
Helico,122,353-413,428-502,,
Helico,123,,,,
Helico,124,321-487,,,
Helico,125,392-447,,,
Helico,126,331-407,,,
Helico,127,353-458,,,
Helico,128,382-541,,,
Helico,129,,,,
Helico,130,,,,
Helico,131,186-223,542-587,,
Helico,132,352-430,,,
Helico,133,234-289,392-455,,
Helico,134,239-395,435-508,,
Helico,135,338-533,,,
Helico,136,291-519,,,
Helico,137,337-444,520-613,,
Helico,138,316-354,,,
Helico,139,378-436,,,
Helico,140,459-502,,,
Helico,141,366-472,496-592,,
Helico,142,540-595,,,
Helico,143,339-459,,,
Helico,144,411-508,,,
Helico,145,349-505,,,
Helico,146,217-468,,,
Helico,147,150-341,,,
Helico,148,259-329,374-538,,
Helico,149,390-543,552-613,,
Helico,150,412-536,,,
Helico,151,387-435,529-600,,
Helico,152,313-510,,,
Helico,153,372-511,,,
Helico,154,0-99,,,
Helico,155,329-414,,,
Helico,156,,,,
Helico,157,331-440,530-610,,
Helico,158,379-519,545-613,,
Helico,159,279-440,,,
Helico,160,404-551,,,
Helico,161,146-193,532-613,,
Helico,162,534-613,,,
Helico,163,411-451,530-602,,
Helico,164,494-531,,,
Helico,165,157-240,365-436,,
Helico,166,260-296,316-388,452-492,
Helico,167,,,,
Helico,168,363-559,,,
Helico,169,275-325,,,
Helico,170,294-344,404-492,,
Helico,171,399-440,532-572,,
Helico,172,347-467,472-508,,
Helico,173,280-370,400-536,,
Helico,174,299-349,,,
Helico,175,380-439,550-596,,
Helico,176,445-499,,,
Helico,177,363-467,,,
Helico,178,283-401,418-484,,
Helico,179,336-465,,,
Helico,180,339-444,531-613,,
Helico,181,289-358,367-405,,
Helico,182,47-116,,,
Helico,183,386-480,,,
Helico,184,194-254,264-321,345-392,
Helico,185,215-258,272-360,414-494,
Helico,186,371-434,469-547,,
Helico,187,361-439,,,
Helico,188,,,,
Helico,189,337-465,514-579,,
Helico,190,301-464,,,
Helico,191,250-475,,,
Helico,192,507-548,,,
Helico,193,344-390,,,
Helico,194,313-364,430-521,,
Helico,195,333-505,,,
Helico,196,,,,
Helico,197,377-468,,,
Helico,198,369-491,499-609,,
Helico,199,0-59,550-613,,
Helico,200,0-70,358-419,470-595,
Helico,201,410-465,,,
Helico,202,,,,
Helico,203,312-370,382-426,,
Helico,204,0-70,412-476,,
Helico,205,346-458,,,
Helico,206,405-523,,,
Helico,207,,,,
Helico,208,386-426,,,
Helico,209,283-537,,,
Helico,210,,,,
Helico,211,263-338,,,
Helico,212,391-473,,,
