Organism,Seq,Positions,,,
Myco,1,411-448,,,
Myco,2,0-108,212-254,415-491,
Myco,3,,,,
Myco,4,153-210,491-585,,
Myco,5,300-339,,,
Myco,6,,,,
Myco,7,354-468,,,
Myco,8,64-109,,,
Myco,9,87-179,,,
Myco,10,236-299,305-369,,
Myco,11,206-272,448-485,,
Myco,12,,,,
Myco,13,233-359,,,
Myco,14,104-140,173-216,,
Myco,15,231-303,,,
Myco,16,,,,
Myco,17,175-232,513-568,,
Myco,18,0-141,,,
Myco,19,88-284,,,
Myco,20,225-302,,,
Myco,21,412-459,,,
Myco,22,433-504,,,
Myco,23,6-47,,,
Myco,24,363-524,,,
Myco,25,253-295,393-464,,
Myco,26,83-172,528-592,,
Myco,27,294-411,423-478,,
Myco,28,352-441,463-552,,
Myco,29,243-307,,,
Myco,30,450-573,,,
Myco,31,,,,
Myco,32,341-395,,,
Myco,33,514-556,,,
Myco,34,395-438,,,
Myco,35,255-327,379-444,,
Myco,36,0-46,403-449,,
Myco,37,246-327,430-485,,
Myco,38,429-482,,,
Myco,39,372-430,,,
Myco,40,422-472,,,
Myco,41,0-79,360-450,,
Myco,42,396-441,559-613,,
Myco,43,0-63,376-468,,
Myco,44,469-517,531-579,,
Myco,45,173-256,,,
Myco,46,285-325,338-493,512-553,
Myco,47,396-488,573-613,,
Myco,48,229-346,,,
Myco,49,427-518,,,
Myco,50,22-93,,,
Myco,51,377-452,,,
Myco,52,,,,
Myco,53,384-484,,,
Myco,54,391-493,,,
Myco,55,227-291,462-505,572-613,
Myco,56,11-50,331-427,542-579,
Myco,57,390-555,,,
Myco,58,235-273,277-328,,
Myco,59,380-426,,,
Myco,60,340-435,,,
Myco,61,,,,
Myco,62,200-274,403-479,,
Myco,63,301-399,,,
Myco,64,322-446,,,
Myco,65,52-102,410-466,,
Myco,66,,,,
Myco,67,,,,
Myco,68,368-437,472-551,,
Myco,69,163-236,287-390,,
Myco,70,206-267,424-474,,
Myco,71,367-547,,,
Myco,72,345-390,436-480,,
Myco,73,276-410,,,
Myco,74,370-457,,,
Myco,75,332-473,,,
Myco,76,47-96,208-299,406-446,
Myco,77,502-613,,,
Myco,78,,,,
Myco,79,395-498,,,
Myco,80,,,,
Myco,81,,,,
Myco,82,368-448,575-613,,
Myco,83,343-472,,,
Myco,84,96-152,433-530,,
Myco,85,522-613,,,
Myco,86,,,,
Myco,87,18-112,,,
Myco,88,0-76,191-242,,
Myco,89,388-426,531-582,,
Myco,90,0-36,346-385,445-584,
Myco,91,25-79,379-415,,
Myco,92,477-535,567-613,,
Myco,93,559-613,,,
Myco,94,158-196,330-437,477-592,
Myco,95,204-272,406-457,,
Myco,96,153-195,,,
Myco,97,,,,
Myco,98,339-378,,,
Myco,99,181-221,,,
Myco,100,351-491,531-591,,
