Organism,Seq,Positions,,,
Thermo,1,216-346,,,
Thermo,2,367-545,,,
Thermo,3,319-432,,,
Thermo,4,,,,
Thermo,5,93-181,552-602,,
Thermo,6,192-241,,,
Thermo,7,403-472,,,
Thermo,8,0-49,405-457,,
Thermo,9,217-289,303-470,,
Thermo,10,311-446,,,
Thermo,11,375-417,,,
Thermo,12,,,,
Thermo,13,237-281,397-488,,
Thermo,14,397-446,513-559,,
Thermo,15,,,,
Thermo,16,403-459,466-613,,
Thermo,17,47-114,,,
Thermo,18,262-308,414-472,,
Thermo,19,0-123,413-503,,
Thermo,20,430-510,,,
Thermo,21,374-488,,,
Thermo,22,33-74,355-524,,
Thermo,23,370-431,437-533,,
Thermo,24,522-567,,,
Thermo,25,394-457,,,
Thermo,26,381-434,507-582,,
Thermo,27,276-430,,,
Thermo,28,299-497,,,
Thermo,29,369-471,,,
Thermo,30,388-455,497-548,,
Thermo,31,360-426,,,
Thermo,32,290-409,422-478,,
Thermo,33,,,,
Thermo,34,390-458,,,
Thermo,35,338-392,,,
Thermo,36,393-506,534-589,,
Thermo,37,,,,
Thermo,38,,,,
Thermo,39,,,,
Thermo,40,372-412,,,
Thermo,41,408-465,,,
Thermo,42,333-387,556-612,,
Thermo,43,322-364,370-454,,
Thermo,44,352-502,557-598,,
Thermo,45,308-436,,,
Thermo,46,0-69,153-197,381-432,568-613
Thermo,47,0-69,153-197,381-432,568-613
Thermo,48,,,,
Thermo,49,256-453,,,
Thermo,50,85-122,403-488,,
Thermo,51,349-402,465-536,,
Thermo,52,359-519,,,
Thermo,53,340-490,,,
Thermo,54,372-437,,,
Thermo,55,347-427,,,
Thermo,56,240-286,320-411,,
Thermo,57,314-436,,,
Thermo,58,,,,
Thermo,59,280-318,411-477,,
Thermo,60,150-197,221-429,,
Thermo,61,400-448,,,
Thermo,62,301-467,499-580,,
Thermo,63,285-463,,,
Thermo,64,385-468,,,
Thermo,65,383-422,,,
Thermo,66,223-323,349-441,,
Thermo,67,,,,
Thermo,68,434-551,,,
Thermo,69,220-425,,,
Thermo,70,357-450,,,
Thermo,71,424-501,,,
Thermo,72,387-456,552-613,,
Thermo,73,150-242,332-429,,
Thermo,74,350-432,,,
Thermo,75,,,,
Thermo,76,399-447,,,
Thermo,77,349-445,,,
Thermo,78,372-477,,,
Thermo,79,283-432,,,
Thermo,80,266-424,432-475,,
Thermo,81,224-503,,,
Thermo,82,334-447,,,
Thermo,83,353-476,,,
Thermo,84,428-497,,,
Thermo,85,402-445,477-570,,
Thermo,86,195-262,273-317,404-474,
Thermo,87,362-446,,,
Thermo,88,392-498,,,
Thermo,89,201-285,352-453,,
Thermo,90,,,,
Thermo,91,512-565,569-613,,
Thermo,92,,,,
Thermo,93,281-440,,,
Thermo,94,279-389,394-480,,
Thermo,95,456-504,,,
Thermo,96,400-453,526-613,,
Thermo,97,339-390,413-469,,
Thermo,98,313-389,,,
Thermo,99,267-416,,,
Thermo,100,577-613,,,
Thermo,101,167-269,379-446,,
Thermo,102,250-328,345-430,,
Thermo,103,326-393,,,
Thermo,104,307-404,,,
Thermo,105,395-473,,,
Thermo,106,342-455,,,
Thermo,107,359-429,,,
Thermo,108,168-447,,,
Thermo,109,196-462,,,
Thermo,110,236-311,318-471,,
Thermo,111,302-433,,,
Thermo,112,,,,
Thermo,113,397-443,,,
Thermo,114,289-364,368-422,,
Thermo,115,304-577,,,
Thermo,116,414-510,,,
Thermo,117,220-293,,,
Thermo,118,207-316,400-486,,
Thermo,119,,,,
Thermo,120,,,,
Thermo,121,380-469,525-613,,
Thermo,122,84-132,560-613,,
Thermo,123,316-380,,,
Thermo,124,404-446,547-595,,
Thermo,125,394-492,,,
Thermo,126,259-298,332-446,,
Thermo,127,364-519,,,
Thermo,128,,,,
Thermo,129,379-483,509-597,,
Thermo,130,,,,
Thermo,131,,,,
Thermo,132,378-426,,,
Thermo,133,383-489,,,
Thermo,134,197-236,322-361,,
Thermo,135,,,,
Thermo,136,194-239,402-460,,
Thermo,137,,,,
Thermo,138,,,,
Thermo,139,17-80,369-447,,
Thermo,140,,,,
Thermo,141,345-391,,,
Thermo,142,0-46,502-556,,
Thermo,143,282-436,442-481,,
Thermo,144,258-295,,,
Thermo,145,,,,
Thermo,146,325-453,,,
Thermo,147,396-468,,,
Thermo,148,270-434,455-501,,
Thermo,149,378-449,,,
Thermo,150,68-167,188-319,,
Thermo,151,192-238,296-427,519-575,
Thermo,152,428-543,,,
Thermo,153,188-269,280-467,,
Thermo,154,,,,
Thermo,155,360-494,,,
Thermo,156,378-433,550-600,,
Thermo,157,,,,
Thermo,158,,,,
Thermo,159,233-434,,,
Thermo,160,301-343,403-528,,
Thermo,161,272-464,501-551,,
Thermo,162,,,,
Thermo,163,364-428,,,
Thermo,164,176-218,226-430,,
Thermo,165,,,,
Thermo,166,52-117,190-325,398-469,
Thermo,167,370-484,,,
Thermo,168,381-466,,,
Thermo,169,401-530,,,
Thermo,170,,,,
Thermo,171,345-429,,,
Thermo,172,,,,
Thermo,173,,,,
Thermo,174,289-385,,,
Thermo,175,389-430,,,
Thermo,176,364-427,,,
Thermo,177,439-541,,,
Thermo,178,334-457,,,
Thermo,179,,,,
Thermo,180,357-433,,,
Thermo,181,0-49,,,
Thermo,182,281-318,330-444,,
Thermo,183,0-41,427-482,,
Thermo,184,,,,
Thermo,185,340-462,552-613,,
Thermo,186,227-310,385-458,,
Thermo,187,272-551,,,
Thermo,188,374-468,,,
Thermo,189,502-541,545-593,,
Thermo,190,455-559,,,
Thermo,191,,,,
Thermo,192,382-463,476-563,,
Thermo,193,24-75,406-474,,
Thermo,194,278-338,343-384,,
Thermo,195,423-471,,,
Thermo,196,171-232,381-450,,
Thermo,197,389-457,,,
Thermo,198,347-442,,,
Thermo,199,319-525,,,
Thermo,200,249-345,349-434,,
Thermo,201,,,,
Thermo,202,19-56,134-298,,
Thermo,203,479-556,,,
Thermo,204,376-437,,,
Thermo,205,58-185,478-613,,
Thermo,206,165-216,277-372,497-556,
Thermo,207,456-582,,,
Thermo,208,310-413,473-513,,
Thermo,209,199-269,,,
Thermo,210,,,,
Thermo,211,358-449,,,
Thermo,212,41-102,,,
Thermo,213,320-466,,,
Thermo,214,363-446,481-525,,
Thermo,215,,,,
Thermo,216,,,,
Thermo,217,385-444,,,
Thermo,218,345-452,479-613,,
Thermo,219,397-472,507-579,,
Thermo,220,243-442,,,
Thermo,221,300-409,,,
Thermo,222,0-44,397-481,525-613,
Thermo,223,362-480,,,
Thermo,224,,,,
Thermo,225,270-429,,,
Thermo,226,385-424,437-487,,
Thermo,227,,,,
Thermo,228,204-312,,,
Thermo,229,253-326,,,
Thermo,230,333-448,,,
Thermo,231,268-427,,,
Thermo,232,,,,
Thermo,233,365-427,,,
Thermo,234,272-348,432-487,,
Thermo,235,192-433,,,
Thermo,236,324-485,,,
Thermo,237,178-221,342-380,385-430,535-589
Thermo,238,409-457,,,
Thermo,239,207-369,403-456,,
Thermo,240,,,,
Thermo,241,,,,
Thermo,242,32-100,381-452,,
Thermo,243,309-479,,,
Thermo,244,276-364,,,
Thermo,245,464-502,507-582,,
Thermo,246,354-457,511-596,,
Thermo,247,231-271,292-328,,
Thermo,248,276-453,458-542,,
Thermo,249,381-452,,,
Thermo,250,346-416,,,
Thermo,251,298-409,,,
Thermo,252,144-189,,,
Thermo,253,187-225,305-341,389-466,
Thermo,254,506-613,,,
Thermo,255,399-451,,,
Thermo,256,,,,
Thermo,257,326-366,378-429,448-597,
Thermo,258,533-608,,,
Thermo,259,295-458,,,
Thermo,260,403-450,,,
Thermo,261,361-445,,,
Thermo,262,420-481,,,
Thermo,263,2-66,387-445,,
Thermo,264,368-426,,,
Thermo,265,399-499,508-560,,
Thermo,266,286-430,,,
Thermo,267,331-408,430-473,,
Thermo,268,338-388,,,
Thermo,269,205-320,,,
Thermo,270,263-455,478-527,,
Thermo,271,,,,
Thermo,272,301-443,,,
Thermo,273,42-78,,,
Thermo,274,279-356,,,
Thermo,275,,,,
Thermo,276,,,,
Thermo,277,351-410,505-548,,
Thermo,278,348-384,425-498,,
Thermo,279,,,,
Thermo,280,276-362,429-474,,
Thermo,281,299-441,,,
Thermo,282,334-436,496-578,,
Thermo,283,370-537,,,
Thermo,284,251-315,372-455,,
Thermo,285,,,,
Thermo,286,377-466,,,
Thermo,287,225-270,280-372,379-485,
Thermo,288,16-100,381-461,,
Thermo,289,,,,
Thermo,290,270-437,,,
Thermo,291,6-100,,,
Thermo,292,291-351,400-498,,
Thermo,293,130-237,312-409,553-591,
Thermo,294,367-446,,,
Thermo,295,363-436,,,
Thermo,296,205-287,384-461,,
Thermo,297,254-396,,,
Thermo,298,267-465,,,
Thermo,299,390-454,498-556,,
Thermo,300,356-447,,,
Thermo,301,,,,
Thermo,302,122-270,281-328,,
Thermo,303,379-438,,,
Thermo,304,309-444,,,
Thermo,305,,,,
Thermo,306,257-434,,,
Thermo,307,275-554,,,
Thermo,308,380-458,,,
Thermo,309,,,,
Thermo,310,250-449,,,
