Organism,Seq,Positions,,
Ecoli,1,377-482,,
Ecoli,2,20-70,373-437,
Ecoli,3,340-440,,
Ecoli,4,320-396,435-492,
Ecoli,5,339-474,,
Ecoli,6,311-528,,
Ecoli,7,267-333,397-468,
Ecoli,8,343-468,,
Ecoli,9,0-62,152-260,
Ecoli,10,363-432,458-534,
Ecoli,11,278-525,,
Ecoli,12,349-448,455-544,
Ecoli,13,361-483,487-575,
Ecoli,14,43-107,388-469,
Ecoli,15,220-278,,
Ecoli,16,263-317,415-496,
Ecoli,17,248-320,342-452,
Ecoli,18,326-409,,
Ecoli,19,316-417,428-479,537-595
Ecoli,20,384-532,,
Ecoli,21,315-372,376-475,
Ecoli,22,216-255,,
Ecoli,23,264-324,370-511,
Ecoli,24,380-509,,
Ecoli,25,315-412,,
Ecoli,26,366-458,473-540,
Ecoli,27,301-510,,
Ecoli,28,236-336,461-515,
Ecoli,29,415-478,,
Ecoli,30,442-513,,
Ecoli,31,378-474,,
Ecoli,32,289-426,,
Ecoli,33,269-376,,
Ecoli,34,277-395,470-556,
Ecoli,35,246-309,410-448,
Ecoli,36,277-326,413-556,
Ecoli,37,320-418,,
Ecoli,38,266-417,479-526,
Ecoli,39,503-593,,
Ecoli,40,323-391,,
Ecoli,41,326-377,394-480,
Ecoli,42,151-198,307-346,
Ecoli,43,,,
Ecoli,44,367-448,509-552,
Ecoli,45,502-550,,
Ecoli,46,183-450,,
Ecoli,47,327-433,,
Ecoli,48,306-407,453-523,
Ecoli,49,259-319,366-496,
Ecoli,50,362-418,,
Ecoli,51,325-523,,
Ecoli,52,247-362,426-475,484-526
Ecoli,53,428-492,,
Ecoli,54,234-271,402-513,
Ecoli,55,402-505,,
Ecoli,56,205-484,,
Ecoli,57,65-102,241-314,449-520
Ecoli,58,464-554,561-613,
Ecoli,59,,,
Ecoli,60,320-570,,
Ecoli,61,22-92,253-301,429-486
Ecoli,62,411-492,,
Ecoli,63,449-500,,
Ecoli,64,232-450,,
Ecoli,65,209-374,,
Ecoli,66,259-331,430-493,
Ecoli,67,273-353,411-508,
Ecoli,68,436-489,,
Ecoli,69,401-501,,
Ecoli,70,530-574,,
Ecoli,71,19-66,437-489,
Ecoli,72,,,
Ecoli,73,254-297,359-501,
Ecoli,74,408-477,,
Ecoli,75,421-551,,
Ecoli,76,329-608,,
Ecoli,77,208-462,,
Ecoli,78,340-406,435-483,
Ecoli,79,360-407,427-549,564-613
Ecoli,80,425-517,,
Ecoli,81,365-403,,
Ecoli,82,163-213,321-442,509-573
Ecoli,83,192-461,,
Ecoli,84,322-374,,
Ecoli,85,231-291,402-493,
Ecoli,86,348-517,,
Ecoli,87,301-481,,
Ecoli,88,342-421,,
Ecoli,89,330-499,,
Ecoli,90,210-414,,
Ecoli,91,262-305,,
Ecoli,92,380-469,568-609,
Ecoli,93,375-532,,
Ecoli,94,269-407,418-526,
Ecoli,95,334-450,,
Ecoli,96,316-490,,
Ecoli,97,8-86,210-260,550-606
Ecoli,98,422-529,,
Ecoli,99,205-280,381-482,
Ecoli,100,315-365,454-491,
Ecoli,101,379-483,,
Ecoli,102,278-444,,
Ecoli,103,297-431,485-531,
Ecoli,104,193-237,328-382,548-591
Ecoli,105,213-327,333-449,
Ecoli,106,317-460,,
Ecoli,107,229-348,411-453,
Ecoli,108,372-489,,
Ecoli,109,491-610,,
Ecoli,110,355-417,,
Ecoli,111,362-451,,
Ecoli,112,394-579,,
Ecoli,113,,,
Ecoli,114,,,
Ecoli,115,290-373,413-512,
Ecoli,116,146-309,,
Ecoli,117,254-313,321-480,
Ecoli,118,83-168,459-565,
Ecoli,119,353-479,,
Ecoli,120,,,
Ecoli,121,352-437,,
Ecoli,122,317-441,460-514,
Ecoli,123,155-195,256-347,476-525
Ecoli,124,235-406,,
Ecoli,125,173-286,,
Ecoli,126,221-281,322-394,413-500
Ecoli,127,325-368,518-604,
Ecoli,128,380-516,,
Ecoli,129,250-294,304-418,
Ecoli,130,335-439,,
Ecoli,131,259-310,391-538,
Ecoli,132,307-379,436-528,
