Organism,Seq,Positions,,
Ecoli,1,413;471,,
Ecoli,2,460;518,,
Ecoli,3,523;582,,
Ecoli,4,37;98,151;210,
Ecoli,5,174;443,,
Ecoli,6,306;417,492;532,
Ecoli,7,235;346,388;462,
Ecoli,8,347;453,536;575,
Ecoli,9,317;428,503;543,
Ecoli,10,74;128,262;332,409;537
Ecoli,11,156;209,343;413,490;613
Ecoli,12,181;234,368;438,515;613
Ecoli,13,187;240,374;444,521;613
Ecoli,14,198;251,385;455,532;613
Ecoli,15,103;169,486;524,
Ecoli,16,200;266,,
Ecoli,17,22;70,235;301,
Ecoli,18,44;93,,
Ecoli,19,289;393,,
Ecoli,20,189;253,400;439,
Ecoli,21,196;260,407;446,
Ecoli,22,263;352,502;540,
Ecoli,23,269;358,508;546,
Ecoli,24,272;361,511;549,
Ecoli,25,147;267,334;392,
Ecoli,26,207;330,392;452,
Ecoli,27,294;414,481;540,
Ecoli,28,327;447,514;573,
Ecoli,29,550;609,,
Ecoli,30,18;79,132;192,
Ecoli,31,223;293,410;502,
Ecoli,32,340;410,527;613,
Ecoli,33,361;431,547;613,
Ecoli,34,446;503,,
Ecoli,35,198;361,439;477,
Ecoli,36,211;373,451;490,
Ecoli,37,261;423,501;540,
Ecoli,38,269;432,494;548,
Ecoli,39,118;289,,
Ecoli,40,149;320,,
Ecoli,41,192;363,,
Ecoli,42,223;394,,
Ecoli,43,138;182,194;238,
Ecoli,44,159;203,215;259,
Ecoli,45,232;278,291;336,
Ecoli,46,167;245,399;446,
Ecoli,47,285;367,504;564,
Ecoli,48,319;400,538;598,
Ecoli,49,336;374,,
Ecoli,50,398;462,,
Ecoli,51,377;433,,
Ecoli,52,361;550,572;613,
Ecoli,53,370;559,,
Ecoli,54,379;568,,
Ecoli,55,222;317,360;468,
Ecoli,56,235;330,373;481,
Ecoli,57,251;346,389;497,
Ecoli,58,0;105,191;279,
Ecoli,59,0;60,183;233,
Ecoli,60,17;122,208;296,
Ecoli,61,329;379,441;490,
Ecoli,62,349;399,464;500,
Ecoli,63,367;417,482;518,
Ecoli,64,426;544,,
Ecoli,65,,,
Ecoli,66,,,
Ecoli,67,208;270,366;458,
Ecoli,68,231;293,389;481,
Ecoli,69,293;359,455;547,
Ecoli,70,356;483,531;601,
Ecoli,71,360;487,535;605,
Ecoli,72,405;532,,
Ecoli,73,338;406,,
Ecoli,74,415;484,,
Ecoli,75,344;412,,
Ecoli,76,324;366,395;576,
Ecoli,77,327;369,398;579,
Ecoli,78,368;410,439;613,
Ecoli,79,270;365,,
Ecoli,80,272;367,,
Ecoli,81,289;378,,
Ecoli,82,144;186,209;246,
Ecoli,83,245;290,294;370,
Ecoli,84,83;122,427;499,
Ecoli,85,21;145,149;193,493;544
Ecoli,86,26;150,154;198,498;549
Ecoli,87,82;206,210;254,554;605
Ecoli,88,,,
Ecoli,89,459;546,,
Ecoli,90,,,
Ecoli,91,,,
Ecoli,92,297;367,426;506,
Ecoli,93,380;450,510;590,
Ecoli,94,439;527,,
Ecoli,95,329;542,,
Ecoli,96,349;489,,
Ecoli,97,563;613,,
Ecoli,98,,,
Ecoli,99,256;409,418;512,
Ecoli,100,269;421,430;509,
Ecoli,101,338;488,499;584,
Ecoli,102,206;280,364;443,
Ecoli,103,348;384,,
Ecoli,104,353;397,426;482,
Ecoli,105,20;60,408;451,482;537
Ecoli,106,73;121,256;335,402;473
Ecoli,107,137;192,326;404,473;538
Ecoli,108,211;377,,
Ecoli,109,255;422,,
Ecoli,110,343;425,,
Ecoli,111,347;443,,
Ecoli,112,405;453,,
Ecoli,113,518;572,,
Ecoli,114,60;97,232;271,552;613
Ecoli,115,169;205,340;379,
Ecoli,116,202;481,,
Ecoli,117,246;525,,
Ecoli,118,295;349,,
Ecoli,119,380;434,,
Ecoli,120,,,
Ecoli,121,,,
Ecoli,122,435;514,518;556,
Ecoli,123,444;523,527;565,
Ecoli,124,376;512,,
Ecoli,125,381;517,,
Ecoli,126,347;419,423;520,
Ecoli,127,,,
Ecoli,128,280;467,,
Ecoli,129,470;613,,
Ecoli,130,259;342,400;471,479;515
Ecoli,131,319;402,460;531,539;575
Ecoli,132,233;404,,
Ecoli,133,413;583,,
Ecoli,134,156;269,331;435,
Ecoli,135,187;306,361;466,
Ecoli,136,213;285,367;461,566;613
Ecoli,137,303;372,454;548,
Ecoli,138,293;347,401;479,
Ecoli,139,418;557,,
Ecoli,140,204;251,317;481,
Ecoli,141,397;559,,
Ecoli,142,356;406,,
Ecoli,143,377;428,,
Ecoli,144,384;446,,
Ecoli,145,459;522,,
Ecoli,146,438;545,,
Ecoli,147,459;566,,
Ecoli,148,299;458,,
Ecoli,149,439;598,,
Ecoli,150,387;445,,
Ecoli,151,435;492,,
Ecoli,152,251;316,409;453,
Ecoli,153,262;327,420;464,
Ecoli,154,274;400,481;517,
Ecoli,155,367;493,,
Ecoli,156,306;426,,
Ecoli,157,416;538,,
Ecoli,158,126;213,320;405,
Ecoli,159,172;259,366;451,
Ecoli,160,159;378,386;438,
Ecoli,161,169;388,396;448,
Ecoli,162,345;491,502;550,
Ecoli,163,374;520,531;591,
Ecoli,164,183;299,,
Ecoli,165,360;477,,
Ecoli,166,215;323,364;423,429;494
Ecoli,167,302;409,455;510,516;581
Ecoli,168,,,
Ecoli,169,,,
Ecoli,170,242;429,,
Ecoli,171,269;458,,
Ecoli,172,276;427,494;543,
Ecoli,173,300;451,518;567,
Ecoli,174,,,
Ecoli,175,,,
Ecoli,176,317;364,433;507,
Ecoli,177,328;375,444;518,
Ecoli,178,434;551,,
Ecoli,179,,,
Ecoli,180,334;486,,
Ecoli,181,345;498,,
Ecoli,182,330;485,,
Ecoli,183,364;518,,
Ecoli,184,378;488,,
Ecoli,185,385;496,,
Ecoli,186,273;323,327;369,
Ecoli,187,328;409,,
Ecoli,188,195;295,412;474,
Ecoli,189,201;303,413;480,
Ecoli,190,450;613,,
Ecoli,191,0;38,553;613,
Ecoli,192,317;424,464;538,
Ecoli,193,371;409,413;475,507;589
Ecoli,194,275;394,,
Ecoli,195,337;456,,
Ecoli,196,214;276,,
Ecoli,197,256;321,,
Ecoli,198,410;574,,
Ecoli,199,505;613,,
Ecoli,200,,,
Ecoli,201,,,
Ecoli,202,270;358,370;446,467;513
Ecoli,203,345;433,445;521,542;588
Ecoli,204,,,
Ecoli,205,,,
Ecoli,206,307;470,,
Ecoli,207,353;516,,
Ecoli,208,379;502,506;544,
Ecoli,209,427;592,,
Ecoli,210,188;271,355;458,
Ecoli,211,471;531,,
Ecoli,212,389;457,,
Ecoli,213,464;530,,
Ecoli,214,3;44,437;515,
Ecoli,215,369;582,,
Ecoli,216,348;399,,
Ecoli,217,412;463,,
Ecoli,218,,,
Ecoli,219,,,
Ecoli,220,250;286,352;485,567;604
Ecoli,221,298;334,400;533,
Ecoli,222,544;613,,
Ecoli,223,,,
Ecoli,224,388;462,576;613,
Ecoli,225,51;93,460;536,
Ecoli,226,100;159,208;359,
Ecoli,227,114;173,222;373,
Ecoli,228,0;44,331;455,
Ecoli,229,232;319,439;502,
Ecoli,230,,,
Ecoli,231,,,
Ecoli,232,155;240,386;434,
