Organism,Seq,Positions,,
Methano,1,180-448,,
Methano,2,466-503,,
Methano,3,0-58,394-469,
Methano,4,168-238,,
Methano,5,,,
Methano,6,22-74,148-301,377-427
Methano,7,346-383,445-551,
Methano,8,373-464,,
Methano,9,273-369,375-443,
Methano,10,358-478,,
Methano,11,249-407,,
Methano,12,394-569,,
Methano,13,136-223,227-329,
Methano,14,256-299,308-448,454-491
Methano,15,259-492,,
Methano,16,259-357,,
Methano,17,173-322,401-452,
Methano,18,359-447,,
Methano,19,497-556,,
Methano,20,436-477,,
Methano,21,,,
Methano,22,71-134,144-269,
Methano,23,204-276,295-338,
Methano,24,316-406,,
Methano,25,232-306,,
Methano,26,357-427,,
Methano,27,212-426,438-491,
Methano,28,230-281,296-366,
Methano,29,352-457,,
Methano,30,275-378,397-465,
Methano,31,227-316,,
Methano,32,180-225,368-459,506-602
Methano,33,318-485,,
Methano,34,296-350,,
Methano,35,,,
Methano,36,183-220,270-348,
Methano,37,150-204,,
Methano,38,324-432,,
Methano,39,289-474,,
Methano,40,225-473,,
Methano,41,97-154,,
Methano,42,244-282,372-451,565-613
Methano,43,,,
Methano,44,524-597,,
Methano,45,188-233,401-467,
Methano,46,,,
Methano,47,258-492,,
Methano,48,406-491,,
Methano,49,259-341,,
Methano,50,136-194,200-261,287-415
Methano,51,65-113,131-235,540-603
Methano,52,375-431,,
Methano,53,259-315,479-538,
Methano,54,291-331,430-564,
Methano,55,272-475,,
Methano,56,308-429,461-503,
Methano,57,253-315,,
Methano,58,35-115,,
Methano,59,369-444,,
Methano,60,48-96,436-509,
Methano,61,407-572,,
Methano,62,191-270,303-448,
Methano,63,235-306,325-442,
Methano,64,201-241,,
Methano,65,192-303,309-407,
Methano,66,379-452,,
Methano,67,367-406,463-534,
Methano,68,,,
Methano,69,306-368,,
Methano,70,,,
Methano,71,277-362,,
Methano,72,67-108,224-260,
Methano,73,387-465,538-613,
Methano,74,248-429,,
Methano,75,335-484,,
Methano,76,168-212,,
Methano,77,,,
Methano,78,304-343,,
Methano,79,141-194,,
Methano,80,272-510,,
Methano,81,67-108,389-445,
Methano,82,409-511,,
Methano,83,292-376,386-492,
Methano,84,233-298,462-512,
Methano,85,,,
Methano,86,297-433,,
Methano,87,231-352,,
Methano,88,67-107,255-317,400-499
Methano,89,180-371,380-422,
Methano,90,269-335,342-451,
Methano,91,,,
Methano,92,195-256,382-438,
Methano,93,397-476,,
Methano,94,562-609,,
Methano,95,,,
Methano,96,412-461,,
Methano,97,222-274,308-452,
Methano,98,247-347,378-480,
Methano,99,,,
Methano,100,267-410,497-544,
Methano,101,269-458,,
Methano,102,,,
Methano,103,243-426,,
Methano,104,348-490,,
Methano,105,10-51,380-436,
Methano,106,333-476,,
Methano,107,368-581,,
Methano,108,317-408,,
Methano,109,283-330,,
Methano,110,0-37,369-483,
Methano,111,575-613,,
Methano,112,202-258,327-426,543-606
Methano,113,200-240,,
Methano,114,320-386,454-519,
Methano,115,453-533,,
Methano,116,248-355,363-431,
Methano,117,254-357,456-528,
Methano,118,148-306,325-409,
Methano,119,31-74,357-496,569-607
Methano,120,417-537,542-579,
Methano,121,402-483,,
Methano,122,289-370,383-473,
Methano,123,279-368,389-442,
Methano,124,15-105,403-454,
Methano,125,,,
Methano,126,563-610,,
Methano,127,226-444,,
Methano,128,270-357,388-470,
Methano,129,348-391,534-593,
Methano,130,566-612,,
Methano,131,,,
Methano,132,209-261,372-454,
Methano,133,260-367,373-539,
Methano,134,270-428,,
Methano,135,300-412,543-579,
Methano,136,315-428,,
Methano,137,315-511,,
Methano,138,362-580,,
Methano,139,295-479,521-574,
Methano,140,363-446,456-507,
Methano,141,210-262,342-489,
Methano,142,309-431,,
Methano,143,194-287,388-473,
Methano,144,369-491,,
Methano,145,191-231,275-454,
Methano,146,294-449,531-573,
Methano,147,345-451,,
Methano,148,342-452,505-611,
Methano,149,282-333,339-448,
Methano,150,58-105,,
Methano,151,299-340,392-445,
Methano,152,0-55,512-553,
Methano,153,307-424,,
Methano,154,243-438,,
Methano,155,257-432,,
Methano,156,371-476,483-550,
Methano,157,290-509,,
Methano,158,,,
Methano,159,278-348,,
Methano,160,382-451,,
Methano,161,288-427,,
Methano,162,308-461,,
Methano,163,386-509,,
Methano,164,282-393,402-511,
Methano,165,,,
Methano,166,130-247,,
Methano,167,0-43,556-613,
Methano,168,242-480,,
Methano,169,201-251,,
Methano,170,188-230,312-351,355-467
Methano,171,286-385,,
Methano,172,368-442,,
Methano,173,267-546,,
Methano,174,,,
Methano,175,303-442,,
Methano,176,238-456,,
Methano,177,170-274,279-350,360-398
Methano,178,382-465,473-517,
Methano,179,271-313,318-445,451-512
Methano,180,,,
Methano,181,126-227,538-613,
Methano,182,286-471,,
Methano,183,376-437,,
Methano,184,380-498,559-613,
Methano,185,242-278,,
Methano,186,0-57,124-165,
Methano,187,0-170,,
Methano,188,274-346,352-501,
Methano,189,425-487,501-546,551-588
Methano,190,83-125,481-545,
Methano,191,348-488,527-613,
Methano,192,232-281,306-345,
Methano,193,572-613,,
Methano,194,311-538,,
Methano,195,63-100,401-486,
Methano,196,314-454,,
Methano,197,,,
Methano,198,,,
Methano,199,237-496,,
Methano,200,,,
Methano,201,26-97,,
Methano,202,184-305,,
Methano,203,320-436,531-599,
Methano,204,216-258,389-476,
Methano,205,,,
Methano,206,0-53,334-492,
Methano,207,184-249,382-463,
Methano,208,290-473,,
Methano,209,249-378,393-528,
Methano,210,329-455,,
Methano,211,447-557,,
Methano,212,284-552,,
Methano,213,193-269,286-472,
Methano,214,395-446,,
Methano,215,258-437,,
Methano,216,372-427,,
Methano,217,336-406,,
Methano,218,341-380,,
Methano,219,393-438,,
Methano,220,318-364,408-471,525-597
Methano,221,266-441,,
Methano,222,92-171,,
Methano,223,145-277,,
Methano,224,523-599,,
Methano,225,352-576,,
Methano,226,297-355,,
Methano,227,135-247,332-414,528-611
Methano,228,181-235,245-344,413-460
Methano,229,0-51,345-394,
Methano,230,321-368,374-446,456-530
Methano,231,210-282,318-361,439-489
Methano,232,332-452,,
Methano,233,456-519,,
Methano,234,38-161,550-598,
Methano,235,57-100,227-313,400-506
Methano,236,405-526,,
Methano,237,0-48,374-446,
Methano,238,240-352,469-519,
Methano,239,290-410,531-569,
Methano,240,178-325,,
Methano,241,185-280,297-464,
Methano,242,244-467,,
Methano,243,279-327,410-558,
Methano,244,229-269,,
Methano,245,373-503,,
Methano,246,333-500,,
Methano,247,334-458,,
Methano,248,10-72,353-431,
Methano,249,247-429,,
Methano,250,398-437,,
Methano,251,239-328,400-452,
Methano,252,386-454,526-563,
Methano,253,75-150,,
Methano,254,260-461,,
Methano,255,302-504,,
Methano,256,379-447,,
Methano,257,,,
Methano,258,292-396,,
Methano,259,272-369,,
