Organism,Seq,Positions,,,
Chlamydia,1,331-468,,,
Chlamydia,2,258-307,479-533,,
Chlamydia,3,217-267,414-517,,
Chlamydia,4,126-163,170-215,283-415,
Chlamydia,5,179-225,338-507,,
Chlamydia,6,325-405,434-522,574-613,
Chlamydia,7,140-231,572-613,,
Chlamydia,8,387-448,505-613,,
Chlamydia,9,328-423,515-610,,
Chlamydia,10,282-449,,,
Chlamydia,11,235-333,346-426,,
Chlamydia,12,326-491,,,
Chlamydia,13,194-246,388-477,,
Chlamydia,14,350-613,,,
Chlamydia,15,556-613,,,
Chlamydia,16,392-450,,,
Chlamydia,17,246-381,,,
Chlamydia,18,76-152,246-332,382-502,
Chlamydia,19,377-479,,,
Chlamydia,20,27-71,364-463,513-613,
Chlamydia,21,301-372,395-582,,
Chlamydia,22,379-427,445-613,,
Chlamydia,23,132-169,433-547,,
Chlamydia,24,184-225,356-548,567-612,
Chlamydia,25,305-506,571-613,,
Chlamydia,26,,,,
Chlamydia,27,335-464,,,
Chlamydia,28,181-267,394-483,,
Chlamydia,29,46-99,167-486,,
Chlamydia,30,317-457,461-600,,
Chlamydia,31,328-453,511-555,,
Chlamydia,32,296-502,559-613,,
Chlamydia,33,193-289,321-359,366-427,
Chlamydia,34,269-483,,,
Chlamydia,35,316-436,,,
Chlamydia,36,239-522,,,
Chlamydia,37,291-463,,,
Chlamydia,38,244-443,,,
Chlamydia,39,115-197,201-470,,
Chlamydia,40,380-489,,,
Chlamydia,41,76-123,235-448,,
Chlamydia,42,179-479,,,
Chlamydia,43,202-422,429-476,,
Chlamydia,44,24-159,276-403,,
Chlamydia,45,332-382,387-528,,
Chlamydia,46,252-333,358-465,,
Chlamydia,47,383-483,487-570,,
Chlamydia,48,347-414,,,
Chlamydia,49,401-499,,,
Chlamydia,50,323-406,,,
Chlamydia,51,299-455,,,
Chlamydia,52,418-491,,,
Chlamydia,53,91-384,,,
Chlamydia,54,257-322,,,
Chlamydia,55,253-429,,,
Chlamydia,56,279-333,352-426,506-559,
Chlamydia,57,309-492,,,
Chlamydia,58,93-480,487-532,,
Chlamydia,59,205-273,542-613,,
Chlamydia,60,,,,
Chlamydia,61,323-477,,,
Chlamydia,62,308-478,,,
Chlamydia,63,322-422,,,
Chlamydia,64,51-98,279-462,,
Chlamydia,65,214-274,420-467,,
Chlamydia,66,428-543,,,
Chlamydia,67,63-120,497-541,,
Chlamydia,68,141-379,529-613,,
Chlamydia,69,451-496,,,
Chlamydia,70,199-276,299-393,,
Chlamydia,71,41-140,430-527,,
Chlamydia,72,244-528,,,
Chlamydia,73,234-282,329-473,,
Chlamydia,74,381-453,,,
Chlamydia,75,281-500,,,
Chlamydia,76,209-268,390-474,,
Chlamydia,77,320-490,,,
Chlamydia,78,297-467,,,
Chlamydia,79,253-486,,,
Chlamydia,80,0-44,312-448,,
Chlamydia,81,283-431,,,
Chlamydia,82,250-365,483-537,,
Chlamydia,83,247-371,,,
Chlamydia,84,41-103,244-497,558-613,
Chlamydia,85,386-546,,,
Chlamydia,86,16-98,240-312,400-506,
Chlamydia,87,396-455,,,
Chlamydia,88,163-200,371-479,,
Chlamydia,89,307-478,,,
Chlamydia,90,195-257,324-473,,
Chlamydia,91,2-486,,,
Chlamydia,92,324-481,,,
Chlamydia,93,264-312,511-548,,
Chlamydia,94,256-442,,,
Chlamydia,95,157-255,407-450,,
Chlamydia,96,151-194,199-302,310-458,463-613
Chlamydia,97,175-343,411-457,,
Chlamydia,98,222-270,,,
Chlamydia,99,165-212,241-278,341-454,
Chlamydia,100,311-375,463-504,534-613,
Chlamydia,101,274-436,,,
Chlamydia,102,0-111,194-275,,
Chlamydia,103,174-227,405-471,575-613,
Chlamydia,104,342-412,565-603,,
Chlamydia,105,136-237,,,
Chlamydia,106,327-454,,,
Chlamydia,107,294-475,,,
Chlamydia,108,328-515,,,
Chlamydia,109,6-51,280-531,,
Chlamydia,110,363-472,,,
Chlamydia,111,145-206,345-451,,
Chlamydia,112,344-529,,,
Chlamydia,113,291-459,,,
Chlamydia,114,309-432,,,
Chlamydia,115,321-582,,,
Chlamydia,116,314-426,433-538,,
Chlamydia,117,220-459,,,
Chlamydia,118,90-194,,,
Chlamydia,119,299-402,,,
Chlamydia,120,332-464,546-583,,
Chlamydia,121,201-467,526-613,,
Chlamydia,122,38-89,361-494,555-605,
Chlamydia,123,215-504,,,
Chlamydia,124,309-478,,,
Chlamydia,125,308-477,,,
Chlamydia,126,360-470,,,
Chlamydia,127,276-331,379-539,,
Chlamydia,128,291-449,456-557,,
Chlamydia,129,68-114,388-457,,
Chlamydia,130,232-301,331-406,,
Chlamydia,131,384-471,,,
Chlamydia,132,184-234,512-563,,
Chlamydia,133,219-290,335-516,,
Chlamydia,134,169-227,269-310,381-464,490-573
Chlamydia,135,293-412,544-613,,
Chlamydia,136,63-257,273-332,,
Chlamydia,137,198-245,274-441,445-553,
Chlamydia,138,422-477,524-612,,
Chlamydia,139,16-84,383-506,,
Chlamydia,140,204-286,360-493,,
Chlamydia,141,99-203,302-342,417-500,533-613
Chlamydia,142,194-281,355-613,,
Chlamydia,143,174-232,285-372,386-514,
Chlamydia,144,3-41,297-360,371-492,
Chlamydia,145,307-343,376-508,,
Chlamydia,146,147-183,263-369,379-435,510-558
Chlamydia,147,405-495,,,
Chlamydia,148,59-109,192-308,479-538,
Chlamydia,149,368-501,,,
Chlamydia,150,311-430,438-551,,
Chlamydia,151,280-429,457-524,,
Chlamydia,152,339-506,,,
Chlamydia,153,43-180,184-321,387-458,506-595
Chlamydia,154,292-461,,,
Chlamydia,155,0-115,343-484,,
Chlamydia,156,409-613,,,
Chlamydia,157,400-470,550-613,,
Chlamydia,158,259-475,,,
Chlamydia,159,154-219,312-424,,
Chlamydia,160,366-437,568-613,,
Chlamydia,161,396-496,505-613,,
Chlamydia,162,7-43,376-471,535-595,
Chlamydia,163,269-500,,,
Chlamydia,164,309-395,,,
Chlamydia,165,115-186,371-434,566-613,
Chlamydia,166,16-102,387-539,,
Chlamydia,167,322-439,449-541,,
Chlamydia,168,60-194,200-271,374-465,
Chlamydia,169,174-286,,,
Chlamydia,170,283-510,,,
Chlamydia,171,401-464,,,
