Organism,Seq,Positions,,,
Chlamydia,1,280-424,,,
Chlamydia,2,232-464,,,
Chlamydia,3,168-240,384-480,,
Chlamydia,4,104-368,432-456,,
Chlamydia,5,152-184,320-472,,
Chlamydia,6,296-480,,,
Chlamydia,7,112-184,,,
Chlamydia,8,256-272,360-408,488-560,
Chlamydia,9,48-80,288-416,480-560,
Chlamydia,10,40-64,264-480,,
Chlamydia,11,184-376,,,
Chlamydia,12,320-432,,,
Chlamydia,13,176-224,360-424,,
Chlamydia,14,320-560,,,
Chlamydia,15,56-120,392-424,536-560,
Chlamydia,16,352-488,,,
Chlamydia,17,240-416,,,
Chlamydia,18,56-296,360-464,,
Chlamydia,19,168-200,312-440,,
Chlamydia,20,328-424,480-560,,
Chlamydia,21,88-552,,,
Chlamydia,22,216-288,352-560,,
Chlamydia,23,408-544,,,
Chlamydia,24,128-560,,,
Chlamydia,25,64-128,264-560,,
Chlamydia,26,352-384,,,
Chlamydia,27,312-424,,,
Chlamydia,28,160-232,376-472,,
Chlamydia,29,24-432,,,
Chlamydia,30,304-560,,,
Chlamydia,31,304-416,,,
Chlamydia,32,0-56,224-464,536-560,
Chlamydia,33,168-256,304-408,,
Chlamydia,34,240-440,,,
Chlamydia,35,288-392,,,
Chlamydia,36,40-560,,,
Chlamydia,37,216-408,,,
Chlamydia,38,32-72,240-408,,
Chlamydia,39,80-424,,,
Chlamydia,40,368-440,,,
Chlamydia,41,40-80,144-408,,
Chlamydia,42,8-56,144-432,,
Chlamydia,43,128-424,,,
Chlamydia,44,0-128,224-344,,
Chlamydia,45,304-472,,,
Chlamydia,46,72-104,240-416,,
Chlamydia,47,328-536,,,
Chlamydia,48,336-392,496-504,,
Chlamydia,49,112-144,320-536,,
Chlamydia,50,0-40,304-344,,
Chlamydia,51,240-408,,,
Chlamydia,52,96-176,384-456,,
Chlamydia,53,56-384,,,
Chlamydia,54,208-304,,,
Chlamydia,55,240-392,,,
Chlamydia,56,216-376,448-544,,
Chlamydia,57,288-440,,,
Chlamydia,58,8-520,,,
Chlamydia,59,120-248,368-424,520-560,
Chlamydia,60,120-192,,,
Chlamydia,61,320-416,520-552,,
Chlamydia,62,0-24,320-424,,
