"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31"
"a",-0.165793962411128,-0.223893698827301,-0.172933997977508,-0.0453569621160626,0.100246080660092,-0.0459066812010968,0.292878259113271,-0.277967606763386,0.0654365479846931,-0.153673728205761,0.152313646491671,0.0954258731327672,-0.0862058255651845,-0.0746819406161239,-0.161493765232435,0.0193918510981466,0.0100039829611226,0.182034436449539,0.107118978807925,0.242946987022647,-0.14567359100581,-0.172108913092437,-0.236233420424179,-0.220547262046813,-0.369476772538323,-0.0820306112776445,0.158209547390223,0.407953370984601,0.116416907890678,-0.0646492659758783,-0.0640101421959457
"b",-0.186077727676487,-0.0575075584544,-0.247161541484252,-0.277306532397923,-0.295036699101317,-0.202422963139325,-0.0374213860486778,0.118482107394734,-0.516489769483925,0.0703210436611493,0.082128109545924,-0.139100657692591,0.143401420849277,0.121977967404029,0.211433773621273,0.457927332495492,0.150682716711865,-0.101411602988128,-0.0348134803414763,0.161086318421554,-0.109830340067917,0.0298878638254008,-0.0916977940572785,-0.00876377877386411,0.0112947550811821,-0.0842698313486907,-0.0583882798277643,0.0203340768114573,0.0154748046898518,-0.00205839249240706,-0.00938692269729739
"c",-0.148499176607541,-0.224849909471872,0.097191021903231,0.0533922105324203,0.0645544481296038,-0.085750109058398,-0.105146768405143,-0.00587320343228085,0.022632561070281,-0.0297100704591912,0.00576955812533087,0.119105479922284,-0.26703317547467,-0.184923456982434,0.111302875236065,0.100438118444647,0.164511076336627,-0.13101276919033,-0.0583621200098522,0.0157535964077274,-0.0728174099002725,0.145894094594471,0.260955558331104,0.204048656968473,-0.179747352843207,0.135983513366239,0.0435418277823217,-0.175651370854454,0.587465370836387,-0.330169199144297,0.164341919647701
"d",-0.178643967755067,-0.195976496797804,-0.152546335908301,0.165413783890124,-0.00651864806782058,0.179693885445143,-0.169090626040421,-0.084284760099588,-0.24862971033931,-0.100806861607755,-0.234598079326572,0.0751529473848942,-0.157815391677948,0.078166553070091,-0.0762273355251742,-0.0967604436740067,-0.326947590043699,0.363531748430088,0.129796275808516,0.372868465733789,-0.00694908854623309,0.188473078584397,0.104872094411894,-0.00549836868186655,0.408245611133528,-0.0870348068163763,-0.0855056318666379,-0.0329983519673424,0.0536827295127176,-0.0682204413319255,-0.0215709871682782
"e",-0.148201855516838,-0.177230039698288,0.170950848153904,0.167720122725085,-0.06268512506681,0.0223489555312643,0.1494952067707,0.069670094013832,-0.153881087639377,-0.152578864571387,-0.17452478425575,0.0415353139285076,-0.0160439272574274,-0.0694997666141699,-0.206548417732208,0.167209755874095,0.0617415159607443,-0.00504208233503408,0.146948900917129,-0.17900783454278,0.183339256589738,-0.378404442745195,0.093887159323497,-0.156918613148455,-0.133159430471827,-0.429373653182094,-0.0131673462444054,-0.456597884970342,-0.0697411746110603,-0.0398302218079477,-0.133686060987625
"f",-0.138651645653308,-0.20681149541183,0.220118932479175,0.0260160521684237,-0.00938150070122306,-0.103397562991511,0.0818284283645849,0.250540722390867,0.00491402604129972,0.0103986949862047,0.0358245307207942,-0.00398565744005155,0.0226396120214841,-0.090614798326416,-0.0261719480237483,-0.0358158804898949,-0.0460428112052714,-0.0422441432831003,0.202167467456976,0.111696771442479,0.0664419968174713,-0.17150746019538,-0.0797413932450648,0.114068871135659,0.104437987174151,-0.01654261930293,-0.0519424851695491,0.161121529326964,-0.114389567540425,0.184020134575375,0.774123645276976
"g",-0.226107417917492,0.261240289598847,-0.276523873507092,0.0464126729050117,0.128057303977224,0.0341562546319623,0.0526337739757894,-0.229817456713396,-0.0579589915791286,0.0370513441113252,0.00259765201126868,0.0197354463403563,-0.0434272258407498,0.135296454610773,-0.0532277788664471,0.0344907431168131,-0.0656916666383532,0.12890796329922,-0.277381284881839,-0.0794272266256726,-0.13488835912822,0.119010122895014,0.297292441759118,-0.0156149497660212,-0.303449358937047,-0.0427930834803129,0.087269377774965,-0.205346830148017,-0.37677827972084,-0.120129429026169,0.417444503458231
"h",-0.145767970273184,-0.211648023494412,0.194484629470571,-0.040141631264658,0.0812483027432228,-0.0576193848440653,0.00700691877244177,0.236928624158796,0.0270279906219545,0.103937899448201,0.145715179926012,0.0174342258994865,-0.0300908413186954,-0.0278073040991293,0.078034012767684,-0.0195473008071337,-0.0932497785484652,-0.00884574530810988,0.00479773106082903,0.109319957267421,-0.0597303143111609,-0.153116694823204,0.207575452250209,0.244110698332095,-0.0314068812601599,0.123562878932177,-0.0903885108823155,0.184010437797913,-0.496011062797603,-0.499448830975331,-0.288092316486076
"i",-0.147419506083022,-0.19274450775754,0.138705357828704,0.0699208425811095,-0.0633843259219198,-0.25240853661906,0.219017357647517,-0.013188308558706,0.103868880882081,-0.0248645531161795,-0.175415073110131,0.117621822203635,-0.0153447782501988,-0.183510572945638,0.12440490297125,-0.0653282166501052,0.188578588246914,-0.144619079700113,-0.135481189919813,-0.025106027225792,0.0179430466220005,0.551497975075617,-0.164607067253757,-0.295560790120807,0.211909202629364,-0.118947822084387,0.25152347929612,-0.0268534762719758,-0.260908747559955,-0.073061220847827,-0.0247839055511581
"j",-0.153337185781922,-0.23807320827985,0.0762394535138481,-0.0555711043706908,0.0619216949537865,0.0073218638638018,0.00322342355962815,0.0239169204633493,0.0175104884475029,0.0297100741212124,0.183022191922649,0.107623077269058,-0.152160752503695,-0.0789338158817703,-0.145151982987043,0.0884472691701268,-0.0487659894744362,-0.137060214349895,-0.213416161810089,0.195762343231079,-0.0338844798785694,0.078870500630258,0.34046689276727,0.0593562648551487,-0.0854679611771209,0.1165590492851,0.00271731607461358,-0.0584749184384112,-0.102741803204664,0.697074222231722,-0.22195703820166
