Organism,Seq,Positions,,
Myco,1,79;141,,
Myco,2,287;333,,
Myco,3,46;99,,
Myco,4,,,
Myco,5,533;597,,
Myco,6,31;77,544;599,
Myco,7,416;458,,
Myco,8,280;420,458;539,
Myco,9,,,
Myco,10,456;504,,
Myco,11,408;480,,
Myco,12,57;103,384;461,
Myco,13,222;261,336;456,
Myco,14,,,
Myco,15,47;89,,
Myco,16,416;523,,
Myco,17,,,
Myco,18,392;452,,
Myco,19,,,
Myco,20,383;425,516;565,
Myco,21,269;331,459;506,
Myco,22,,,
Myco,23,60;117,398;492,
Myco,24,270;307,,
Myco,25,38;83,270;317,
Myco,26,147;276,367;410,
Myco,27,509;549,554;613,
Myco,28,405;444,,
Myco,29,342;544,555;613,
Myco,30,,,
Myco,31,169;234,239;357,
Myco,32,447;487,,
Myco,33,,,
Myco,34,,,
Myco,35,,,
Myco,36,,,
Myco,37,189;305,310;372,
Myco,38,147;187,266;330,375;426
Myco,39,,,
Myco,40,418;492,,
Myco,41,263;362,,
Myco,42,199;269,,
Myco,43,416;491,,
Myco,44,385;436,,
Myco,45,,,
Myco,46,189;285,422;468,
Myco,47,313;359,386;498,523;591
Myco,48,,,
Myco,49,0;82,,
Myco,50,96;144,453;523,
Myco,51,,,
Myco,52,264;341,,
Myco,53,7;105,,
Myco,54,49;102,,
Myco,55,378;467,,
Myco,56,54;125,,
Myco,57,,,
Myco,58,,,
Myco,59,409;447,,
Myco,60,138;211,370;417,
Myco,61,394;530,,
Myco,62,387;427,550;594,
Myco,63,0;48,,
Myco,64,264;311,390;440,
Myco,65,23;122,,
Myco,66,479;559,,
Myco,67,,,
Myco,68,442;510,,
Myco,69,419;461,,
Myco,70,,,
Myco,71,,,
Myco,72,439;571,,
Myco,73,42;98,431;575,
Myco,74,168;256,,
Myco,75,430;484,,
Myco,76,377;460,,
Myco,77,332;444,,
Myco,78,432;508,,
Myco,79,412;479,533;613,
Myco,80,254;299,403;498,
Myco,81,450;499,,
Myco,82,55;93,524;573,577;613
Myco,83,,,
Myco,84,432;497,,
Myco,85,310;356,418;467,
Myco,86,0;45,188;237,
Myco,87,,,
Myco,88,425;598,,
Myco,89,,,
Myco,90,,,
Myco,91,413;449,,
Myco,92,395;480,,
Myco,93,255;311,,
Myco,94,269;311,331;368,
Myco,95,,,
Myco,96,0;40,175;216,
Myco,97,,,
Myco,98,,,
Myco,99,,,
Myco,100,423;487,,
Myco,101,343;389,398;475,
Myco,102,388;436,503;551,
Myco,103,,,
Myco,104,,,
Myco,105,46;87,368;501,
Myco,106,,,
Myco,107,,,
Myco,108,220;274,,
Myco,109,404;525,,
Myco,110,368;449,,
Myco,111,334;380,562;613,
Myco,112,152;191,216;386,
Myco,113,389;455,,
Myco,114,411;492,,
Myco,115,346;430,,
Myco,116,,,
Myco,117,186;226,,
Myco,118,412;488,,
Myco,119,144;182,,
Myco,120,329;380,,
Myco,121,396;442,,
Myco,122,,,
Myco,123,344;437,,
Myco,124,351;437,,
Myco,125,,,
Myco,126,458;575,,
Myco,127,40;86,,
Myco,128,,,
Myco,129,479;543,,
Myco,130,352;445,,
Myco,131,409;449,,
Myco,132,566;613,,
Myco,133,1;69,426;468,
Myco,134,254;370,379;420,
Myco,135,,,
Myco,136,407;487,,
Myco,137,558;613,,
Myco,138,353;518,574;613,
Myco,139,506;580,,
Myco,140,,,
Myco,141,400;477,,
Myco,142,0;37,403;443,
Myco,143,0;63,,
Myco,144,336;376,405;470,
Myco,145,394;451,,
Myco,146,473;514,,
Myco,147,205;242,,
Myco,148,370;417,,
Myco,149,16;85,140;176,541;585
Myco,150,,,
Myco,151,,,
Myco,152,0;48,373;441,
Myco,153,402;522,,
Myco,154,,,
Myco,155,,,
Myco,156,,,
