Organism,Seq,Positions,,,
Ecoli,1,8-40,336-456,,
Ecoli,2,0-120,216-232,280-408,520-528
Ecoli,3,288-400,,,
Ecoli,4,280-464,,,
Ecoli,5,272-520,,,
Ecoli,6,248-544,,,
Ecoli,7,0-40,216-480,,
Ecoli,8,120-184,304-496,,
Ecoli,9,0-232,296-432,,
Ecoli,10,304-504,,,
Ecoli,11,8-64,248-520,,
Ecoli,12,128-560,,,
Ecoli,13,296-528,,,
Ecoli,14,0-128,352-432,,
Ecoli,15,0-104,184-248,344-440,
Ecoli,16,120-312,376-464,,
Ecoli,17,0-512,,,
Ecoli,18,280-560,,,
Ecoli,19,232-552,,,
Ecoli,20,216-272,352-512,,
Ecoli,21,0-136,296-552,,
Ecoli,22,144-376,536-560,,
Ecoli,23,112-536,,,
Ecoli,24,344-472,,,
Ecoli,25,64-192,280-456,,
Ecoli,26,328-496,,,
Ecoli,27,0-16,256-480,,
Ecoli,28,96-472,,,
Ecoli,29,8-16,304-480,,
Ecoli,30,224-256,392-512,,
Ecoli,31,344-504,,,
Ecoli,32,224-456,,,
Ecoli,33,216-440,,,
Ecoli,34,32-544,,,
Ecoli,35,200-424,,,
Ecoli,36,208-560,,,
Ecoli,37,136-176,264-544,,
Ecoli,38,216-504,,,
Ecoli,39,80-112,208-248,336-560,
Ecoli,40,32-112,256-488,,
Ecoli,41,296-448,,,
Ecoli,42,104-176,248-424,,
Ecoli,43,176-224,368-504,,
Ecoli,44,272-520,,,
Ecoli,45,0-120,264-544,,
Ecoli,46,0-424,,,
Ecoli,47,8-24,56-136,168-184,200-424
Ecoli,48,256-480,,,
Ecoli,49,224-456,,,
Ecoli,50,240-496,,,
Ecoli,51,296-536,,,
Ecoli,52,48-504,,,
Ecoli,53,88-168,280-512,,
Ecoli,54,0-104,184-480,,
Ecoli,55,336-472,,,
Ecoli,56,152-472,,,
Ecoli,57,0-152,200-488,,
Ecoli,58,384-560,,,
Ecoli,59,304-560,,,
Ecoli,60,256-544,,,
Ecoli,61,0-136,216-256,328-456,
Ecoli,62,40-176,368-464,,
Ecoli,63,48-96,216-472,,
Ecoli,64,152-456,,,
Ecoli,65,184-400,,,
Ecoli,66,208-552,,,
Ecoli,67,104-544,,,
Ecoli,68,304-464,,,
Ecoli,69,208-248,376-552,,
Ecoli,70,336-560,,,
Ecoli,71,0-24,352-504,,
Ecoli,72,232-272,336-360,440-520,
Ecoli,73,16-40,216-480,,
Ecoli,74,368-448,,,
Ecoli,75,304-536,,,
Ecoli,76,120-560,,,
Ecoli,77,16-544,,,
Ecoli,78,144-184,312-448,,
Ecoli,79,0-32,264-560,,
Ecoli,80,72-112,200-248,304-528,
Ecoli,81,64-208,312-512,,
Ecoli,82,0-32,128-184,264-400,472-560
Ecoli,83,160-440,,,
Ecoli,84,80-328,392-432,,
Ecoli,85,192-456,528-552,,
Ecoli,86,256-480,,,
Ecoli,87,224-520,,,
Ecoli,88,176-224,312-392,,
Ecoli,89,248-456,,,
Ecoli,90,32-472,,,
Ecoli,91,232-440,,,
Ecoli,92,128-136,176-184,344-464,536-552
Ecoli,93,0-48,344-528,,
Ecoli,94,208-496,,,
Ecoli,95,0-128,184-224,288-432,
Ecoli,96,0-168,280-544,,
Ecoli,97,0-104,176-280,336-392,512-560
Ecoli,98,208-232,368-560,,
Ecoli,99,152-248,336-448,,
Ecoli,100,72-184,272-472,,
Ecoli,101,96-560,,,
Ecoli,102,0-72,152-456,,
Ecoli,103,256-488,,,
Ecoli,104,168-224,296-344,480-560,
Ecoli,105,0-40,184-440,,
Ecoli,106,288-432,,,
Ecoli,107,192-416,,,
Ecoli,108,232-456,,,
Ecoli,109,0-136,256-560,,
Ecoli,110,256-432,448-488,,
Ecoli,111,328-496,,,
Ecoli,112,0-88,368-536,,
Ecoli,113,,,,
Ecoli,114,416-424,,,
Ecoli,115,248-472,,,
Ecoli,116,0-432,,,
Ecoli,117,208-488,,,
Ecoli,118,0-136,272-336,424-520,
Ecoli,119,256-456,,,
Ecoli,120,224-280,368-464,,
Ecoli,121,320-432,,,
Ecoli,122,120-160,264-480,,
Ecoli,123,120-488,,,
Ecoli,124,136-464,,,
Ecoli,125,64-280,,,
Ecoli,126,0-464,,,
Ecoli,127,256-424,496-560,,
Ecoli,128,216-240,264-496,,
Ecoli,129,136-488,,,
Ecoli,130,272-416,480-528,,
Ecoli,131,152-280,368-496,,
Ecoli,132,120-168,280-512,,
Ecoli,133,72-224,256-408,,
Ecoli,134,0-24,328-560,,
Ecoli,135,128-472,,,
Ecoli,136,304-440,,,
Ecoli,137,160-360,,,
Ecoli,138,248-488,,,
Ecoli,139,24-472,,,
Ecoli,140,176-400,,,
Ecoli,141,208-504,,,
Ecoli,142,0-456,,,
Ecoli,143,328-472,,,
Ecoli,144,0-72,160-384,,
Ecoli,145,296-504,,,
Ecoli,146,72-168,336-400,496-552,
Ecoli,147,216-440,,,
Ecoli,148,176-504,,,
Ecoli,149,0-32,168-560,,
Ecoli,150,352-416,512-560,,
Ecoli,151,192-528,,,
Ecoli,152,40-416,,,
Ecoli,153,32-520,,,
Ecoli,154,224-536,,,
Ecoli,155,256-512,,,
Ecoli,156,0-96,168-200,312-392,504-544
Ecoli,157,104-192,288-448,,
Ecoli,158,400-536,,,
Ecoli,159,248-520,,,
Ecoli,160,256-480,,,
Ecoli,161,0-280,360-512,,
Ecoli,162,168-560,,,
Ecoli,163,104-560,,,
Ecoli,164,440-560,,,
Ecoli,165,120-432,520-544,,
Ecoli,166,0-8,240-544,,
Ecoli,167,0-120,256-552,,
Ecoli,168,256-416,,,
Ecoli,169,320-560,,,
Ecoli,170,184-280,352-432,,
Ecoli,171,208-448,,,
Ecoli,172,24-128,384-496,,
Ecoli,173,0-248,328-560,,
Ecoli,174,0-440,,,
Ecoli,175,208-488,,,
Ecoli,176,272-472,,,
Ecoli,177,240-456,,,
Ecoli,178,280-528,,,
Ecoli,179,0-120,176-232,336-464,
Ecoli,180,24-80,264-560,,
Ecoli,181,256-352,456-488,,
Ecoli,182,0-512,,,
Ecoli,183,0-16,160-264,328-472,
Ecoli,184,0-480,,,
Ecoli,185,144-176,256-560,,
Ecoli,186,152-184,344-544,,
Ecoli,187,96-232,360-392,,
Ecoli,188,256-440,,,
Ecoli,189,208-448,,,
Ecoli,190,80-160,224-560,,
Ecoli,191,144-520,,,
Ecoli,192,32-120,240-400,472-560,
Ecoli,193,0-224,304-520,,
Ecoli,194,56-144,240-520,,
Ecoli,195,16-24,320-560,,
Ecoli,196,0-16,112-192,320-480,
Ecoli,197,264-304,,,
Ecoli,198,0-88,312-560,,
Ecoli,199,312-480,,,
Ecoli,200,0-32,80-480,,
Ecoli,201,304-456,,,
Ecoli,202,80-136,368-512,,
Ecoli,203,136-400,,,
Ecoli,204,0-424,,,
Ecoli,205,0-448,,,
Ecoli,206,152-448,520-560,,
Ecoli,207,304-456,,,
Ecoli,208,0-32,368-520,,
Ecoli,209,208-352,408-552,,
Ecoli,210,144-224,264-280,368-424,
Ecoli,211,216-528,,,
Ecoli,212,8-32,312-560,,
Ecoli,213,192-264,288-448,,
Ecoli,214,368-520,,,
Ecoli,215,40-152,216-400,,
Ecoli,216,0-32,312-472,,
Ecoli,217,96-136,216-472,,
Ecoli,218,72-240,328-488,,
Ecoli,219,160-472,,,
Ecoli,220,136-352,448-536,,
Ecoli,221,288-552,,,
Ecoli,222,112-376,,,
Ecoli,223,0-200,344-560,,
Ecoli,224,56-496,,,
Ecoli,225,168-464,,,
Ecoli,226,0-472,,,
Ecoli,227,0-432,504-536,,
Ecoli,228,320-432,,,
Ecoli,229,0-64,336-488,,
Ecoli,230,232-440,520-560,,
Ecoli,231,0-240,328-472,,
Ecoli,232,320-456,,,
Ecoli,233,304-488,,,
Ecoli,234,168-448,,,
Ecoli,235,72-96,296-408,,
Ecoli,236,8-312,,,
Ecoli,237,0-392,,,
Ecoli,238,232-280,352-456,,
Ecoli,240,40-176,256-400,,
Ecoli,241,240-472,536-560,,
Ecoli,242,184-440,,,
Ecoli,243,128-432,520-560,,
Ecoli,244,0-200,288-528,,
Ecoli,245,0-64,192-448,,
Ecoli,246,56-336,424-512,,
Ecoli,247,208-520,,,
Ecoli,248,24-160,296-560,,
Ecoli,249,200-248,344-480,,
Ecoli,250,0-40,192-488,,
Ecoli,251,40-96,176-552,,
Ecoli,252,120-552,,,
Ecoli,253,336-416,512-560,,
Ecoli,254,16-40,176-488,,
Ecoli,255,104-392,472-496,,
Ecoli,256,0-248,368-448,,
Ecoli,257,128-376,,,
Ecoli,258,112-392,,,
Ecoli,259,112-344,,,
Ecoli,260,0-440,,,
Ecoli,261,104-480,,,
Ecoli,262,376-552,,,
Ecoli,263,288-512,,,
Ecoli,264,192-248,328-560,,
Ecoli,265,0-80,224-448,,
Ecoli,266,232-432,,,
Ecoli,267,160-192,368-552,,
Ecoli,268,0-232,400-552,,
Ecoli,269,200-560,,,
Ecoli,270,144-328,408-456,,
Ecoli,271,344-528,,,
Ecoli,272,192-456,,,
Ecoli,273,336-560,,,
Ecoli,274,200-560,,,
Ecoli,275,272-560,,,
Ecoli,276,88-256,320-448,,
Ecoli,277,192-488,,,
Ecoli,278,240-544,,,
Ecoli,279,184-464,,,
Ecoli,280,128-408,,,
Ecoli,281,0-32,328-560,,
Ecoli,282,64-280,376-520,,
Ecoli,283,288-536,,,
Ecoli,284,112-256,344-560,,
Ecoli,285,64-96,176-312,424-464,
Ecoli,286,96-128,200-488,,
Ecoli,287,208-408,,,
Ecoli,288,0-24,192-440,,
Ecoli,289,72-152,272-328,472-560,
Ecoli,290,184-472,536-560,,
Ecoli,291,0-40,352-544,,
Ecoli,292,144-448,,,
Ecoli,293,168-208,320-480,,
Ecoli,294,0-472,,,
Ecoli,295,120-440,520-560,,
Ecoli,296,144-368,,,
Ecoli,297,56-264,336-440,,
Ecoli,298,88-120,248-488,,
Ecoli,299,168-208,272-488,,
Ecoli,300,128-176,312-376,504-560,
Ecoli,301,32-56,368-472,,
Ecoli,302,0-224,376-408,,
Ecoli,303,240-440,,,
Ecoli,304,120-536,,,
Ecoli,305,56-96,192-560,,
Ecoli,306,264-440,,,
Ecoli,307,0-440,,,
Ecoli,308,320-528,,,
Ecoli,309,120-496,,,
Ecoli,310,0-32,296-560,,
Ecoli,311,0-40,184-472,,
Ecoli,312,312-472,,,
Ecoli,313,0-16,344-552,,
Ecoli,314,184-360,,,
Ecoli,315,40-504,,,
Ecoli,316,32-440,,,
