Organism,Seq,Positions,,,
Methano,1,178-451,,,
Methano,2,466-504,,,
Methano,3,0-63,394-470,,
Methano,4,169-239,,,
Methano,5,,,,
Methano,6,25-73,169-304,376-424,
Methano,7,327-382,449-578,,
Methano,8,377-460,,,
Methano,9,272-370,374-444,,
Methano,10,357-443,449-517,,
Methano,11,247-409,,,
Methano,12,399-573,,,
Methano,13,135-324,,,
Methano,14,312-494,,,
Methano,15,260-511,,,
Methano,16,258-359,,,
Methano,17,174-324,400-453,,
Methano,18,359-448,,,
Methano,19,529-566,,,
Methano,20,,,,
Methano,21,,,,
Methano,22,69-132,144-263,,
Methano,23,200-276,,,
Methano,24,319-404,,,
Methano,25,231-306,,,
Methano,26,351-422,,,
Methano,27,216-426,,,
Methano,28,229-276,299-365,,
Methano,29,214-271,350-457,,
Methano,30,274-376,399-493,,
Methano,31,226-320,,,
Methano,32,183-222,359-417,421-462,503-604
Methano,33,301-486,,,
Methano,34,299-347,,,
Methano,35,,,,
Methano,36,183-229,247-357,402-462,
Methano,37,,,,
Methano,38,324-431,501-554,,
Methano,39,263-475,,,
Methano,40,195-474,,,
Methano,41,96-154,,,
Methano,42,243-283,372-453,565-613,
Methano,43,,,,
Methano,44,525-599,,,
Methano,45,191-233,400-470,567-613,
Methano,46,,,,
Methano,47,251-497,,,
Methano,48,405-492,,,
Methano,49,279-343,,,
Methano,50,145-193,212-260,322-424,
Methano,51,59-115,183-237,542-604,
Methano,52,390-432,,,
Methano,53,261-315,482-540,,
Methano,54,292-331,430-559,,
Methano,55,270-454,,,
Methano,56,309-429,462-503,,
Methano,57,241-315,,,
Methano,58,33-103,,,
Methano,59,370-444,,,
Methano,60,375-522,,,
Methano,61,407-574,,,
Methano,62,233-449,,,
Methano,63,235-307,324-441,,
Methano,64,200-242,,,
Methano,65,199-303,312-406,,
Methano,66,381-448,,,
Methano,67,362-404,467-536,,
Methano,68,,,,
Methano,69,304-369,,,
Methano,70,,,,
Methano,71,277-317,,,
Methano,72,222-259,,,
Methano,73,395-465,537-613,,
Methano,74,251-429,,,
Methano,75,219-256,331-484,,
Methano,76,172-218,,,
Methano,77,,,,
Methano,78,308-344,,,
Methano,79,0-36,142-198,,
Methano,80,271-511,,,
Methano,81,380-446,,,
Methano,82,413-508,527-583,,
Methano,83,279-379,385-493,,
Methano,84,238-296,472-517,,
Methano,85,,,,
Methano,86,295-434,,,
Methano,87,231-352,,,
Methano,88,250-322,398-500,,
Methano,89,171-346,379-432,,
Methano,90,268-336,342-452,,
Methano,91,,,,
Methano,92,195-233,,,
Methano,93,418-458,,,
Methano,94,559-612,,,
Methano,95,,,,
Methano,96,417-456,,,
Methano,97,227-275,307-449,459-506,
Methano,98,247-349,378-481,,
Methano,99,,,,
Methano,100,268-412,496-542,,
Methano,101,267-461,,,
Methano,102,,,,
Methano,103,242-427,,,
Methano,104,365-461,,,
Methano,105,9-52,379-429,,
Methano,106,332-479,,,
Methano,107,374-582,,,
Methano,108,325-407,,,
Methano,109,295-331,,,
Methano,110,0-38,368-484,,
Methano,111,11-49,,,
Methano,112,204-249,330-425,543-609,
Methano,113,198-250,,,
Methano,114,282-379,456-517,,
Methano,115,455-532,,,
Methano,116,183-227,247-355,,
Methano,117,257-360,456-527,,
Methano,118,151-314,323-410,,
Methano,119,30-72,225-266,353-501,568-608
Methano,120,416-537,542-580,,
Methano,121,405-481,,,
Methano,122,288-372,382-474,,
Methano,123,279-369,388-438,,
Methano,124,14-53,57-104,409-455,
Methano,125,,,,
Methano,126,562-611,,,
Methano,127,223-446,,,
Methano,128,265-356,393-471,,
Methano,129,140-176,352-391,519-589,
Methano,130,565-613,,,
Methano,131,128-164,169-211,,
Methano,132,212-262,369-453,,
Methano,133,261-368,372-540,,
Methano,134,269-442,,,
Methano,135,314-412,541-593,,
Methano,136,316-429,,,
Methano,137,315-431,434-516,,
Methano,138,374-583,,,
Methano,139,300-515,520-579,,
Methano,140,363-446,462-510,,
Methano,141,213-264,339-492,,
Methano,142,301-431,,,
Methano,143,197-306,387-476,,
Methano,144,368-491,,,
Methano,145,194-231,273-453,,
Methano,146,298-450,530-577,,
Methano,147,345-450,,,
Methano,148,341-447,526-613,,
Methano,149,257-448,,,
Methano,150,,,,
Methano,151,299-341,391-466,,
Methano,152,0-55,492-554,,
Methano,153,306-425,,,
Methano,154,245-438,,,
Methano,155,253-434,,,
Methano,156,396-476,505-547,,
Methano,157,291-511,534-570,,
Methano,158,,,,
Methano,159,275-350,,,
Methano,160,375-451,,,
Methano,161,288-424,,,
Methano,162,308-465,,,
Methano,163,418-510,,,
Methano,164,279-357,408-517,,
Methano,165,,,,
Methano,166,134-250,324-413,,
Methano,167,532-613,,,
Methano,168,237-483,,,
Methano,169,203-295,,,
Methano,170,188-232,290-467,,
Methano,171,284-384,,,
Methano,172,367-434,,,
Methano,173,269-548,,,
Methano,174,,,,
Methano,175,302-442,,,
Methano,176,249-460,,,
Methano,177,171-274,279-350,,
Methano,178,384-516,,,
Methano,179,235-313,318-446,451-514,
Methano,180,,,,
Methano,181,116-226,545-613,,
Methano,182,285-476,,,
Methano,183,373-415,,,
Methano,184,381-499,515-552,558-613,
Methano,185,231-278,,,
Methano,186,0-57,124-166,,
Methano,187,0-172,,,
Methano,188,249-346,402-504,,
Methano,189,433-469,503-545,,
Methano,190,82-125,451-545,,
Methano,191,350-489,496-613,,
Methano,192,231-285,303-347,416-460,
Methano,193,571-613,,,
Methano,194,311-540,,,
Methano,195,5-45,60-96,493-531,
Methano,196,179-218,310-458,,
Methano,197,,,,
Methano,198,450-487,,,
Methano,199,247-496,,,
Methano,200,,,,
Methano,201,25-99,,,
Methano,202,185-301,,,
Methano,203,361-440,521-563,,
Methano,204,197-261,389-476,,
Methano,205,,,,
Methano,206,0-53,334-493,,
Methano,207,185-250,381-464,,
Methano,208,195-232,288-474,,
Methano,209,252-373,394-531,,
Methano,210,327-460,,,
Methano,211,450-523,,,
Methano,212,294-553,,,
Methano,213,197-271,279-476,,
Methano,214,396-447,,,
Methano,215,259-438,,,
Methano,216,367-428,,,
Methano,217,335-405,,,
Methano,218,449-499,,,
Methano,219,392-439,,,
Methano,220,410-458,525-599,,
Methano,221,263-445,,,
Methano,222,92-171,,,
Methano,223,142-280,,,
Methano,224,523-597,,,
Methano,225,353-613,,,
Methano,226,295-349,,,
Methano,227,137-244,337-416,525-613,
Methano,228,183-345,412-460,,
Methano,229,0-50,344-426,,
Methano,230,321-449,455-530,,
Methano,231,213-255,439-492,,
Methano,232,333-456,,,
Methano,233,455-539,,,
Methano,234,0-162,,,
Methano,235,54-98,227-315,399-506,
Methano,236,306-343,382-528,,
Methano,237,0-52,371-446,,
Methano,238,245-351,,,
Methano,239,295-424,529-574,,
Methano,240,178-326,,,
Methano,241,186-281,295-465,,
Methano,242,243-438,,,
Methano,243,281-348,394-495,500-560,
Methano,244,,,,
Methano,245,372-504,,,
Methano,246,330-503,,,
Methano,247,309-458,,,
Methano,248,9-71,352-431,,
Methano,249,247-443,,,
Methano,250,216-257,,,
Methano,251,56-104,271-332,385-456,477-520
Methano,252,362-457,523-567,,
Methano,253,73-152,,,
Methano,254,259-331,336-464,,
Methano,255,303-503,546-582,,
Methano,256,61-97,378-463,,
Methano,257,,,,
Methano,258,272-395,,,
Methano,259,230-370,,,
Methano,260,383-443,,,
Methano,261,185-288,407-464,,
Methano,262,326-371,379-451,,
