Organism,Seq,Positions,,
Halo_phv3,1,240;289,380;444,
Halo_phv4,2,403;453,543;607,
Halo_phv5,3,0;84,406;460,
Halo_phv6,4,29;164,487;544,
Halo_phv7,5,229;307,,
Halo_phv8,6,348;426,,
Halo_phv9,7,116;282,,
Halo_phv10,8,316;477,,
Halo_phv11,9,361;453,,
Halo_phv12,10,392;484,,
Halo_phv13,11,208;428,,
Halo_phv14,12,400;613,,
Halo_phv15,13,0;40,385;461,
Halo_phv16,14,251;330,,
Halo_phv17,15,284;357,,
Halo_phv18,16,356;433,,
Halo_phv19,17,480;532,,
Halo_phv20,18,504;554,,
Halo_phv21,19,379;459,,
Halo_phv22,20,,,
Halo_phv23,21,306;447,,
Halo_phv24,22,367;506,,
Halo_phv25,23,235;311,374;458,
Halo_phv26,24,50;114,528;589,
Halo_phv27,25,,,
Halo_phv28,26,334;407,,
Halo_phv29,27,172;234,406;451,
Halo_phv30,28,379;441,,
Halo_phv31,29,,,
Halo_phv32,30,,,
Halo_phv33,31,,,
Halo_phv34,32,379;443,533;583,
Halo_phv35,33,226;291,380;430,
Halo_phv36,34,388;486,,
Halo_phv37,35,348;446,,
Halo_phv38,36,296;359,,
Halo_phv39,37,355;481,,
Halo_phv40,38,373;444,,
Halo_phv41,39,17;87,387;441,
Halo_phv42,40,0;133,414;514,534;613
Halo_phv43,41,247;348,367;457,
Halo_phv44,42,372;442,,
Halo_phv45,43,150;217,381;429,
Halo_phv46,44,289;333,,
Halo_phv47,45,,,
