Organism,Seq,Positions,,,
Ecoli,1,360-482,,,
Ecoli,2,17-63,344-424,,
Ecoli,3,329-440,,,
Ecoli,4,318-354,383-500,,
Ecoli,5,293-471,,,
Ecoli,6,311-533,,,
Ecoli,7,262-333,377-466,,
Ecoli,8,341-468,,,
Ecoli,9,0-43,152-266,324-360,
Ecoli,10,349-443,455-537,,
Ecoli,11,277-556,,,
Ecoli,12,349-613,,,
Ecoli,13,317-525,,,
Ecoli,14,0-107,388-460,564-613,
Ecoli,15,209-278,362-415,,
Ecoli,16,249-333,406-496,,
Ecoli,17,229-320,342-452,,
Ecoli,18,339-405,,,
Ecoli,19,316-410,431-492,534-595,
Ecoli,20,384-552,,,
Ecoli,21,315-478,,,
Ecoli,22,193-257,568-610,,
Ecoli,23,264-324,370-511,,
Ecoli,24,377-510,,,
Ecoli,25,305-415,425-494,,
Ecoli,26,357-540,,,
Ecoli,27,299-510,,,
Ecoli,28,240-334,405-519,,
Ecoli,29,1-44,376-453,,
Ecoli,30,475-541,,,
Ecoli,31,364-510,,,
Ecoli,32,284-415,,,
Ecoli,33,243-361,,,
Ecoli,34,282-395,427-561,,
Ecoli,35,280-338,410-449,,
Ecoli,36,277-326,413-556,,
Ecoli,37,320-407,494-546,563-599,
Ecoli,38,266-417,,,
Ecoli,39,503-591,,,
Ecoli,40,335-391,429-539,,
Ecoli,41,323-376,394-480,,
Ecoli,42,151-198,279-430,,
Ecoli,43,,,,
Ecoli,44,303-346,385-458,485-556,
Ecoli,45,480-551,,,
Ecoli,46,183-462,,,
Ecoli,47,327-403,,,
Ecoli,48,294-411,423-524,,
Ecoli,49,250-332,364-502,,
Ecoli,50,254-307,,,
Ecoli,51,6-42,323-457,464-523,
Ecoli,52,247-356,426-475,484-526,
Ecoli,53,428-492,,,
Ecoli,54,237-275,402-516,,
Ecoli,55,390-506,,,
Ecoli,56,205-484,,,
Ecoli,57,61-102,241-311,460-520,
Ecoli,58,472-613,,,
Ecoli,59,,,,
Ecoli,60,296-570,,,
Ecoli,61,23-65,247-302,429-486,
Ecoli,62,415-492,,,
Ecoli,63,93-131,449-502,,
Ecoli,64,206-450,,,
Ecoli,65,198-374,,,
Ecoli,66,254-335,384-490,,
Ecoli,67,273-347,411-508,,
Ecoli,68,416-492,,,
Ecoli,69,400-501,,,
Ecoli,70,530-570,,,
Ecoli,71,15-68,420-482,,
Ecoli,72,480-550,,,
Ecoli,73,238-293,415-501,,
Ecoli,74,392-489,,,
Ecoli,75,449-538,,,
Ecoli,76,338-613,,,
Ecoli,77,196-475,,,
Ecoli,78,327-410,435-481,,
Ecoli,79,365-407,440-539,566-605,
Ecoli,80,238-283,425-517,,
Ecoli,81,365-403,,,
Ecoli,82,167-204,345-446,485-576,
Ecoli,83,185-464,,,
Ecoli,84,206-256,305-376,,
Ecoli,85,273-321,402-493,,
Ecoli,86,342-529,,,
Ecoli,87,301-481,,,
Ecoli,88,340-425,,,
Ecoli,89,284-320,330-499,,
Ecoli,90,230-380,386-426,457-494,
Ecoli,91,259-308,,,
Ecoli,92,377-450,555-613,,
Ecoli,93,366-535,,,
Ecoli,94,269-337,342-526,,
Ecoli,95,316-450,,,
Ecoli,96,316-494,,,
Ecoli,97,8-85,208-260,541-613,
Ecoli,98,393-529,,,
Ecoli,99,211-292,387-490,,
Ecoli,100,308-365,453-497,,
Ecoli,101,379-521,,,
Ecoli,102,274-446,,,
Ecoli,103,294-431,483-534,,
Ecoli,104,192-235,312-379,,
Ecoli,105,211-449,,,
Ecoli,106,317-464,,,
Ecoli,107,223-349,398-460,,
Ecoli,108,269-309,346-489,,
Ecoli,109,491-610,,,
Ecoli,110,355-439,,,
Ecoli,111,354-451,,,
Ecoli,112,392-579,,,
Ecoli,113,,,,
Ecoli,114,,,,
Ecoli,115,285-374,413-512,,
Ecoli,116,166-304,,,
Ecoli,117,254-480,,,
Ecoli,118,9-52,57-178,459-565,
Ecoli,119,353-484,,,
Ecoli,120,,,,
Ecoli,121,352-439,,,
Ecoli,122,316-386,393-441,460-522,
Ecoli,123,259-347,371-420,464-538,
Ecoli,124,241-386,,,
Ecoli,125,143-314,,,
Ecoli,126,221-281,322-398,406-500,
Ecoli,127,325-368,546-604,,
Ecoli,128,371-534,,,
Ecoli,129,250-297,301-418,,
Ecoli,130,315-460,510-563,,
Ecoli,131,262-315,384-450,466-541,
Ecoli,132,300-379,440-528,,
Ecoli,133,183-245,300-457,,
Ecoli,134,8-63,369-495,533-613,
Ecoli,135,227-386,444-506,,
Ecoli,136,346-478,,,
Ecoli,137,184-240,248-406,,
Ecoli,138,296-400,410-487,,
Ecoli,139,243-360,464-522,,
Ecoli,140,201-441,,,
Ecoli,141,242-320,365-486,,
Ecoli,142,212-296,333-417,,
Ecoli,143,346-497,,,
