Organism,Seq,Positions,,,
Strepto,1,439-501,,,
Strepto,2,10-74,390-434,475-548,
Strepto,3,257-352,,,
Strepto,4,513-600,,,
Strepto,5,284-332,,,
Strepto,6,123-227,251-332,,
Strepto,7,386-471,,,
Strepto,8,488-553,,,
Strepto,9,198-248,,,
Strepto,10,0-47,392-459,,
Strepto,11,366-440,,,
Strepto,12,470-536,,,
Strepto,13,342-449,488-613,,
Strepto,14,241-331,,,
Strepto,15,341-457,,,
Strepto,16,255-297,386-457,464-510,
Strepto,17,205-246,421-491,,
Strepto,18,359-451,,,
Strepto,19,319-367,522-612,,
Strepto,20,49-148,180-254,363-407,412-451
Strepto,21,387-468,,,
Strepto,22,304-353,420-491,541-613,
Strepto,23,,,,
Strepto,24,434-521,,,
Strepto,25,0-38,,,
Strepto,26,387-494,,,
Strepto,27,16-88,110-171,,
Strepto,28,317-392,,,
Strepto,29,355-491,,,
Strepto,30,321-464,,,
Strepto,31,371-473,,,
Strepto,32,396-473,,,
Strepto,33,351-468,,,
Strepto,34,327-548,,,
Strepto,35,,,,
Strepto,36,,,,
Strepto,37,417-485,,,
Strepto,38,,,,
Strepto,39,416-516,,,
Strepto,40,415-484,,,
Strepto,41,202-238,257-328,397-468,
Strepto,42,302-455,,,
Strepto,43,390-461,559-613,,
Strepto,44,388-466,,,
Strepto,45,381-481,,,
Strepto,46,373-492,,,
Strepto,47,408-448,488-535,,
Strepto,48,355-432,,,
Strepto,49,0-55,283-345,423-514,
Strepto,50,465-582,,,
Strepto,51,200-246,367-447,,
Strepto,52,543-612,,,
Strepto,53,367-457,,,
Strepto,54,248-320,389-463,,
Strepto,55,317-445,,,
Strepto,56,,,,
Strepto,57,316-378,409-480,,
Strepto,58,278-378,,,
Strepto,59,412-451,,,
Strepto,60,457-501,,,
Strepto,61,314-404,469-558,,
Strepto,62,272-367,,,
Strepto,63,,,,
Strepto,64,260-311,413-547,,
Strepto,65,382-455,,,
Strepto,66,375-446,527-580,,
Strepto,67,536-613,,,
Strepto,68,390-453,,,
