Organism,Seq,Positions,,
Helico,1,361-557,,
Helico,2,45-118,,
Helico,3,158-234,,
Helico,4,386-506,,
Helico,5,356-613,,
Helico,6,308-464,,
Helico,7,,,
Helico,8,,,
Helico,9,160-279,385-526,534-613
Helico,10,,,
Helico,11,158-235,259-500,
Helico,12,225-304,,
Helico,13,261-528,,
Helico,14,210-304,372-613,
Helico,15,336-456,,
Helico,16,,,
Helico,17,237-520,,
Helico,18,306-473,,
Helico,19,171-250,267-504,
Helico,20,386-478,,
Helico,21,415-613,,
Helico,22,214-525,,
Helico,23,325-483,,
Helico,24,,,
Helico,25,62-163,167-369,389-502
Helico,26,409-506,,
Helico,27,,,
Helico,28,370-499,,
Helico,29,154-284,399-518,
Helico,30,120-233,303-466,477-552
Helico,31,350-481,,
Helico,32,349-519,,
Helico,33,190-487,,
Helico,34,350-498,,
Helico,35,95-197,208-323,
Helico,36,330-535,,
Helico,37,343-491,,
Helico,38,158-444,,
Helico,39,224-433,,
Helico,40,382-491,,
Helico,41,393-490,,
Helico,42,,,
Helico,43,123-213,424-518,
Helico,44,360-474,,
Helico,45,434-564,,
Helico,46,232-346,,
Helico,47,5-90,368-536,541-613
Helico,48,365-532,,
Helico,49,406-577,,
Helico,50,215-483,,
Helico,51,226-301,326-479,
Helico,52,338-539,,
Helico,53,414-489,,
Helico,54,0-84,,
Helico,55,366-520,,
Helico,56,168-252,324-481,
Helico,57,82-176,375-457,
Helico,58,231-491,,
Helico,59,44-205,426-577,
Helico,60,,,
Helico,61,369-448,,
Helico,62,304-590,,
Helico,63,184-263,,
Helico,64,457-554,,
Helico,65,327-526,,
Helico,66,356-474,,
Helico,67,264-498,,
Helico,68,400-555,,
Helico,69,,,
Helico,70,336-484,,
Helico,71,239-380,386-524,
Helico,72,254-496,,
Helico,73,388-486,,
Helico,74,153-258,,
Helico,75,429-506,,
Helico,76,387-494,,
Helico,77,223-554,,
Helico,78,,,
Helico,79,117-498,529-613,
Helico,80,387-478,,
Helico,81,221-356,370-510,
Helico,82,33-110,344-525,
Helico,83,237-358,377-484,
Helico,84,,,
Helico,85,241-366,,
Helico,86,0-73,306-586,
Helico,87,354-522,538-613,
Helico,88,261-355,377-478,
Helico,89,382-477,,
Helico,90,242-424,506-613,
Helico,91,77-155,373-475,
Helico,92,,,
Helico,93,208-299,325-485,
Helico,94,240-419,424-501,
Helico,95,331-530,,
Helico,96,390-472,516-613,
Helico,97,441-514,,
Helico,98,376-518,,
Helico,99,363-521,,
Helico,100,261-613,,
Helico,101,332-478,,
Helico,102,330-498,,
Helico,103,283-476,,
Helico,104,382-512,,
Helico,105,,,
Helico,106,,,
Helico,107,343-506,,
Helico,108,,,
Helico,109,397-516,,
Helico,110,61-133,237-312,
Helico,111,340-487,,
Helico,112,205-358,411-491,
Helico,113,369-512,,
Helico,114,148-246,285-459,
Helico,115,215-454,,
Helico,116,343-466,496-606,
Helico,117,210-481,,
Helico,118,,,
Helico,119,180-261,273-490,
Helico,120,181-437,,
Helico,121,263-516,,
Helico,122,354-515,,
Helico,123,,,
Helico,124,313-514,,
Helico,125,,,
Helico,126,329-400,,
Helico,127,350-461,,
Helico,128,341-559,,
Helico,129,,,
Helico,130,,,
Helico,131,103-219,530-613,
Helico,132,356-573,,
Helico,133,44-139,347-494,
Helico,134,239-524,,
Helico,135,342-532,,
Helico,136,296-520,,
Helico,137,312-447,537-610,
Helico,138,270-440,,
Helico,139,390-477,,
Helico,140,,,
Helico,141,351-486,491-594,
Helico,142,86-168,366-613,
Helico,143,319-526,,
Helico,144,380-506,,
Helico,145,405-502,,
Helico,146,234-358,371-488,
Helico,147,155-340,,
Helico,148,236-552,,
Helico,149,382-542,,
Helico,150,395-554,,
Helico,151,511-606,,
Helico,152,315-543,,
Helico,153,370-516,,
Helico,154,0-162,381-565,
Helico,155,393-468,,
Helico,156,386-518,,
Helico,157,194-440,532-608,
Helico,158,374-613,,
Helico,159,266-496,,
Helico,160,382-551,,
Helico,161,525-613,,
Helico,162,104-205,346-453,
Helico,163,524-600,,
Helico,164,,,
Helico,165,84-255,368-450,
Helico,166,0-93,321-497,
Helico,167,,,
Helico,168,358-558,,
Helico,169,124-206,,
Helico,170,387-478,,
Helico,171,531-613,,
Helico,172,346-504,,
Helico,173,223-554,,
Helico,174,276-553,,
Helico,175,,,
Helico,176,344-510,,
Helico,177,358-472,,
Helico,178,285-503,,
Helico,179,336-484,,
Helico,180,265-447,515-613,
Helico,181,68-161,300-371,374-446
Helico,182,,,
Helico,183,388-476,,
Helico,184,347-445,,
Helico,185,154-260,283-361,391-500
Helico,186,463-540,,
Helico,187,363-459,,
Helico,188,,,
Helico,189,326-459,,
Helico,190,290-476,,
Helico,191,222-481,,
Helico,192,494-569,,
Helico,193,330-525,,
Helico,194,270-528,,
Helico,195,319-505,,
Helico,196,,,
Helico,197,377-470,,
Helico,198,369-492,529-613,
Helico,199,532-613,,
Helico,200,9-116,380-593,
Helico,201,,,
Helico,202,,,
Helico,203,314-583,,
Helico,204,,,
Helico,205,383-467,,
Helico,206,374-518,,
Helico,207,,,
Helico,208,289-425,,
Helico,209,0-129,256-543,
Helico,210,,,
Helico,211,264-433,,
Helico,212,397-518,,
Helico,213,73-204,,
Helico,214,,,
Helico,215,0-263,,
Helico,216,298-463,,
Helico,217,197-306,,
Helico,218,,,
Helico,219,271-499,,
Helico,220,227-489,,
Helico,221,,,
Helico,222,113-314,318-486,
Helico,223,124-214,,
Helico,224,469-555,,
Helico,225,191-377,,
Helico,226,352-470,,
Helico,227,377-581,,
Helico,228,370-613,,
Helico,229,296-405,,
Helico,230,191-275,299-476,
Helico,231,360-442,,
Helico,232,296-506,,
Helico,233,343-514,,
Helico,234,0-92,391-491,
Helico,235,330-445,,
Helico,236,218-468,,
Helico,237,382-466,,
Helico,238,,,
Helico,239,436-530,,
Helico,240,82-178,336-613,
