Organism,Seq,Positions,,,
Salmonella,1,,,,
Salmonella,2,229-339,,,
Salmonella,3,271-537,,,
Salmonella,4,378-550,,,
Salmonella,5,0-145,210-282,444-515,
Salmonella,6,,,,
Salmonella,7,56-141,492-570,,
Salmonella,8,,,,
Salmonella,9,135-411,,,
Salmonella,10,197-301,339-447,,
Salmonella,11,135-304,465-559,,
Salmonella,12,402-501,,,
Salmonella,13,317-454,,,
Salmonella,14,403-560,,,
Salmonella,15,23-256,324-407,,
Salmonella,16,348-573,,,
Salmonella,17,161-233,394-498,,
Salmonella,18,,,,
Salmonella,19,186-292,,,
Salmonella,20,,,,
Salmonella,21,329-496,,,
Salmonella,22,174-268,,,
Salmonella,23,378-464,,,
Salmonella,24,348-509,,,
Salmonella,25,436-554,,,
Salmonella,26,381-603,,,
Salmonella,27,359-536,,,
Salmonella,28,267-374,392-463,,
Salmonella,29,262-414,,,
Salmonella,30,387-469,,,
Salmonella,31,341-445,,,
Salmonella,32,231-312,337-472,,
Salmonella,33,301-405,,,
Salmonella,34,,,,
Salmonella,35,87-195,200-416,,
Salmonella,36,429-505,,,
Salmonella,37,33-116,,,
Salmonella,38,,,,
Salmonella,39,402-492,,,
Salmonella,40,,,,
Salmonella,41,271-373,,,
Salmonella,42,124-232,,,
Salmonella,43,222-304,,,
Salmonella,44,125-249,,,
Salmonella,45,,,,
Salmonella,46,,,,
Salmonella,47,,,,
Salmonella,48,0-90,232-392,,
Salmonella,49,,,,
Salmonella,50,,,,
Salmonella,51,326-398,,,
Salmonella,52,,,,
Salmonella,53,,,,
Salmonella,54,,,,
Salmonella,55,0-116,,,
Salmonella,56,249-373,,,
Salmonella,57,0-89,387-480,,
Salmonella,58,364-613,,,
Salmonella,59,,,,
Salmonella,60,,,,
Salmonella,61,371-486,,,
Salmonella,62,,,,
Salmonella,63,,,,
Salmonella,64,485-613,,,
Salmonella,65,,,,
Salmonella,66,,,,
Salmonella,67,,,,
Salmonella,68,425-527,,,
Salmonella,69,408-582,,,
Salmonella,70,411-485,,,
Salmonella,71,,,,
Salmonella,72,249-356,,,
Salmonella,73,268-395,,,
Salmonella,74,158-282,322-545,,
Salmonella,75,355-531,,,
Salmonella,76,391-521,,,
Salmonella,77,170-271,294-466,516-613,
Salmonella,78,,,,
Salmonella,79,213-289,343-441,,
Salmonella,80,,,,
Salmonella,81,331-407,,,
Salmonella,82,160-231,,,
Salmonella,83,466-613,,,
Salmonella,84,,,,
Salmonella,85,234-372,,,
