Organism,Seq,Positions,,,,
Syecho,1,,,,,
Syecho,2,106-155,366-471,554-598,,
Syecho,3,,,,,
Syecho,4,0-142,,,,
Syecho,5,,,,,
Syecho,6,547-613,,,,
Syecho,7,417-477,,,,
Syecho,8,276-313,460-510,,,
Syecho,9,22-61,138-206,344-424,551-600,
Syecho,10,224-312,,,,
Syecho,11,97-140,406-447,454-519,,
Syecho,12,242-371,396-488,,,
Syecho,13,55-125,,,,
Syecho,14,365-481,,,,
Syecho,15,249-305,,,,
Syecho,16,,,,,
Syecho,17,211-291,332-395,407-445,,
Syecho,18,219-290,413-511,,,
Syecho,19,206-314,,,,
Syecho,20,193-475,,,,
Syecho,21,199-238,247-335,367-466,503-541,
Syecho,22,,,,,
Syecho,23,364-468,,,,
Syecho,24,0-145,,,,
Syecho,25,260-308,510-594,,,
Syecho,26,363-441,,,,
Syecho,27,394-495,,,,
Syecho,28,470-527,,,,
Syecho,29,224-271,327-368,,,
Syecho,30,408-457,463-530,,,
Syecho,31,176-242,301-359,381-468,507-598,
Syecho,32,0-39,317-458,,,
Syecho,33,290-348,438-475,,,
Syecho,34,103-155,165-247,296-379,,
Syecho,35,181-252,269-420,455-528,,
Syecho,36,,,,,
Syecho,37,388-478,,,,
Syecho,38,492-613,,,,
Syecho,39,278-345,465-550,558-601,,
Syecho,40,198-240,339-398,,,
Syecho,41,0-56,431-467,,,
Syecho,42,139-214,,,,
Syecho,43,,,,,
Syecho,44,404-440,,,,
Syecho,45,424-539,,,,
Syecho,46,,,,,
Syecho,47,,,,,
Syecho,48,199-288,362-433,447-530,,
Syecho,49,398-479,,,,
Syecho,50,102-146,323-363,494-608,,
Syecho,51,41-121,,,,
Syecho,52,118-173,,,,
Syecho,53,0-38,296-352,455-496,,
Syecho,54,433-475,,,,
Syecho,55,88-197,311-409,,,
Syecho,56,398-479,,,,
Syecho,57,383-613,,,,
Syecho,58,416-522,563-613,,,
Syecho,59,79-130,180-239,,,
Syecho,60,273-319,366-570,,,
Syecho,61,0-46,291-331,354-492,,
Syecho,62,291-330,336-382,398-462,492-545,
Syecho,63,0-118,212-337,475-547,,
Syecho,64,102-147,301-357,359-406,419-475,
Syecho,65,300-363,,,,
Syecho,66,80-146,224-276,414-545,,
Syecho,67,374-446,504-613,,,
Syecho,68,310-480,,,,
Syecho,69,399-490,540-613,,,
Syecho,70,196-422,,,,
Syecho,71,8-274,,,,
Syecho,72,340-454,486-545,,,
Syecho,73,331-386,406-465,473-524,548-592,
Syecho,74,19-101,337-433,,,
Syecho,75,485-535,,,,
Syecho,76,77-176,242-359,432-497,,
Syecho,77,536-613,,,,
Syecho,78,0-56,386-482,,,
Syecho,79,344-405,576-613,,,
Syecho,80,399-513,,,,
Syecho,81,207-266,396-477,,,
Syecho,82,177-293,374-428,562-603,,
Syecho,83,321-383,,,,
Syecho,84,65-103,,,,
Syecho,85,0-90,111-161,169-259,472-509,513-605
Syecho,86,0-141,,,,
Syecho,87,238-344,,,,
Syecho,88,233-300,431-613,,,
Syecho,89,436-498,,,,
Syecho,90,404-476,,,,
Syecho,91,30-269,379-438,,,
Syecho,92,344-428,,,,
Syecho,93,417-518,,,,
Syecho,94,202-245,394-528,,,
Syecho,95,544-591,,,,
Syecho,96,346-542,,,,
Syecho,97,423-515,,,,
Syecho,98,146-214,239-393,,,
Syecho,99,327-481,,,,
Syecho,100,451-566,,,,
Syecho,101,,,,,
Syecho,102,383-503,,,,
Syecho,103,422-473,,,,
Syecho,104,72-131,194-250,316-373,,
Syecho,105,259-375,,,,
Syecho,106,20-65,258-305,,,
Syecho,107,330-489,,,,
Syecho,108,485-571,,,,
Syecho,109,446-515,,,,
Syecho,110,,,,,
Syecho,111,44-109,162-201,395-453,,
Syecho,112,20-193,352-411,,,
Syecho,113,0-49,370-526,,,
Syecho,114,406-534,,,,
Syecho,115,412-488,,,,
Syecho,116,457-493,,,,
Syecho,117,0-100,,,,
Syecho,118,42-102,266-356,,,
Syecho,119,0-53,155-217,,,
Syecho,120,53-114,289-361,,,
Syecho,121,440-497,,,,
Syecho,122,319-541,,,,
Syecho,123,0-222,326-459,,,
Syecho,124,0-107,121-210,303-405,,
Syecho,125,224-277,386-452,,,
Syecho,126,256-373,403-474,,,
Syecho,127,419-499,,,,
Syecho,128,79-176,354-428,444-512,,
Syecho,129,298-422,453-496,,,
Syecho,130,43-240,252-437,439-494,537-591,
Syecho,131,361-415,,,,
Syecho,132,66-142,227-352,419-507,,
Syecho,133,0-148,,,,
Syecho,134,338-431,505-577,,,
Syecho,135,332-397,403-439,,,
Syecho,136,292-352,402-482,,,
Syecho,137,306-346,357-419,,,
Syecho,138,52-129,429-495,,,
Syecho,139,369-450,,,,
Syecho,140,12-82,392-456,,,
Syecho,141,287-339,392-487,,,
Syecho,142,490-569,,,,
Syecho,143,215-337,,,,
Syecho,144,69-360,461-519,,,
Syecho,145,514-604,,,,
Syecho,146,402-570,,,,
Syecho,147,0-179,,,,
Syecho,148,279-346,,,,
Syecho,149,333-387,,,,
Syecho,150,174-441,,,,
Syecho,151,338-375,,,,
Syecho,152,58-130,190-226,,,
Syecho,153,312-577,,,,
Syecho,154,0-44,78-133,,,
Syecho,155,,,,,
Syecho,158,110-177,470-540,,,
Syecho,159,564-613,,,,
Syecho,160,268-347,403-520,,,
Syecho,161,553-598,,,,
Syecho,162,34-93,371-420,426-480,,
Syecho,163,452-499,,,,
Syecho,164,469-603,,,,
Syecho,165,311-418,465-577,,,
Syecho,166,6-65,213-317,,,
Syecho,167,105-188,193-261,361-466,,
Syecho,168,312-399,431-520,,,
Syecho,169,339-494,,,,
Syecho,170,,,,,
Syecho,171,168-261,321-359,,,
Syecho,172,307-370,422-523,,,
Syecho,173,20-80,95-132,387-490,,
Syecho,174,379-456,,,,
Syecho,175,367-460,,,,
Syecho,176,330-489,,,,
Syecho,177,0-45,404-477,504-583,,
Syecho,178,67-107,,,,
Syecho,179,0-225,468-527,,,
Syecho,180,241-313,355-419,423-467,,
Syecho,181,0-47,132-274,447-483,,
Syecho,182,242-321,441-532,,,
Syecho,183,0-36,153-211,,,
Syecho,184,37-103,337-438,,,
Syecho,185,331-413,,,,
Syecho,186,367-488,,,,
Syecho,187,333-396,461-517,,,
Syecho,188,201-269,494-563,,,
Syecho,189,340-436,,,,
Syecho,190,259-296,,,,
Syecho,191,180-231,377-466,,,
Syecho,192,,,,,
Syecho,193,163-248,322-520,,,
Syecho,194,9-122,180-222,370-467,,
Syecho,195,396-481,,,,
Syecho,196,76-124,226-272,364-500,,
Syecho,197,0-94,148-329,,,
Syecho,198,310-384,522-592,,,
Syecho,199,164-221,,,,
Syecho,200,,,,,
Syecho,201,340-396,406-444,,,
Syecho,202,332-386,398-538,,,
Syecho,203,0-84,185-230,358-476,,
Syecho,204,4-84,201-340,,,
Syecho,205,,,,,
Syecho,206,95-132,247-302,308-344,,
Syecho,207,68-160,332-411,415-458,,
Syecho,208,,,,,
Syecho,209,46-112,253-302,,,
Syecho,210,119-250,329-404,467-538,,
Syecho,211,394-441,568-613,,,
Syecho,212,321-436,518-603,,,
Syecho,213,205-387,400-453,,,
Syecho,214,127-186,201-448,,,
Syecho,215,502-601,,,,
Syecho,216,202-245,385-433,,,
Syecho,217,330-468,,,,
Syecho,218,0-57,70-163,239-288,498-537,
Syecho,219,270-369,439-527,,,
Syecho,220,345-472,514-586,,,
Syecho,221,362-428,,,,
Syecho,222,406-546,,,,
Syecho,223,0-82,387-475,558-613,,
Syecho,224,26-99,307-356,402-451,,
Syecho,225,,,,,
Syecho,226,318-388,458-500,506-574,,
Syecho,227,0-44,398-474,,,
Syecho,228,235-379,409-450,,,
Syecho,229,176-216,295-332,,,
Syecho,230,531-567,,,,
Syecho,231,189-233,385-468,490-535,,
Syecho,232,267-359,,,,
Syecho,233,381-434,465-574,,,
Syecho,234,322-453,,,,
Syecho,235,154-219,553-591,,,
Syecho,236,90-204,287-370,,,
Syecho,237,88-161,188-302,404-469,,
Syecho,238,178-347,,,,
Syecho,239,258-296,300-437,460-534,,
Syecho,240,51-136,214-378,418-457,,
Syecho,241,324-456,462-597,,,
Syecho,242,407-500,,,,
Syecho,243,45-97,414-479,,,
Syecho,244,359-475,,,,
Syecho,245,272-454,,,,
Syecho,246,0-71,,,,
Syecho,247,423-487,563-609,,,
Syecho,248,299-393,,,,
Syecho,249,427-568,,,,
Syecho,250,526-564,,,,
Syecho,251,170-232,305-377,384-450,,
Syecho,252,0-38,346-424,,,
Syecho,253,338-444,,,,
Syecho,254,,,,,
Syecho,255,258-320,,,,
Syecho,256,7-144,345-483,,,
Syecho,257,182-318,,,,
Syecho,258,112-219,,,,
Syecho,259,327-513,,,,
Syecho,260,218-283,410-473,,,
Syecho,261,390-462,576-612,,,
Syecho,262,270-334,459-521,,,
Syecho,263,38-178,,,,
Syecho,264,2-102,338-418,,,
Syecho,265,331-367,400-489,542-585,,
Syecho,266,4-84,367-496,,,
Syecho,267,413-479,,,,
Syecho,268,196-302,324-393,,,
Syecho,269,123-183,279-385,531-590,,
Syecho,270,168-256,327-372,,,
Syecho,271,169-214,235-339,385-469,,
Syecho,272,161-271,321-441,,,
Syecho,273,73-132,237-351,420-459,,
Syecho,274,244-328,,,,
Syecho,275,352-436,561-613,,,
Syecho,276,314-393,481-543,,,
Syecho,277,182-245,308-477,,,
Syecho,278,8-75,120-231,266-482,,
Syecho,279,77-122,560-596,,,
Syecho,280,254-329,,,,
Syecho,281,445-613,,,,
Syecho,282,59-124,215-347,417-465,,
Syecho,283,172-355,447-500,550-598,,
Syecho,284,0-44,178-252,,,
Syecho,285,,,,,
Syecho,286,159-259,288-500,,,
Syecho,287,339-509,511-569,,,
Syecho,288,161-208,347-419,,,
Syecho,289,444-521,,,,
Syecho,290,115-177,332-405,470-527,,
Syecho,291,193-289,313-396,401-452,,
Syecho,292,9-73,172-211,229-282,,
Syecho,293,136-410,,,,
Syecho,294,401-483,538-585,,,
Syecho,295,0-38,82-345,357-535,,
Syecho,296,254-365,,,,
