Organism,Seq,Positions,,,
Chlamydia,1,316-403,,,
Chlamydia,2,257-311,,,
Chlamydia,3,414-523,,,
Chlamydia,4,286-418,,,
Chlamydia,5,357-439,,,
Chlamydia,6,353-411,421-457,,
Chlamydia,7,135-229,,,
Chlamydia,8,386-452,513-549,557-605,
Chlamydia,9,506-606,,,
Chlamydia,10,311-497,,,
Chlamydia,11,230-333,339-425,,
Chlamydia,12,338-473,,,
Chlamydia,13,395-475,,,
Chlamydia,14,437-613,,,
Chlamydia,15,,,,
Chlamydia,16,,,,
Chlamydia,17,258-313,,,
Chlamydia,18,236-336,384-484,,
Chlamydia,19,216-252,364-467,,
Chlamydia,20,,,,
Chlamydia,21,392-525,,,
Chlamydia,22,,,,
Chlamydia,23,441-528,,,
Chlamydia,24,372-548,,,
Chlamydia,25,573-610,,,
Chlamydia,26,,,,
Chlamydia,27,350-414,,,
Chlamydia,28,202-269,406-461,,
Chlamydia,29,199-288,316-412,,
Chlamydia,30,371-419,449-610,,
Chlamydia,31,327-364,378-464,521-558,
Chlamydia,32,386-510,,,
Chlamydia,33,241-287,341-433,,
Chlamydia,34,276-485,,,
Chlamydia,35,338-426,,,
Chlamydia,36,350-457,464-572,,
Chlamydia,37,237-283,339-456,,
Chlamydia,38,268-440,,,
Chlamydia,39,200-405,410-460,,
Chlamydia,40,394-487,,,
Chlamydia,41,274-373,,,
Chlamydia,42,199-423,441-478,,
Chlamydia,43,196-389,415-468,,
Chlamydia,44,249-395,,,
Chlamydia,45,433-517,,,
Chlamydia,46,267-339,349-467,,
Chlamydia,47,355-557,,,
Chlamydia,48,353-443,,,
Chlamydia,49,396-486,,,
Chlamydia,50,336-393,,,
Chlamydia,51,312-453,,,
Chlamydia,52,432-498,,,
Chlamydia,53,149-411,,,
Chlamydia,54,256-324,,,
Chlamydia,55,269-421,,,
Chlamydia,56,352-427,503-563,,
Chlamydia,57,372-489,,,
Chlamydia,58,283-369,432-484,515-562,
Chlamydia,59,184-262,401-463,543-613,
Chlamydia,60,,,,
Chlamydia,61,338-466,,,
Chlamydia,62,8-55,336-436,,
Chlamydia,63,,,,
Chlamydia,64,279-467,,,
Chlamydia,65,221-279,406-456,,
Chlamydia,66,427-538,,,
Chlamydia,67,,,,
Chlamydia,68,136-246,369-411,,
Chlamydia,69,,,,
Chlamydia,70,212-273,290-329,,
Chlamydia,71,38-115,412-551,,
Chlamydia,72,259-297,336-433,446-536,
Chlamydia,73,230-271,282-320,329-433,
Chlamydia,74,398-440,,,
Chlamydia,75,376-499,,,
Chlamydia,76,204-258,405-460,,
Chlamydia,77,354-493,,,
Chlamydia,78,322-467,,,
Chlamydia,79,242-445,,,
Chlamydia,80,0-43,324-451,,
Chlamydia,81,290-433,,,
Chlamydia,82,258-369,473-537,,
Chlamydia,83,264-352,421-461,,
Chlamydia,84,240-279,417-502,572-613,
Chlamydia,85,575-613,,,
Chlamydia,86,35-102,,,
Chlamydia,87,195-356,367-462,,
Chlamydia,88,383-504,,,
Chlamydia,89,347-477,,,
Chlamydia,90,196-245,325-372,393-475,
Chlamydia,91,213-318,379-492,,
Chlamydia,92,333-473,,,
Chlamydia,93,,,,
Chlamydia,94,249-465,,,
Chlamydia,95,401-488,,,
Chlamydia,96,349-447,524-613,,
Chlamydia,97,192-245,394-471,,
Chlamydia,98,199-270,558-595,,
Chlamydia,99,180-287,337-442,,
Chlamydia,100,571-613,,,
Chlamydia,101,284-347,363-435,,
Chlamydia,102,0-127,218-255,,
Chlamydia,103,20-88,417-474,554-613,
Chlamydia,104,358-406,,,
Chlamydia,105,153-205,,,
Chlamydia,106,413-454,,,
Chlamydia,107,297-361,366-472,,
Chlamydia,108,329-510,,,
Chlamydia,109,320-538,,,
Chlamydia,110,370-451,,,
Chlamydia,111,178-214,,,
Chlamydia,112,353-486,,,
Chlamydia,113,308-471,,,
Chlamydia,114,324-439,,,
Chlamydia,115,308-346,522-587,,
Chlamydia,116,237-296,308-361,437-516,
Chlamydia,117,204-261,270-461,,
Chlamydia,118,484-547,,,
Chlamydia,119,,,,
Chlamydia,120,353-465,,,
Chlamydia,121,218-258,372-414,437-497,539-613
Chlamydia,122,25-66,368-458,563-613,
Chlamydia,123,333-387,392-511,,
Chlamydia,124,312-361,,,
Chlamydia,125,306-483,,,
Chlamydia,126,360-469,,,
Chlamydia,127,400-525,,,
Chlamydia,128,301-386,448-556,,
Chlamydia,129,391-461,,,
Chlamydia,130,316-407,,,
Chlamydia,131,377-446,,,
Chlamydia,132,175-216,499-549,,
Chlamydia,133,350-504,,,
Chlamydia,134,154-211,346-433,556-613,
Chlamydia,135,558-613,,,
Chlamydia,136,77-130,179-259,267-343,
Chlamydia,137,316-550,,,
Chlamydia,138,564-613,,,
Chlamydia,139,19-82,402-469,553-595,
Chlamydia,140,218-282,358-497,,
Chlamydia,141,573-613,,,
Chlamydia,142,368-487,,,
Chlamydia,143,267-546,,,
Chlamydia,144,290-359,443-516,,
Chlamydia,145,295-348,370-508,,
Chlamydia,146,,,,
Chlamydia,147,398-482,,,
Chlamydia,148,475-543,,,
Chlamydia,149,385-457,,,
Chlamydia,150,287-342,445-520,,
Chlamydia,151,296-527,,,
Chlamydia,152,372-503,,,
Chlamydia,153,50-112,174-219,393-453,500-609
Chlamydia,154,292-467,,,
Chlamydia,155,0-71,352-487,,
Chlamydia,156,398-483,510-613,,
Chlamydia,157,404-440,546-613,,
Chlamydia,158,277-556,,,
Chlamydia,159,312-430,,,
Chlamydia,160,359-430,577-613,,
Chlamydia,161,401-462,513-613,,
Chlamydia,162,0-46,369-475,,
Chlamydia,163,264-504,,,
Chlamydia,164,295-390,,,
Chlamydia,165,372-433,,,
Chlamydia,166,10-101,394-550,,
Chlamydia,167,329-401,,,
Chlamydia,168,191-274,366-470,,
Chlamydia,169,207-368,,,
Chlamydia,170,293-504,,,
Chlamydia,171,,,,
Chlamydia,172,358-448,,,
Chlamydia,173,384-421,,,
Chlamydia,174,261-471,,,
Chlamydia,175,257-349,377-462,,
Chlamydia,176,138-218,562-613,,
Chlamydia,177,287-544,,,
Chlamydia,178,328-455,521-607,,
Chlamydia,179,343-501,,,
Chlamydia,180,257-358,377-425,430-522,
Chlamydia,181,389-485,,,
Chlamydia,182,407-447,,,
Chlamydia,183,425-485,543-613,,
Chlamydia,184,384-420,446-508,557-613,
Chlamydia,185,557-613,,,
Chlamydia,186,291-329,436-473,,
Chlamydia,187,346-427,,,
Chlamydia,188,339-500,,,
Chlamydia,189,321-394,,,
Chlamydia,190,268-418,,,
Chlamydia,191,223-324,421-493,,
Chlamydia,192,321-436,,,
Chlamydia,193,72-110,274-351,427-553,
Chlamydia,194,381-453,,,
Chlamydia,195,302-490,496-581,,
Chlamydia,196,501-538,,,
Chlamydia,197,158-268,384-437,,
Chlamydia,198,443-528,566-613,,
Chlamydia,199,227-286,310-386,,
Chlamydia,200,369-463,,,
Chlamydia,201,304-513,,,
Chlamydia,202,271-535,,,
Chlamydia,203,225-263,274-373,377-455,
Chlamydia,204,393-489,,,
Chlamydia,205,230-272,353-406,418-456,
Chlamydia,206,,,,
Chlamydia,207,400-485,,,
Chlamydia,208,379-506,,,
Chlamydia,209,402-579,,,
Chlamydia,210,282-476,,,
Chlamydia,211,400-448,546-582,,
Chlamydia,212,353-494,499-560,,
Chlamydia,213,516-613,,,
Chlamydia,214,360-446,,,
Chlamydia,215,308-475,,,
Chlamydia,216,301-366,382-424,449-502,
Chlamydia,217,323-405,,,
Chlamydia,218,295-496,,,
Chlamydia,219,179-241,405-458,,
Chlamydia,220,,,,
Chlamydia,221,182-268,315-456,,
Chlamydia,222,271-415,,,
Chlamydia,223,54-100,208-253,534-609,
Chlamydia,224,248-449,,,
Chlamydia,225,362-565,,,
Chlamydia,226,365-446,,,
Chlamydia,227,291-393,419-493,501-543,
Chlamydia,228,379-432,453-530,555-613,
Chlamydia,229,361-447,,,
Chlamydia,230,349-488,,,
Chlamydia,231,308-471,,,
Chlamydia,232,405-505,545-597,,
Chlamydia,233,147-280,561-613,,
Chlamydia,234,328-466,,,
Chlamydia,235,246-304,375-474,,
Chlamydia,236,406-570,,,
Chlamydia,237,407-446,451-518,,
Chlamydia,238,369-406,,,
Chlamydia,239,,,,
Chlamydia,240,357-433,575-613,,
Chlamydia,241,243-289,354-478,,
Chlamydia,242,,,,
Chlamydia,243,326-459,,,
Chlamydia,244,187-287,402-465,,
Chlamydia,245,230-277,396-452,,
Chlamydia,246,89-141,268-368,,
Chlamydia,247,278-557,,,
Chlamydia,248,268-350,446-503,,
Chlamydia,249,338-379,387-462,,
Chlamydia,250,251-397,,,
Chlamydia,251,419-489,540-613,,
Chlamydia,252,,,,
Chlamydia,253,361-414,553-591,,
Chlamydia,254,319-377,,,
Chlamydia,255,109-153,448-584,,
Chlamydia,256,364-424,,,
Chlamydia,257,7-126,407-451,,
Chlamydia,258,335-613,,,
Chlamydia,259,330-483,545-609,,
Chlamydia,260,294-345,368-419,,
Chlamydia,261,325-491,,,
Chlamydia,262,385-479,,,
Chlamydia,263,229-276,285-485,,
Chlamydia,264,368-510,,,
Chlamydia,265,,,,
Chlamydia,266,224-272,388-449,,
Chlamydia,267,177-233,238-375,390-456,
Chlamydia,268,71-125,524-613,,
Chlamydia,269,277-315,,,
Chlamydia,270,178-252,256-316,,
Chlamydia,271,248-527,,,
Chlamydia,272,200-241,336-479,,
Chlamydia,273,326-419,,,
Chlamydia,274,321-493,,,
Chlamydia,275,,,,
Chlamydia,276,258-298,320-403,,
Chlamydia,277,337-426,450-511,521-607,
Chlamydia,278,297-469,,,
Chlamydia,279,295-343,378-559,,
Chlamydia,280,215-273,349-494,554-592,
Chlamydia,281,305-407,450-553,,
Chlamydia,282,356-439,444-613,,
Chlamydia,283,218-287,424-497,,
Chlamydia,284,360-420,,,
Chlamydia,285,179-444,,,
Chlamydia,286,0-49,353-464,,
Chlamydia,287,315-473,,,
Chlamydia,288,219-397,407-443,447-498,
Chlamydia,289,259-342,388-451,,
Chlamydia,290,273-442,478-535,,
Chlamydia,291,13-93,374-448,,
Chlamydia,292,225-278,282-340,,
Chlamydia,293,284-349,433-514,,
Chlamydia,294,290-421,426-520,,
Chlamydia,295,359-535,,,
Chlamydia,296,375-425,,,
Chlamydia,297,407-550,,,
Chlamydia,298,267-379,448-537,,
Chlamydia,299,331-461,,,
Chlamydia,300,188-234,255-333,375-465,
Chlamydia,301,,,,
Chlamydia,302,161-258,,,
Chlamydia,303,18-81,426-486,491-558,
Chlamydia,304,380-438,451-508,,
Chlamydia,305,390-505,,,
Chlamydia,306,,,,
Chlamydia,307,347-457,,,
Chlamydia,308,378-460,,,
Chlamydia,309,418-498,518-579,,
Chlamydia,310,237-330,,,
Chlamydia,311,82-164,454-534,,
Chlamydia,312,178-235,,,
Chlamydia,313,276-446,,,
Chlamydia,314,338-450,556-612,,
Chlamydia,315,361-570,,,
Chlamydia,316,142-249,372-421,,
Chlamydia,317,558-613,,,
Chlamydia,318,,,,
Chlamydia,319,220-333,340-377,,
Chlamydia,320,305-412,495-584,,
Chlamydia,321,348-443,,,
Chlamydia,322,,,,
Chlamydia,323,299-491,,,
Chlamydia,324,286-343,,,
Chlamydia,325,246-307,389-443,,
Chlamydia,326,352-544,575-613,,
