Organism,Seq,Positions,,,
Haloferax,1,336-424,,,
Haloferax,2,256-560,,,
Haloferax,3,,,,
Haloferax,4,0-56,288-472,,
Haloferax,5,248-384,,,
Haloferax,6,288-560,,,
Haloferax,7,8-48,392-416,,
Haloferax,8,376-464,512-520,,
Haloferax,9,328-560,,,
Haloferax,10,48-160,,,
Haloferax,11,264-304,,,
Haloferax,12,96-112,272-400,,
Haloferax,13,368-424,,,
Haloferax,14,224-544,,,
Haloferax,15,32-96,,,
Haloferax,16,304-408,,,
Haloferax,17,280-544,,,
Haloferax,18,,,,
Haloferax,19,88-112,416-424,,
Haloferax,20,368-456,528-560,,
Haloferax,21,392-416,,,
Haloferax,22,288-400,,,
Haloferax,23,,,,
Haloferax,24,200-264,,,
Haloferax,25,240-384,,,
Haloferax,26,40-80,288-392,480-504,
Haloferax,27,368-448,,,
Haloferax,28,320-392,,,
Haloferax,29,192-280,,,
Haloferax,30,0-16,368-408,,
Haloferax,31,376-400,496-552,,
Haloferax,32,104-144,,,
Haloferax,33,96-304,400-528,,
Haloferax,34,336-480,,,
Haloferax,35,152-176,240-344,,
Haloferax,36,384-416,,,
Haloferax,37,272-464,,,
Haloferax,38,16-296,384-448,,
Haloferax,39,336-448,,,
Haloferax,40,344-368,,,
Haloferax,41,384-440,,,
Haloferax,42,320-408,504-536,,
Haloferax,43,344-416,,,
Haloferax,44,248-536,,,
Haloferax,45,344-472,,,
Haloferax,46,368-416,536-560,,
Haloferax,47,336-424,,,
Haloferax,48,248-432,,,
Haloferax,49,144-256,360-416,,
Haloferax,50,80-120,256-280,,
Haloferax,51,304-424,512-552,,
Haloferax,52,,,,
Haloferax,53,272-400,,,
Haloferax,54,360-424,,,
Haloferax,55,376-408,,,
Haloferax,56,8-32,392-440,,
Haloferax,57,128-208,,,
Haloferax,58,56-128,304-408,,
Haloferax,59,16-48,368-472,,
Haloferax,60,304-472,,,
Haloferax,61,280-392,,,
Haloferax,62,384-408,512-560,,
Haloferax,63,360-400,,,
Haloferax,64,272-312,464-496,,
Haloferax,65,0-280,,,
Haloferax,66,216-224,368-440,,
Haloferax,67,168-216,336-432,,
Haloferax,68,120-184,,,
Haloferax,69,208-248,328-432,,
Haloferax,70,96-392,,,
Haloferax,71,320-416,,,
Haloferax,72,328-552,,,
Haloferax,73,,,,
Haloferax,74,200-272,384-448,,
Haloferax,75,368-560,,,
Haloferax,76,272-296,416-424,480-560,
Haloferax,77,264-352,,,
Haloferax,78,360-448,,,
Haloferax,79,368-432,,,
Haloferax,80,240-296,368-416,,
Haloferax,81,72-208,384-464,,
Haloferax,82,0-24,,,
Haloferax,83,384-472,,,
Haloferax,84,32-160,264-368,,
Haloferax,85,352-416,,,
