Organism,Seq,Positions,,,
Haloferax,1,387-473,,,
Haloferax,2,403-613,,,
Haloferax,3,,,,
Haloferax,4,312-373,,,
Haloferax,5,277-427,,,
Haloferax,6,374-457,462-605,,
Haloferax,7,415-456,,,
Haloferax,8,396-478,,,
Haloferax,9,356-457,462-498,,
Haloferax,10,87-127,,,
Haloferax,11,289-352,,,
Haloferax,12,292-401,409-449,,
Haloferax,13,,,,
Haloferax,14,371-495,,,
Haloferax,15,57-126,,,
Haloferax,16,326-426,,,
Haloferax,17,539-591,,,
Haloferax,18,290-332,,,
Haloferax,19,112-159,,,
Haloferax,20,0-47,406-449,,
Haloferax,21,414-451,,,
Haloferax,22,310-433,,,
Haloferax,23,,,,
Haloferax,24,236-307,,,
Haloferax,25,272-325,344-427,,
Haloferax,26,343-413,498-553,,
Haloferax,27,401-450,,,
Haloferax,28,,,,
Haloferax,29,243-322,,,
Haloferax,30,400-447,,,
Haloferax,31,399-448,539-576,,
Haloferax,32,,,,
Haloferax,33,429-573,,,
Haloferax,34,404-473,,,
Haloferax,35,317-367,,,
Haloferax,36,403-463,,,
Haloferax,37,,,,
Haloferax,38,63-121,275-340,402-477,
Haloferax,39,359-468,,,
Haloferax,40,,,,
Haloferax,41,400-466,,,
Haloferax,42,338-401,,,
Haloferax,43,368-457,,,
Haloferax,44,277-493,,,
Haloferax,45,428-516,,,
Haloferax,46,568-613,,,
Haloferax,47,,,,
Haloferax,48,420-472,,,
Haloferax,49,202-276,399-461,,
Haloferax,50,284-328,,,
Haloferax,51,324-471,545-584,,
Haloferax,52,,,,
Haloferax,53,354-429,,,
Haloferax,54,387-465,,,
Haloferax,55,409-453,,,
Haloferax,56,430-474,,,
Haloferax,57,161-257,,,
Haloferax,58,373-453,,,
Haloferax,59,388-483,,,
Haloferax,60,322-509,,,
Haloferax,61,356-427,,,
Haloferax,62,404-452,538-613,,
Haloferax,63,,,,
Haloferax,64,289-356,,,
Haloferax,65,125-181,226-331,,
Haloferax,66,392-476,,,
Haloferax,67,367-465,,,
Haloferax,68,173-218,,,
Haloferax,69,370-475,,,
Haloferax,70,173-355,,,
Haloferax,71,348-462,,,
Haloferax,72,423-473,,,
Haloferax,73,,,,
Haloferax,74,246-303,405-458,,
Haloferax,75,576-613,,,
Haloferax,76,,,,
Haloferax,77,292-375,,,
Haloferax,78,,,,
Haloferax,79,386-466,,,
Haloferax,80,263-348,413-456,,
Haloferax,81,434-511,,,
Haloferax,82,0-53,,,
Haloferax,83,404-519,,,
Haloferax,84,,,,
Haloferax,85,377-433,,,
Haloferax,86,393-430,,,
Haloferax,87,344-472,,,
Haloferax,88,392-477,,,
Haloferax,89,155-233,544-608,,
Haloferax,90,13-119,180-292,,
Haloferax,91,303-448,,,
Haloferax,92,461-534,,,
Haloferax,93,365-423,467-505,536-598,
Haloferax,94,366-460,,,
Haloferax,95,384-426,,,
Haloferax,96,410-451,,,
Haloferax,97,385-459,,,
Haloferax,98,403-451,,,
Haloferax,99,367-470,,,
Haloferax,100,,,,
Haloferax,101,286-362,,,
Haloferax,102,,,,
Haloferax,103,484-521,567-613,,
Haloferax,104,377-430,,,
Haloferax,105,393-483,,,
Haloferax,106,252-294,,,
Haloferax,107,,,,
Haloferax,108,168-213,359-430,,
Haloferax,109,0-86,,,
Haloferax,110,,,,
Haloferax,111,339-385,416-461,,
Haloferax,112,,,,
Haloferax,113,,,,
Haloferax,114,377-431,,,
Haloferax,115,405-455,,,
Haloferax,116,228-271,436-490,,
Haloferax,117,438-475,,,
Haloferax,118,378-441,,,
Haloferax,119,210-250,,,
Haloferax,120,401-488,,,
Haloferax,121,384-458,,,
Haloferax,122,127-349,,,
Haloferax,123,405-457,,,
Haloferax,124,399-453,,,
Haloferax,125,25-84,,,
Haloferax,126,,,,
Haloferax,127,,,,
Haloferax,128,416-530,,,
Haloferax,129,,,,
Haloferax,130,202-330,,,
Haloferax,131,379-468,,,
Haloferax,132,,,,
Haloferax,133,378-459,,,
Haloferax,134,,,,
Haloferax,135,383-466,,,
Haloferax,136,,,,
Haloferax,137,,,,
Haloferax,138,338-407,,,
Haloferax,139,321-390,,,
Haloferax,140,376-427,,,
Haloferax,141,516-591,,,
Haloferax,142,,,,
Haloferax,143,289-422,,,
Haloferax,144,94-137,,,
Haloferax,145,329-424,,,
Haloferax,146,402-460,,,
Haloferax,147,406-490,,,
Haloferax,148,,,,
Haloferax,149,264-434,,,
Haloferax,150,205-258,415-456,,
Haloferax,151,181-300,,,
Haloferax,152,236-336,387-498,,
Haloferax,153,365-443,,,
Haloferax,154,383-446,,,
Haloferax,155,,,,
Haloferax,156,541-593,,,
Haloferax,157,311-373,,,
Haloferax,158,336-451,467-613,,
Haloferax,159,395-433,,,
Haloferax,160,374-458,,,
Haloferax,161,298-394,,,
Haloferax,162,365-458,,,
Haloferax,163,331-573,,,
Haloferax,164,412-455,,,
Haloferax,165,175-236,,,
Haloferax,166,264-317,,,
Haloferax,167,401-465,,,
Haloferax,168,275-458,,,
Haloferax,169,170-245,,,
Haloferax,170,14-53,340-422,468-514,
Haloferax,171,453-494,,,
Haloferax,172,410-452,,,
Haloferax,173,282-347,,,
Haloferax,174,391-427,,,
Haloferax,175,228-321,352-507,,
Haloferax,176,201-279,401-480,,
Haloferax,177,282-348,,,
Haloferax,178,510-566,,,
Haloferax,179,,,,
Haloferax,180,340-450,,,
Haloferax,181,269-445,500-536,,
Haloferax,182,,,,
Haloferax,183,149-207,332-421,,
Haloferax,184,399-531,,,
Haloferax,185,127-181,,,
Haloferax,186,403-451,,,
Haloferax,187,217-254,412-496,,
Haloferax,188,409-468,,,
Haloferax,189,388-441,,,
Haloferax,190,26-132,246-293,413-455,
Haloferax,191,288-337,,,
Haloferax,192,260-347,495-539,,
Haloferax,193,315-389,,,
Haloferax,194,389-449,,,
Haloferax,195,327-430,,,
Haloferax,196,367-451,,,
Haloferax,197,206-254,383-461,,
Haloferax,198,443-520,,,
Haloferax,199,362-426,536-579,,
Haloferax,200,284-339,403-489,,
Haloferax,201,413-463,,,
Haloferax,202,250-307,,,
Haloferax,203,383-486,,,
Haloferax,204,405-451,,,
Haloferax,205,142-403,,,
Haloferax,206,324-451,,,
Haloferax,207,402-472,,,
Haloferax,208,350-409,426-471,,
Haloferax,209,380-448,,,
Haloferax,210,,,,
Haloferax,211,389-453,,,
Haloferax,212,283-391,,,
Haloferax,213,401-454,,,
Haloferax,214,,,,
Haloferax,215,318-360,371-479,,
Haloferax,216,,,,
