Organism,Seq,Positions,,,,
Bacillus,1,392-424,,,,
Bacillus,2,424-520,,,,
Bacillus,3,136-184,280-536,,,
Bacillus,4,0-480,,,,
Bacillus,5,8-392,,,,
Bacillus,6,288-480,,,,
Bacillus,7,264-400,,,,
Bacillus,8,40-64,200-224,312-560,,
Bacillus,9,40-136,216-536,,,
Bacillus,10,336-496,,,,
Bacillus,11,104-152,264-272,312-552,,
Bacillus,12,296-560,,,,
Bacillus,13,88-240,344-424,536-560,,
Bacillus,14,72-152,360-424,,,
Bacillus,15,88-120,136-432,520-560,,
Bacillus,16,232-320,424-480,,,
Bacillus,17,224-496,,,,
Bacillus,18,0-464,,,,
Bacillus,19,120-208,320-536,,,
Bacillus,20,96-184,272-448,,,
Bacillus,21,0-456,,,,
Bacillus,22,224-560,,,,
Bacillus,23,64-144,240-440,504-544,,
Bacillus,24,296-424,512-552,,,
Bacillus,25,176-264,360-488,,,
Bacillus,26,312-448,,,,
Bacillus,27,280-384,520-560,,,
Bacillus,28,312-424,,,,
Bacillus,29,128-136,168-408,,,
Bacillus,30,216-528,,,,
Bacillus,31,256-408,496-552,,,
Bacillus,32,224-456,,,,
Bacillus,33,280-368,,,,
Bacillus,34,184-400,,,,
Bacillus,35,344-560,,,,
Bacillus,36,296-504,,,,
Bacillus,37,320-392,512-560,,,
Bacillus,38,392-560,,,,
Bacillus,39,40-160,288-456,,,
Bacillus,40,328-504,,,,
Bacillus,41,136-168,336-560,,,
Bacillus,42,224-240,,,,
Bacillus,43,152-288,360-416,,,
Bacillus,44,24-72,176-264,360-432,,
Bacillus,45,88-152,312-416,,,
Bacillus,46,160-392,,,,
Bacillus,47,136-488,,,,
Bacillus,48,16-80,,,,
Bacillus,49,136-536,,,,
Bacillus,50,0-112,256-544,,,
Bacillus,51,0-144,336-536,,,
Bacillus,52,280-536,,,,
Bacillus,53,168-408,448-520,,,
Bacillus,54,360-392,464-488,,,
Bacillus,55,0-64,264-304,400-456,,
Bacillus,56,288-432,,,,
Bacillus,57,208-536,,,,
Bacillus,58,232-392,,,,
Bacillus,59,96-168,368-536,,,
Bacillus,60,288-560,,,,
Bacillus,61,136-160,248-288,352-392,,
Bacillus,62,168-504,,,,
Bacillus,63,56-88,256-560,,,
Bacillus,64,0-280,360-464,,,
Bacillus,65,312-560,,,,
Bacillus,66,328-560,,,,
Bacillus,67,296-472,,,,
Bacillus,68,352-496,,,,
Bacillus,69,48-560,,,,
Bacillus,70,200-208,264-272,320-472,,
Bacillus,71,176-432,,,,
Bacillus,72,112-240,272-480,528-552,,
Bacillus,73,0-56,136-384,464-560,,
Bacillus,74,0-80,280-528,,,
Bacillus,75,8-208,504-560,,,
Bacillus,76,0-80,296-528,,,
Bacillus,77,192-536,,,,
Bacillus,78,152-208,312-552,,,
Bacillus,79,48-208,296-560,,,
Bacillus,80,24-152,296-480,,,
Bacillus,81,168-400,,,,
Bacillus,82,272-504,,,,
Bacillus,83,0-16,144-480,,,
Bacillus,84,328-392,,,,
Bacillus,85,216-248,320-432,,,
Bacillus,86,160-552,,,,
Bacillus,87,304-560,,,,
Bacillus,88,0-64,328-408,,,
Bacillus,89,192-544,,,,
Bacillus,90,280-432,520-560,,,
Bacillus,91,248-520,,,,
Bacillus,92,200-560,,,,
Bacillus,93,104-160,232-432,,,
Bacillus,94,224-480,,,,
Bacillus,95,248-480,,,,
Bacillus,96,216-552,,,,
Bacillus,97,16-416,,,,
Bacillus,98,336-400,,,,
Bacillus,99,328-384,496-560,,,
Bacillus,100,296-560,,,,
Bacillus,101,0-48,168-256,360-512,,
Bacillus,102,200-520,,,,
Bacillus,103,40-88,264-552,,,
Bacillus,104,136-240,360-384,,,
Bacillus,105,120-128,320-448,,,
Bacillus,106,24-96,296-368,456-472,,
Bacillus,107,0-128,232-448,,,
Bacillus,108,192-528,,,,
Bacillus,109,128-472,,,,
Bacillus,110,160-224,288-424,,,
Bacillus,111,128-160,256-360,496-560,,
Bacillus,112,0-8,320-480,,,
Bacillus,113,168-248,328-480,,,
Bacillus,114,192-448,520-536,,,
Bacillus,115,152-472,,,,
Bacillus,116,88-136,328-464,,,
Bacillus,117,0-80,216-496,,,
Bacillus,118,328-392,,,,
Bacillus,119,24-48,200-216,272-528,,
Bacillus,120,32-96,256-464,,,
Bacillus,121,224-248,352-440,,,
Bacillus,122,344-440,504-560,,,
Bacillus,123,200-472,,,,
Bacillus,124,0-560,,,,
Bacillus,125,280-496,,,,
Bacillus,126,224-464,,,,
Bacillus,127,160-184,296-488,,,
Bacillus,128,24-224,312-416,,,
Bacillus,129,0-16,304-536,,,
Bacillus,130,184-224,312-432,488-560,,
Bacillus,131,0-72,200-232,296-552,,
Bacillus,132,328-456,,,,
Bacillus,133,0-384,,,,
Bacillus,134,216-544,,,,
Bacillus,135,0-480,,,,
Bacillus,136,136-216,312-472,,,
Bacillus,137,296-400,480-504,,,
Bacillus,138,384-488,,,,
Bacillus,139,336-536,,,,
Bacillus,140,136-440,,,,
Bacillus,141,328-528,,,,
Bacillus,142,192-560,,,,
Bacillus,143,352-456,,,,
Bacillus,144,,,,,
Bacillus,145,16-104,,,,
Bacillus,146,128-224,,,,
Bacillus,147,32-96,312-536,,,
Bacillus,148,248-288,,,,
Bacillus,149,248-320,384-440,488-528,,
Bacillus,150,368-424,,,,
Bacillus,151,120-440,,,,
Bacillus,152,0-56,328-408,,,
Bacillus,153,16-72,320-560,,,
Bacillus,154,288-432,,,,
Bacillus,155,32-472,,,,
Bacillus,156,208-520,,,,
Bacillus,157,16-32,136-160,320-520,,
Bacillus,158,0-120,208-232,312-448,,
Bacillus,159,344-496,,,,
Bacillus,160,216-280,392-512,,,
Bacillus,161,0-72,264-480,,,
Bacillus,162,144-376,480-560,,,
Bacillus,163,304-416,,,,
Bacillus,164,120-496,,,,
Bacillus,165,160-456,,,,
Bacillus,166,0-48,136-464,,,
Bacillus,167,304-400,,,,
Bacillus,168,32-176,352-560,,,
Bacillus,169,120-200,288-440,,,
Bacillus,170,136-416,,,,
Bacillus,171,216-416,,,,
Bacillus,172,248-336,424-528,,,
Bacillus,173,0-96,280-552,,,
Bacillus,174,0-120,248-512,,,
Bacillus,175,0-40,248-416,,,
Bacillus,176,0-432,,,,
Bacillus,177,328-536,,,,
Bacillus,178,64-392,,,,
Bacillus,179,48-88,272-496,,,
Bacillus,180,128-384,,,,
Bacillus,181,392-448,,,,
Bacillus,182,240-400,,,,
Bacillus,183,0-136,184-208,224-448,,
Bacillus,184,272-376,,,,
Bacillus,185,304-560,,,,
Bacillus,186,72-168,312-480,,,
Bacillus,187,80-88,112-416,,,
Bacillus,188,0-48,136-440,520-560,,
Bacillus,189,344-416,,,,
Bacillus,190,0-192,376-440,,,
Bacillus,191,0-32,104-144,304-488,,
Bacillus,192,104-216,360-536,,,
Bacillus,193,296-480,,,,
Bacillus,194,312-560,,,,
Bacillus,195,0-24,88-160,248-416,,
Bacillus,196,0-8,24-40,264-464,,
Bacillus,197,0-48,336-552,,,
Bacillus,198,264-544,,,,
Bacillus,199,56-408,,,,
Bacillus,200,136-416,,,,
Bacillus,201,96-208,312-376,,,
Bacillus,202,0-24,280-560,,,
Bacillus,203,184-264,384-488,,,
Bacillus,204,312-432,464-544,,,
Bacillus,205,264-440,,,,
Bacillus,206,0-8,328-560,,,
Bacillus,207,312-416,,,,
Bacillus,208,208-488,,,,
Bacillus,209,224-560,,,,
Bacillus,210,32-88,368-536,,,
Bacillus,211,112-208,304-560,,,
Bacillus,212,128-208,320-496,,,
Bacillus,213,104-144,192-384,,,
Bacillus,214,152-160,304-424,504-552,,
Bacillus,215,56-120,320-504,,,
Bacillus,216,0-40,208-280,312-464,,
Bacillus,217,224-432,,,,
Bacillus,218,136-144,168-264,336-504,,
Bacillus,219,320-560,,,,
Bacillus,220,56-160,184-400,,,
Bacillus,221,336-496,,,,
Bacillus,222,296-456,,,,
Bacillus,223,0-32,312-536,,,
Bacillus,224,16-144,328-384,496-536,,
Bacillus,225,,,,,
Bacillus,226,280-376,,,,
Bacillus,227,56-80,168-480,,,
Bacillus,228,16-184,320-512,,,
Bacillus,229,0-8,32-48,168-248,336-560,
Bacillus,230,152-216,288-400,,,
Bacillus,231,0-24,152-560,,,
Bacillus,232,0-32,184-216,384-448,,
Bacillus,233,320-456,,,,
Bacillus,234,0-304,368-480,,,
Bacillus,235,272-320,424-496,,,
Bacillus,236,136-168,344-400,,,
Bacillus,237,272-520,,,,
Bacillus,238,184-432,,,,
Bacillus,239,152-312,376-448,,,
Bacillus,240,232-456,,,,
Bacillus,241,288-448,520-560,,,
Bacillus,242,352-376,,,,
Bacillus,243,192-264,344-408,,,
Bacillus,244,144-416,,,,
Bacillus,245,,,,,
Bacillus,246,64-120,224-448,528-552,,
Bacillus,247,232-448,512-560,,,
Bacillus,248,0-64,96-120,160-408,,
Bacillus,249,264-440,,,,
Bacillus,250,376-560,,,,
Bacillus,251,112-136,240-512,,,
Bacillus,252,88-168,264-480,,,
Bacillus,253,176-560,,,,
Bacillus,254,0-16,392-496,,,
Bacillus,255,344-512,,,,
Bacillus,256,160-432,,,,
Bacillus,257,0-544,,,,
Bacillus,258,272-360,440-520,,,
Bacillus,259,336-424,,,,
Bacillus,260,120-160,224-464,,,
Bacillus,261,288-560,,,,
Bacillus,262,64-96,208-216,232-408,,
Bacillus,263,184-272,336-560,,,
Bacillus,264,104-144,328-432,,,
Bacillus,265,56-424,488-520,,,
Bacillus,266,160-416,,,,
Bacillus,267,0-40,128-160,272-448,,
Bacillus,268,144-560,,,,
Bacillus,269,0-40,312-344,,,
Bacillus,270,56-176,272-560,,,
Bacillus,271,64-96,256-480,,,
Bacillus,272,0-184,312-448,,,
Bacillus,273,248-512,,,,
Bacillus,274,40-88,176-424,,,
Bacillus,275,336-544,,,,
Bacillus,276,48-112,216-472,,,
Bacillus,277,32-96,208-424,,,
Bacillus,278,32-184,376-496,,,
Bacillus,279,56-144,328-504,,,
Bacillus,280,104-160,312-424,,,
Bacillus,281,144-224,488-536,,,
Bacillus,282,96-128,200-560,,,
Bacillus,283,272-408,,,,
Bacillus,284,24-32,192-360,456-528,,
Bacillus,285,208-256,320-480,,,
Bacillus,286,24-112,224-280,352-448,,
Bacillus,287,272-544,,,,
Bacillus,288,224-424,,,,
Bacillus,289,0-432,,,,
Bacillus,290,336-552,,,,
Bacillus,291,464-528,,,,
Bacillus,292,72-112,304-440,,,
Bacillus,293,0-16,136-312,456-544,,
Bacillus,294,64-112,184-312,384-456,,
Bacillus,295,0-216,464-520,,,
Bacillus,296,40-216,344-464,536-560,,
Bacillus,297,40-48,144-216,280-512,,
Bacillus,298,104-152,216-272,336-480,,
Bacillus,299,216-472,,,,
Bacillus,300,216-280,368-560,,,
Bacillus,301,80-152,320-560,,,
Bacillus,302,344-464,,,,
Bacillus,303,144-168,288-400,512-560,,
Bacillus,304,200-504,,,,
Bacillus,305,184-456,528-560,,,
Bacillus,306,160-384,504-520,,,
Bacillus,307,264-416,,,,
Bacillus,308,24-88,152-432,504-560,,
Bacillus,309,0-104,248-512,,,
Bacillus,310,344-560,,,,
Bacillus,311,8-32,168-504,,,
Bacillus,312,288-560,,,,
Bacillus,313,376-536,,,,
Bacillus,314,0-40,256-416,,,
Bacillus,315,272-480,,,,
Bacillus,316,216-456,536-560,,,
Bacillus,317,0-96,296-456,,,
Bacillus,318,0-136,328-464,,,
Bacillus,319,136-440,,,,
Bacillus,320,0-16,104-440,,,
Bacillus,321,72-496,,,,
Bacillus,322,48-112,264-392,,,
Bacillus,323,272-528,,,,
Bacillus,324,304-544,,,,
Bacillus,325,0-32,272-488,,,
Bacillus,326,0-424,,,,
Bacillus,327,304-456,,,,
Bacillus,328,176-248,392-496,,,
Bacillus,329,264-440,,,,
Bacillus,330,312-496,,,,
Bacillus,331,192-216,304-448,,,
Bacillus,332,416-504,,,,
Bacillus,333,64-96,232-560,,,
Bacillus,334,264-456,,,,
Bacillus,335,232-448,,,,
Bacillus,336,56-120,216-416,,,
Bacillus,337,296-496,,,,
Bacillus,338,24-176,448-496,,,
Bacillus,339,168-376,,,,
Bacillus,340,272-472,,,,
Bacillus,341,0-8,96-528,,,
Bacillus,342,16-256,432-536,,,
Bacillus,343,128-168,240-512,,,
Bacillus,344,0-88,288-488,,,
Bacillus,345,96-224,296-496,,,
Bacillus,346,328-456,,,,
Bacillus,347,112-544,,,,
Bacillus,348,152-416,,,,
Bacillus,349,80-560,,,,
Bacillus,350,88-136,488-560,,,
Bacillus,351,64-512,,,,
Bacillus,352,136-248,328-488,,,
Bacillus,353,320-424,,,,
Bacillus,354,208-240,320-440,,,
Bacillus,355,232-480,,,,
Bacillus,356,88-128,296-432,,,
Bacillus,357,0-40,152-176,288-416,,
Bacillus,358,,,,,
Bacillus,359,0-168,368-456,,,
Bacillus,360,0-184,280-464,,,
Bacillus,361,248-376,496-512,536-552,,
Bacillus,362,32-104,224-536,,,
Bacillus,363,112-408,,,,
Bacillus,364,88-448,,,,
Bacillus,365,0-56,120-400,,,
Bacillus,366,280-520,,,,
Bacillus,367,304-456,,,,
Bacillus,368,280-432,,,,
Bacillus,369,232-440,,,,
Bacillus,370,264-504,,,,
Bacillus,371,8-32,224-264,328-480,,
Bacillus,372,152-560,,,,
Bacillus,373,24-104,216-448,,,
Bacillus,374,176-184,208-424,,,
Bacillus,375,48-104,176-424,,,
Bacillus,376,288-552,,,,
Bacillus,377,0-144,256-488,,,
Bacillus,378,184-264,392-544,,,
Bacillus,379,88-440,520-560,,,
Bacillus,380,272-432,,,,
Bacillus,381,0-216,344-472,,,
Bacillus,382,320-488,,,,
Bacillus,383,104-200,312-432,,,
Bacillus,384,0-32,296-424,,,
Bacillus,385,0-72,112-400,,,
Bacillus,386,40-72,168-216,296-512,,
Bacillus,387,296-448,,,,
Bacillus,388,344-488,,,,
Bacillus,389,248-456,,,,
Bacillus,390,0-88,240-384,448-520,,
Bacillus,391,296-400,,,,
Bacillus,392,296-560,,,,
Bacillus,393,0-56,200-360,,,
Bacillus,394,0-32,360-464,,,
Bacillus,395,192-216,304-400,,,
Bacillus,396,320-448,488-560,,,
Bacillus,397,0-240,368-424,,,
Bacillus,398,0-8,184-392,,,
Bacillus,399,232-560,,,,
Bacillus,400,328-488,,,,
Bacillus,401,192-432,,,,
Bacillus,402,224-336,464-488,,,
Bacillus,403,48-208,280-488,,,
Bacillus,404,296-432,,,,
Bacillus,405,184-408,,,,
Bacillus,406,320-536,,,,
Bacillus,407,168-496,,,,
Bacillus,408,48-424,,,,
Bacillus,409,216-448,,,,
Bacillus,410,24-120,224-488,,,
Bacillus,411,168-440,,,,
Bacillus,412,192-400,,,,
Bacillus,413,208-424,,,,
Bacillus,414,248-424,,,,
Bacillus,415,0-88,216-384,,,
Bacillus,416,56-400,,,,
Bacillus,417,312-424,,,,
Bacillus,418,272-448,,,,
Bacillus,419,280-384,,,,
Bacillus,420,24-120,304-400,,,
Bacillus,421,216-480,,,,
Bacillus,422,0-80,376-480,,,
Bacillus,423,40-248,328-464,,,
Bacillus,424,0-40,256-328,,,
Bacillus,425,120-144,336-544,,,
Bacillus,426,0-56,216-496,512-544,,
Bacillus,427,296-488,,,,
Bacillus,428,0-392,,,,
Bacillus,429,72-136,184-416,480-528,,
Bacillus,430,80-504,,,,
Bacillus,431,0-16,208-560,,,
Bacillus,432,176-496,,,,
Bacillus,433,264-424,,,,
Bacillus,434,280-440,,,,
Bacillus,435,112-120,208-392,472-520,,
Bacillus,436,296-560,,,,
Bacillus,437,0-152,264-416,528-560,,
Bacillus,438,152-184,288-448,,,
Bacillus,439,232-504,,,,
Bacillus,440,120-160,264-560,,,
Bacillus,441,0-112,192-408,472-520,,
Bacillus,442,216-440,,,,
Bacillus,443,40-472,,,,
Bacillus,444,304-496,,,,
Bacillus,445,208-432,,,,
Bacillus,446,56-520,,,,
Bacillus,447,0-56,184-440,,,
Bacillus,448,64-112,344-384,456-488,,
Bacillus,449,0-16,360-560,,,
Bacillus,450,152-384,,,,
Bacillus,451,80-496,,,,
Bacillus,452,176-400,,,,
Bacillus,453,328-488,,,,
Bacillus,454,264-416,,,,
Bacillus,455,120-400,,,,
Bacillus,456,240-456,,,,
Bacillus,457,80-424,,,,
Bacillus,458,192-224,328-448,,,
Bacillus,459,168-560,,,,
Bacillus,460,0-560,,,,
Bacillus,461,176-536,,,,
Bacillus,462,304-424,,,,
Bacillus,463,176-208,288-560,,,
Bacillus,464,0-80,200-560,,,
Bacillus,465,192-408,,,,
Bacillus,466,216-224,256-440,,,
Bacillus,467,160-456,,,,
Bacillus,468,0-256,328-560,,,
Bacillus,469,168-416,496-528,,,
Bacillus,470,48-96,208-464,,,
Bacillus,471,248-272,336-560,,,
Bacillus,472,56-112,280-448,,,
Bacillus,473,112-456,,,,
Bacillus,474,328-432,,,,
Bacillus,475,400-480,,,,
Bacillus,476,152-184,328-408,,,
Bacillus,477,320-440,,,,
Bacillus,478,32-56,80-416,,,
Bacillus,479,0-168,280-480,,,
Bacillus,480,0-72,280-448,,,
Bacillus,481,304-464,,,,
Bacillus,482,288-464,,,,
Bacillus,483,0-168,376-520,,,
Bacillus,484,88-248,312-424,,,
Bacillus,485,224-408,,,,
Bacillus,486,104-120,264-416,,,
Bacillus,487,208-472,,,,
Bacillus,488,16-112,256-496,,,
Bacillus,489,128-168,264-560,,,
Bacillus,490,0-48,104-512,,,
Bacillus,491,128-152,304-416,,,
Bacillus,492,8-72,232-480,,,
Bacillus,493,0-96,224-432,,,
Bacillus,494,216-256,,,,
Bacillus,495,56-440,,,,
Bacillus,496,152-400,488-544,,,
Bacillus,497,104-176,296-544,,,
Bacillus,498,296-472,,,,
Bacillus,499,280-392,,,,
Bacillus,500,352-448,,,,
Bacillus,501,304-424,,,,
Bacillus,502,0-432,,,,
Bacillus,503,48-312,,,,
Bacillus,504,0-112,296-360,384-424,,
Bacillus,505,280-512,,,,
Bacillus,506,312-544,,,,
Bacillus,507,144-168,264-464,,,
Bacillus,508,0-64,232-440,,,
Bacillus,509,88-96,248-336,408-528,,
Bacillus,510,224-432,,,,
Bacillus,511,160-176,328-432,,,
Bacillus,512,200-424,,,,
Bacillus,513,224-264,336-464,,,
Bacillus,514,96-176,248-448,,,
Bacillus,515,16-88,248-416,,,
Bacillus,516,312-544,,,,
Bacillus,517,0-80,296-464,,,
Bacillus,518,328-560,,,,
Bacillus,519,400-560,,,,
Bacillus,520,0-168,272-320,408-528,,
Bacillus,521,0-32,272-408,,,
Bacillus,522,240-504,,,,
Bacillus,523,40-80,224-296,424-480,,
Bacillus,524,192-544,,,,
Bacillus,525,56-432,504-552,,,
Bacillus,526,216-424,,,,
Bacillus,527,352-408,512-552,,,
Bacillus,528,0-136,304-560,,,
Bacillus,529,232-408,488-544,,,
Bacillus,530,0-128,216-232,352-384,,
Bacillus,531,72-536,,,,
Bacillus,532,200-448,,,,
Bacillus,533,80-456,,,,
Bacillus,534,344-552,,,,
Bacillus,535,80-272,472-552,,,
Bacillus,536,328-528,,,,
Bacillus,537,96-424,,,,
Bacillus,538,0-32,272-416,496-560,,
Bacillus,539,288-416,504-528,,,
Bacillus,540,0-16,168-464,,,
Bacillus,541,328-384,,,,
Bacillus,542,256-496,,,,
Bacillus,543,72-144,232-416,,,
Bacillus,544,208-432,,,,
Bacillus,545,0-40,376-480,,,
Bacillus,546,0-16,216-464,,,
Bacillus,547,0-32,184-296,376-552,,
Bacillus,548,200-264,344-560,,,
Bacillus,549,112-296,344-448,536-544,,
Bacillus,550,384-424,,,,
Bacillus,551,136-184,256-496,,,
Bacillus,552,8-144,224-440,,,
Bacillus,553,0-40,224-264,352-416,,
Bacillus,554,120-512,,,,
Bacillus,555,112-464,,,,
Bacillus,556,256-272,368-536,,,
Bacillus,557,208-312,384-456,,,
Bacillus,558,0-72,224-504,,,
Bacillus,559,248-424,,,,
Bacillus,560,120-240,320-528,,,
Bacillus,561,176-480,,,,
Bacillus,562,336-440,,,,
Bacillus,563,152-456,536-544,,,
Bacillus,564,0-48,224-384,,,
Bacillus,565,280-528,,,,
Bacillus,566,88-160,368-544,,,
Bacillus,567,0-8,216-496,,,
Bacillus,568,24-176,352-488,,,
Bacillus,569,320-392,,,,
Bacillus,570,56-304,360-408,,,
Bacillus,571,352-552,,,,
Bacillus,572,168-520,,,,
Bacillus,573,0-208,272-464,,,
Bacillus,574,0-72,280-456,,,
Bacillus,575,48-56,312-432,,,
Bacillus,576,120-416,,,,
Bacillus,577,0-24,264-424,,,
Bacillus,578,328-472,,,,
Bacillus,579,328-432,,,,
Bacillus,580,128-240,320-456,520-560,,
Bacillus,581,184-488,,,,
Bacillus,582,0-296,376-480,,,
Bacillus,583,0-56,224-560,,,
Bacillus,584,216-472,,,,
Bacillus,585,0-8,296-544,,,
Bacillus,586,296-440,512-552,,,
Bacillus,587,32-80,232-376,,,
Bacillus,588,0-8,320-560,,,
Bacillus,589,0-80,176-232,328-416,,
Bacillus,590,368-408,456-560,,,
Bacillus,591,0-160,296-440,,,
Bacillus,592,184-416,,,,
Bacillus,593,0-160,256-432,504-560,,
Bacillus,594,152-552,,,,
Bacillus,595,232-440,,,,
Bacillus,596,376-560,,,,
Bacillus,597,24-72,264-296,376-400,,
Bacillus,598,8-88,152-216,352-424,,
Bacillus,599,200-560,,,,
Bacillus,600,0-8,272-496,,,
Bacillus,601,208-416,,,,
Bacillus,602,264-392,456-504,,,
Bacillus,603,240-456,,,,
Bacillus,604,0-528,,,,
Bacillus,605,120-144,336-432,512-544,,
Bacillus,606,0-72,368-560,,,
Bacillus,607,72-416,,,,
Bacillus,608,8-64,288-472,,,
Bacillus,609,312-416,,,,
Bacillus,610,0-16,296-368,,,
Bacillus,611,208-464,,,,
Bacillus,612,72-176,248-296,384-464,,
Bacillus,613,32-216,280-552,,,
Bacillus,614,168-432,,,,
Bacillus,615,112-232,360-472,,,
Bacillus,616,24-88,224-416,512-560,,
Bacillus,617,0-88,240-464,,,
Bacillus,618,224-504,,,,
Bacillus,619,224-408,488-520,,,
Bacillus,620,304-456,,,,
Bacillus,621,40-120,200-208,360-408,,
Bacillus,622,0-8,48-144,296-536,,
Bacillus,623,0-64,272-296,384-472,,
Bacillus,624,144-224,384-488,,,
Bacillus,625,128-504,,,,
Bacillus,626,56-544,,,,
Bacillus,627,128-216,,,,
Bacillus,628,8-32,328-448,,,
Bacillus,629,296-432,,,,
Bacillus,630,56-440,,,,
Bacillus,631,152-208,320-456,,,
Bacillus,632,336-368,,,,
Bacillus,633,48-120,336-432,,,
Bacillus,634,144-376,480-560,,,
Bacillus,635,48-208,352-424,488-512,,
Bacillus,636,0-8,320-528,,,
Bacillus,637,296-520,,,,
Bacillus,638,152-176,248-432,464-504,,
Bacillus,639,216-496,,,,
Bacillus,640,0-96,272-472,,,
Bacillus,641,48-80,200-528,,,
Bacillus,642,296-496,,,,
Bacillus,643,320-544,,,,
Bacillus,644,328-496,,,,
Bacillus,645,264-544,,,,
Bacillus,646,152-176,304-440,528-560,,
Bacillus,647,296-560,,,,
Bacillus,648,48-560,,,,
Bacillus,649,104-256,352-504,,,
Bacillus,650,256-432,,,,
Bacillus,651,0-72,360-560,,,
Bacillus,652,344-424,,,,
Bacillus,653,160-544,,,,
Bacillus,654,64-88,296-464,,,
Bacillus,655,304-480,,,,
Bacillus,656,72-144,288-536,,,
Bacillus,657,136-288,352-432,,,
Bacillus,658,368-440,,,,
Bacillus,659,272-392,,,,
Bacillus,660,272-384,,,,
Bacillus,661,0-160,248-272,360-488,,
Bacillus,662,88-176,400-464,,,
Bacillus,663,288-536,,,,
Bacillus,664,352-560,,,,
Bacillus,665,56-88,152-216,288-544,,
Bacillus,666,232-384,,,,
Bacillus,667,72-408,,,,
Bacillus,668,224-560,,,,
Bacillus,669,312-384,,,,
Bacillus,670,272-392,,,,
Bacillus,671,296-384,,,,
Bacillus,672,24-120,280-408,,,
Bacillus,673,104-272,384-488,,,
Bacillus,674,280-432,,,,
Bacillus,675,0-144,208-560,,,
Bacillus,676,176-432,,,,
Bacillus,677,240-416,480-520,,,
Bacillus,678,224-496,,,,
Bacillus,679,296-496,,,,
Bacillus,680,264-488,,,,
Bacillus,681,0-32,112-224,272-488,,
Bacillus,682,72-96,160-440,536-544,,
Bacillus,683,0-24,280-504,,,
Bacillus,684,320-432,,,,
Bacillus,685,0-120,248-464,,,
Bacillus,686,0-88,256-448,,,
Bacillus,687,240-408,528-560,,,
Bacillus,688,104-408,,,,
Bacillus,689,48-168,336-400,,,
Bacillus,690,304-440,512-552,,,
Bacillus,691,112-192,256-296,384-504,,
Bacillus,692,144-184,336-560,,,
Bacillus,693,264-512,,,,
Bacillus,694,200-496,,,,
Bacillus,695,0-96,176-408,,,
Bacillus,696,304-480,,,,
Bacillus,697,320-560,,,,
Bacillus,698,264-448,520-560,,,
Bacillus,699,0-48,352-560,,,
Bacillus,700,80-152,296-408,,,
Bacillus,701,104-152,216-440,,,
Bacillus,702,280-432,,,,
Bacillus,703,0-120,336-480,,,
Bacillus,704,88-144,312-440,,,
Bacillus,705,296-416,504-560,,,
Bacillus,706,288-456,,,,
Bacillus,707,144-504,,,,
Bacillus,708,112-536,,,,
Bacillus,709,56-112,336-512,,,
Bacillus,710,424-552,,,,
Bacillus,711,312-496,,,,
Bacillus,712,104-176,328-400,,,
Bacillus,713,232-288,352-432,,,
Bacillus,714,232-376,440-552,,,
Bacillus,715,200-560,,,,
Bacillus,716,224-464,,,,
Bacillus,717,328-432,,,,
Bacillus,718,0-176,328-344,424-504,,
Bacillus,719,32-400,,,,
Bacillus,720,192-480,,,,
Bacillus,721,248-560,,,,
Bacillus,722,0-24,120-216,296-560,,
Bacillus,723,112-440,520-560,,,
Bacillus,724,40-72,184-560,,,
Bacillus,725,0-8,136-168,224-488,,
Bacillus,726,0-432,,,,
Bacillus,727,8-64,344-416,,,
Bacillus,728,104-152,272-464,,,
Bacillus,729,40-56,192-560,,,
Bacillus,730,272-408,,,,
Bacillus,731,336-552,,,,
Bacillus,732,24-112,352-456,,,
Bacillus,733,160-432,536-560,,,
Bacillus,734,128-224,328-448,,,
Bacillus,735,56-128,248-560,,,
Bacillus,736,0-48,296-448,,,
Bacillus,737,48-544,,,,
Bacillus,738,208-408,,,,
Bacillus,739,80-144,320-512,,,
Bacillus,740,256-432,,,,
Bacillus,741,216-248,312-536,,,
Bacillus,742,312-376,,,,
Bacillus,743,8-56,144-216,336-496,,
Bacillus,744,200-464,,,,
Bacillus,745,48-72,296-416,504-544,,
Bacillus,746,0-64,400-520,,,
Bacillus,747,72-424,,,,
Bacillus,748,336-424,,,,
Bacillus,749,16-200,320-496,,,
Bacillus,750,152-432,,,,
Bacillus,751,352-456,,,,
Bacillus,752,232-448,,,,
Bacillus,753,0-88,304-504,,,
Bacillus,754,80-352,384-400,,,
Bacillus,755,176-504,,,,
Bacillus,756,248-560,,,,
Bacillus,757,232-240,336-512,,,
Bacillus,758,88-296,360-416,,,
Bacillus,759,152-544,,,,
Bacillus,760,312-432,,,,
Bacillus,761,0-32,136-240,392-456,,
Bacillus,762,0-112,248-472,,,
Bacillus,763,104-448,512-536,,,
Bacillus,764,144-432,,,,
Bacillus,765,152-200,288-560,,,
Bacillus,766,208-248,328-560,,,
Bacillus,767,0-16,256-408,,,
Bacillus,768,0-80,304-480,,,
Bacillus,769,280-544,,,,
Bacillus,770,232-520,,,,
