Organism,Seq,Positions,,
Halo,1,,,
Halo,2,251;323,,
Halo,3,8;50,,
Halo,4,316;355,365;418,
Halo,5,302;356,,
Halo,6,370;453,,
Halo,7,379;462,,
Halo,8,271;319,,
Halo,9,400;455,,
Halo,10,408;561,,
Halo,11,398;439,476;613,
Halo,12,296;353,377;530,
Halo,13,318;365,385;421,
Halo,14,264;424,,
Halo,15,350;428,,
Halo,16,,,
Halo,17,173;241,395;451,
Halo,18,401;484,,
Halo,19,401;439,,
Halo,20,371;460,,
Halo,21,17;54,335;379,
Halo,22,302;366,,
Halo,23,369;483,,
Halo,24,337;439,,
Halo,25,358;465,,
Halo,26,396;488,,
Halo,27,292;341,,
Halo,28,395;493,,
Halo,29,411;480,,
Halo,30,,,
Halo,31,489;526,531;577,
Halo,32,47;84,,
Halo,33,0;87,389;481,
Halo,34,325;444,551;604,
Halo,35,,,
Halo,36,390;472,,
Halo,37,206;251,419;460,
Halo,38,13;94,,
Halo,39,,,
Halo,40,2;38,357;398,
Halo,41,333;484,,
Halo,42,401;440,,
Halo,43,402;466,561;613,
Halo,44,,,
Halo,45,212;326,,
Halo,46,384;462,,
Halo,47,329;463,,
Halo,48,343;453,,
Halo,49,390;431,,
Halo,50,361;426,,
Halo,51,240;355,,
Halo,52,402;453,,
Halo,53,408;448,,
Halo,54,,,
Halo,55,184;463,,
Halo,56,359;502,,
Halo,57,258;323,327;445,
Halo,58,0;69,,
Halo,59,325;378,,
Halo,60,15;91,,
Halo,61,60;130,466;505,
Halo,62,372;487,,
Halo,63,199;277,,
Halo,64,,,
Halo,65,175;264,309;347,
Halo,66,379;476,,
Halo,67,365;450,,
Halo,68,0;65,157;193,
Halo,69,292;368,,
Halo,70,89;125,204;241,437;483
Halo,71,314;383,,
Halo,72,401;439,484;521,
Halo,73,404;459,,
Halo,74,358;452,,
Halo,75,,,
Halo,76,404;461,,
Halo,77,400;460,,
Halo,78,277;314,374;451,
Halo,79,368;411,,
Halo,80,410;488,,
Halo,81,,,
Halo,82,411;477,,
Halo,83,277;368,395;527,
Halo,84,337;490,,
Halo,85,,,
Halo,86,192;239,392;436,
Halo,87,491;581,,
Halo,88,367;403,,
Halo,89,388;437,501;546,
Halo,90,381;484,,
Halo,91,380;440,,
Halo,92,383;437,,
Halo,93,368;555,,
Halo,94,0;58,443;486,
Halo,95,,,
Halo,96,,,
Halo,97,454;563,,
Halo,98,147;426,,
Halo,99,322;364,,
Halo,100,,,
Halo,101,,,
Halo,102,304;434,,
Halo,103,412;491,567;613,
Halo,104,0;51,332;450,
Halo,105,241;315,333;505,
Halo,106,20;87,547;609,
Halo,107,336;395,,
Halo,108,238;452,,
Halo,109,321;444,,
Halo,110,406;449,,
Halo,111,242;304,406;448,
Halo,112,197;245,,
Halo,113,402;473,,
Halo,114,,,
Halo,115,290;338,,
Halo,116,167;275,,
Halo,117,0;74,390;451,
Halo,118,318;365,,
Halo,119,351;444,,
Halo,120,,,
Halo,121,422;461,,
Halo,122,,,
Halo,123,,,
Halo,124,382;445,,
Halo,125,387;425,,
Halo,126,381;448,,
Halo,127,393;478,,
Halo,128,8;57,,
Halo,129,384;427,,
Halo,130,350;420,,
Halo,131,0;52,,
Halo,132,266;473,,
Halo,133,387;478,538;598,
Halo,134,,,
Halo,135,427;480,,
Halo,136,,,
Halo,137,377;461,,
Halo,138,,,
Halo,139,335;437,,
Halo,140,156;435,,
Halo,141,386;426,,
Halo,142,394;505,,
Halo,143,155;270,,
Halo,144,389;441,553;613,
Halo,145,51;89,218;330,404;467
Halo,146,447;485,,
Halo,147,346;454,,
Halo,148,321;600,,
Halo,149,398;438,538;613,
Halo,150,490;556,,
Halo,151,34;94,402;540,
Halo,152,222;276,317;406,
Halo,153,394;517,544;587,
Halo,154,0;70,,
Halo,155,141;364,374;420,
Halo,156,476;525,,
Halo,157,,,
Halo,158,366;459,,
Halo,159,333;464,,
Halo,160,65;150,,
Halo,161,,,
Halo,162,281;330,378;432,
Halo,163,,,
Halo,164,406;446,,
Halo,165,280;339,,
Halo,166,207;252,286;325,379;486
Halo,167,,,
Halo,168,0;71,193;249,416;472
Halo,169,,,
Halo,170,327;427,,
Halo,171,330;469,,
Halo,172,369;457,,
Halo,173,438;512,,
Halo,174,387;446,,
Halo,175,,,
Halo,176,244;368,,
Halo,177,11;79,392;495,
Halo,178,409;491,,
Halo,179,312;373,,
Halo,180,274;431,,
Halo,181,266;371,,
Halo,182,537;608,,
Halo,183,403;451,,
Halo,184,117;222,,
Halo,185,24;86,146;194,
Halo,186,389;444,,
Halo,187,273;355,361;417,
Halo,188,412;533,,
Halo,189,370;465,,
Halo,190,262;321,388;494,
Halo,191,438;482,,
Halo,192,425;613,,
Halo,193,323;465,,
Halo,194,349;393,400;470,
Halo,195,208;342,,
Halo,196,163;442,,
Halo,197,,,
Halo,198,399;464,,
Halo,199,52;151,204;240,
Halo,200,358;433,569;613,
Halo,201,448;537,,
Halo,202,276;341,,
Halo,203,410;453,539;613,
Halo,204,203;352,,
Halo,205,408;459,,
Halo,206,521;562,,
Halo,207,234;359,371;476,
Halo,208,351;432,,
Halo,209,404;484,,
Halo,210,,,
Halo,211,0;71,,
Halo,212,377;490,,
Halo,213,401;459,,
Halo,214,0;75,413;454,
Halo,215,250;327,,
Halo,216,360;456,,
Halo,217,40;145,,
Halo,218,,,
Halo,219,354;421,,
Halo,220,194;266,,
Halo,221,31;87,225;261,389;429
Halo,222,326;466,,
Halo,223,0;117,174;230,405;453
Halo,224,388;448,,
Halo,225,203;276,,
Halo,226,326;378,,
Halo,227,0;123,,
Halo,228,54;93,,
Halo,229,310;371,382;464,
Halo,230,230;306,443;509,
Halo,231,421;482,530;613,
Halo,232,366;475,,
Halo,233,200;294,299;479,
Halo,234,403;456,,
Halo,235,,,
Halo,236,162;218,,
Halo,237,,,
Halo,238,364;500,,
Halo,239,273;336,,
Halo,240,292;416,,
Halo,241,380;445,536;587,
Halo,242,213;274,,
Halo,243,,,
Halo,244,,,
Halo,245,379;482,,
Halo,246,,,
Halo,247,408;465,,
Halo,248,,,
Halo,249,327;427,,
Halo,250,393;480,489;559,
Halo,251,23;62,92;302,
Halo,252,318;362,380;416,
Halo,253,,,
Halo,254,,,
Halo,255,,,
Halo,256,23;196,,
Halo,257,405;468,,
Halo,258,,,
