Organism,Seq,Positions,,,,
Myco,1,409-485,,,,
Myco,2,0-75,205-241,419-493,,
Myco,3,,,,,
Myco,4,159-213,496-613,,,
Myco,5,350-417,,,,
Myco,6,502-539,,,,
Myco,7,133-169,285-335,451-509,,
Myco,8,,,,,
Myco,9,54-186,500-545,,,
Myco,10,215-296,311-380,,,
Myco,11,195-266,,,,
Myco,12,,,,,
Myco,13,231-315,324-445,,,
Myco,14,95-187,543-613,,,
Myco,15,558-613,,,,
Myco,16,419-535,,,,
Myco,17,177-256,,,,
Myco,18,11-156,,,,
Myco,19,134-224,229-285,,,
Myco,20,250-293,,,,
Myco,21,407-463,,,,
Myco,22,433-509,,,,
Myco,23,0-46,471-543,,,
Myco,24,368-537,,,,
Myco,25,409-449,,,,
Myco,26,,,,,
Myco,27,287-325,331-381,,,
Myco,28,347-461,471-546,,,
Myco,29,,,,,
Myco,30,189-242,246-291,485-570,,
Myco,31,,,,,
Myco,32,448-520,,,,
Myco,33,,,,,
Myco,34,,,,,
Myco,35,271-322,390-467,,,
Myco,36,0-41,394-444,,,
Myco,37,260-324,419-484,,,
Myco,38,439-480,,,,
Myco,39,269-310,376-439,,,
Myco,40,0-61,395-462,,,
Myco,41,0-63,364-420,,,
Myco,42,308-357,419-461,568-611,,
Myco,43,379-472,,,,
Myco,44,329-422,532-610,,,
Myco,45,192-247,329-447,,,
Myco,46,295-377,,,,
Myco,47,412-485,,,,
Myco,48,248-335,447-485,,,
Myco,49,418-512,,,,
Myco,50,57-102,236-296,,,
Myco,51,371-449,,,,
Myco,52,407-476,,,,
Myco,53,367-443,,,,
Myco,54,388-439,,,,
Myco,55,444-514,,,,
Myco,56,30-94,341-413,,,
Myco,57,415-569,,,,
Myco,58,257-319,,,,
Myco,59,384-444,,,,
Myco,60,315-388,398-454,,,
Myco,61,,,,,
Myco,62,191-227,393-471,,,
Myco,63,306-418,,,,
Myco,64,323-451,,,,
Myco,65,42-101,,,,
Myco,66,409-487,,,,
Myco,67,412-476,,,,
Myco,68,,,,,
Myco,69,309-396,,,,
Myco,70,221-284,411-474,,,
Myco,71,374-550,,,,
Myco,72,322-442,456-526,,,
Myco,73,278-403,,,,
Myco,74,0-57,282-353,387-446,,
Myco,75,361-431,,,,
Myco,76,0-94,110-202,240-280,402-445,
Myco,77,363-536,,,,
Myco,78,382-460,531-583,,,
Myco,79,400-493,,,,
Myco,80,294-383,,,,
Myco,81,,,,,
Myco,82,259-337,342-442,,,
Myco,83,210-254,346-489,,,
Myco,84,106-167,,,,
Myco,85,93-148,,,,
Myco,86,22-58,68-173,,,
Myco,87,7-108,113-153,,,
Myco,88,17-71,,,,
Myco,89,,,,,
Myco,90,0-37,413-556,,,
Myco,91,369-413,,,,
Myco,92,493-598,,,,
Myco,93,123-204,208-258,433-495,,
Myco,94,160-213,295-391,540-589,,
Myco,95,203-259,397-449,,,
Myco,96,,,,,
Myco,97,379-477,,,,
Myco,98,,,,,
Myco,99,170-211,394-446,,,
Myco,100,351-484,,,,
Myco,101,215-283,563-613,,,
Myco,102,420-524,,,,
Myco,103,323-408,465-550,574-613,,
Myco,104,13-58,132-197,,,
Myco,105,327-422,,,,
Myco,106,126-185,248-300,,,
Myco,107,377-460,518-568,,,
Myco,108,,,,,
Myco,109,362-445,,,,
Myco,110,350-389,,,,
Myco,111,,,,,
Myco,112,406-482,,,,
Myco,113,154-211,394-461,,,
Myco,114,371-422,499-602,,,
Myco,115,97-178,246-297,497-571,,
Myco,116,,,,,
Myco,117,,,,,
Myco,118,6-77,,,,
Myco,119,136-268,,,,
Myco,120,366-410,417-475,,,
Myco,121,398-468,,,,
Myco,122,157-204,,,,
Myco,123,349-460,573-609,,,
Myco,124,,,,,
Myco,125,402-499,565-613,,,
Myco,126,387-571,,,,
Myco,127,106-188,392-457,,,
Myco,128,,,,,
Myco,129,339-434,,,,
Myco,130,396-455,,,,
Myco,131,0-54,63-139,173-245,366-437,529-574
Myco,132,46-114,412-474,544-608,,
Myco,133,38-87,403-468,557-610,,
Myco,134,424-476,,,,
Myco,135,14-55,411-500,,,
Myco,136,398-601,,,,
Myco,137,385-463,,,,
Myco,138,427-501,,,,
Myco,139,,,,,
Myco,140,289-329,,,,
Myco,141,393-465,568-609,,,
Myco,142,76-142,297-358,,,
Myco,143,285-355,,,,
Myco,144,20-80,329-419,,,
Myco,145,387-453,,,,
Myco,146,365-458,,,,
Myco,147,327-399,429-482,,,
Myco,148,21-112,251-314,,,
Myco,149,130-179,307-369,,,
Myco,150,76-114,467-541,,,
Myco,151,282-381,,,,
Myco,152,416-478,,,,
Myco,153,393-448,,,,
Myco,154,,,,,
Myco,155,417-478,,,,
Myco,156,355-432,543-608,,,
Myco,157,28-87,,,,
Myco,158,259-367,399-477,,,
Myco,159,208-256,291-327,,,
Myco,160,282-324,396-485,,,
Myco,161,112-170,,,,
Myco,162,,,,,
Myco,163,348-546,,,,
Myco,164,0-95,,,,
Myco,165,393-459,,,,
Myco,166,,,,,
Myco,167,114-190,350-489,,,
Myco,168,311-399,,,,
Myco,169,308-414,,,,
Myco,170,107-157,341-544,,,
Myco,171,6-50,,,,
Myco,172,145-198,458-522,,,
Myco,173,,,,,
Myco,174,,,,,
Myco,175,411-478,483-525,,,
Myco,176,341-420,,,,
Myco,177,130-265,311-353,571-613,,
Myco,178,16-69,521-613,,,
Myco,179,132-185,416-488,,,
Myco,180,410-489,,,,
Myco,181,575-613,,,,
Myco,182,334-426,,,,
Myco,183,12-72,296-399,403-485,,
Myco,184,392-456,,,,
Myco,185,99-138,341-378,413-486,,
Myco,186,401-507,,,,
Myco,187,389-449,,,,
Myco,188,144-230,396-436,,,
Myco,189,352-402,,,,
Myco,190,0-120,164-253,,,
Myco,191,7-45,368-460,,,
Myco,192,291-374,,,,
Myco,193,556-613,,,,
Myco,194,152-255,365-470,,,
Myco,195,,,,,
Myco,196,93-213,341-398,,,
Myco,197,,,,,
Myco,198,0-50,413-482,,,
Myco,199,400-483,,,,
Myco,200,228-272,,,,
Myco,201,355-446,,,,
Myco,202,,,,,
Myco,203,377-438,494-538,,,
Myco,204,407-507,,,,
Myco,205,231-273,432-497,,,
Myco,206,340-394,,,,
