Organism,Seq,Positions,,,,
Thermo,1,8-48,152-320,368-464,,
Thermo,2,0-16,344-512,,,
Thermo,3,0-32,104-384,520-552,,
Thermo,4,232-264,376-560,,,
Thermo,5,0-344,512-560,,,
Thermo,6,152-208,296-432,,,
Thermo,7,360-528,,,,
Thermo,8,0-56,144-216,256-288,352-424,
Thermo,9,200-432,,,,
Thermo,10,216-480,,,,
Thermo,11,336-400,,,,
Thermo,12,0-16,160-184,488-528,,
Thermo,13,112-240,376-528,,,
Thermo,14,128-248,360-408,480-560,,
Thermo,15,528-552,,,,
Thermo,16,0-72,160-560,,,
Thermo,17,0-152,368-400,,,
Thermo,18,232-424,,,,
Thermo,19,0-120,200-224,376-544,,
Thermo,20,40-112,304-496,,,
Thermo,21,152-256,312-464,,,
Thermo,22,0-160,272-560,,,
Thermo,23,344-512,,,,
Thermo,24,72-136,200-280,480-560,,
Thermo,25,360-440,504-560,,,
Thermo,26,352-560,,,,
Thermo,27,0-424,,,,
Thermo,28,264-496,,,,
Thermo,29,280-456,,,,
Thermo,30,48-192,264-552,,,
Thermo,31,312-376,,,,
Thermo,32,256-440,,,,
Thermo,33,320-424,,,,
Thermo,34,344-432,,,,
Thermo,35,312-408,,,,
Thermo,36,0-40,312-560,,,
Thermo,37,264-400,,,,
Thermo,38,232-264,368-408,,,
Thermo,39,136-168,352-400,,,
Thermo,40,336-560,,,,
Thermo,41,0-184,376-432,,,
Thermo,42,288-560,,,,
Thermo,43,256-416,520-560,,,
Thermo,44,232-560,,,,
Thermo,45,152-408,,,,
Thermo,46,0-168,336-384,,,
Thermo,47,0-168,336-384,,,
Thermo,48,240-280,312-408,,,
Thermo,49,208-408,,,,
Thermo,50,16-120,352-528,,,
Thermo,51,80-128,328-544,,,
Thermo,52,280-496,,,,
Thermo,53,272-480,,,,
Thermo,54,264-464,,,,
Thermo,55,0-72,168-208,320-504,,
Thermo,56,152-408,480-544,,,
Thermo,57,40-72,264-392,,,
Thermo,58,328-440,,,,
Thermo,59,0-8,256-464,512-536,,
Thermo,60,0-24,88-400,,,
Thermo,61,224-240,320-440,,,
Thermo,62,168-560,,,,
Thermo,63,56-80,104-112,200-456,,
Thermo,64,112-168,320-432,,,
Thermo,65,208-232,344-392,,,
Thermo,66,168-408,,,,
Thermo,67,0-40,288-536,,,
Thermo,68,376-560,,,,
Thermo,69,32-104,184-440,,,
Thermo,70,328-424,,,,
Thermo,71,312-552,,,,
