Organism,Seq,Positions,,,,
Thermo,1,16-24,152-320,368-448,,
Thermo,2,0-8,344-496,,,
Thermo,3,8-32,104-384,,,
Thermo,4,232-264,376-560,,,
Thermo,5,0-336,512-552,,,
Thermo,6,152-208,320-432,,,
Thermo,7,368-424,,,,
Thermo,8,0-32,144-160,376-424,,
Thermo,9,200-424,,,,
Thermo,10,288-408,,,,
Thermo,11,352-376,,,,
Thermo,12,504-512,,,,
Thermo,13,112-224,376-456,,,
Thermo,14,184-232,376-400,512-544,,
Thermo,15,536-544,,,,
Thermo,16,0-72,160-560,,,
Thermo,17,0-112,368-392,,,
Thermo,18,240-424,,,,
Thermo,19,0-120,200-224,376-544,,
Thermo,20,88-112,328-480,,,
Thermo,21,152-184,352-440,,,
Thermo,22,0-160,280-560,,,
Thermo,23,352-488,,,,
Thermo,24,224-272,504-560,,,
Thermo,25,376-432,512-544,,,
Thermo,26,360-560,,,,
Thermo,27,0-384,,,,
Thermo,28,272-456,,,,
Thermo,29,312-424,,,,
Thermo,30,48-192,264-544,,,
Thermo,31,312-376,,,,
Thermo,32,264-432,,,,
Thermo,33,328-416,,,,
Thermo,34,360-424,,,,
Thermo,35,320-392,,,,
Thermo,36,0-40,312-560,,,
Thermo,37,,,,,
Thermo,38,,,,,
Thermo,39,368-400,,,,
Thermo,40,352-480,,,,
Thermo,41,0-24,40-184,376-416,,
Thermo,42,288-560,,,,
Thermo,43,256-408,520-560,,,
Thermo,44,240-560,,,,
Thermo,45,272-392,,,,
Thermo,46,0-160,336-384,,,
Thermo,47,0-160,336-384,,,
Thermo,48,344-408,,,,
Thermo,49,232-408,,,,
Thermo,50,32-120,376-528,,,
Thermo,51,80-128,328-496,,,
Thermo,52,296-472,,,,
Thermo,53,296-480,,,,
Thermo,54,336-400,,,,
Thermo,55,40-72,184-208,320-496,,
Thermo,56,176-408,,,,
Thermo,57,40-72,288-384,,,
Thermo,58,344-424,,,,
Thermo,59,0-8,264-456,,,
Thermo,60,0-24,88-384,,,
Thermo,61,320-408,,,,
Thermo,62,168-528,,,,
Thermo,63,56-80,216-448,,,
Thermo,64,112-160,368-416,,,
Thermo,65,352-392,,,,
Thermo,66,200-392,,,,
Thermo,67,24-40,288-408,,,
Thermo,68,400-536,,,,
Thermo,69,32-104,192-376,,,
Thermo,70,328-400,,,,
Thermo,71,312-456,,,,
Thermo,72,176-248,352-464,536-560,,
Thermo,73,0-200,288-384,,,
Thermo,74,304-408,,,,
Thermo,75,344-432,536-560,,,
Thermo,76,0-96,280-464,,,
Thermo,77,24-48,328-400,,,
Thermo,78,352-432,,,,
Thermo,79,264-392,,,,
Thermo,80,248-432,,,,
Thermo,81,0-16,136-456,,,
Thermo,82,8-48,128-152,296-408,,
Thermo,83,328-432,,,,
Thermo,84,112-152,328-448,,,
Thermo,85,280-520,,,,
Thermo,86,176-288,376-432,,,
Thermo,87,280-440,,,,
Thermo,88,360-448,,,,
Thermo,89,120-432,,,,
Thermo,90,360-384,,,,
Thermo,91,352-408,488-560,,,
Thermo,92,0-16,368-424,,,
Thermo,93,216-464,,,,
Thermo,94,240-432,,,,
Thermo,95,368-464,,,,
Thermo,96,384-560,,,,
Thermo,97,320-424,,,,
Thermo,98,0-16,288-424,,,
Thermo,99,0-16,48-56,208-440,,
Thermo,100,,,,,
Thermo,101,104-248,344-408,,,
Thermo,102,208-384,,,,
Thermo,103,272-368,,,,
Thermo,104,176-224,264-376,,,
Thermo,105,376-440,,,,
Thermo,106,104-152,312-416,,,
Thermo,107,344-384,,,,
Thermo,108,16-400,,,,
Thermo,109,16-32,168-424,,,
Thermo,110,208-424,,,,
Thermo,111,280-384,,,,
Thermo,112,472-560,,,,
Thermo,113,360-384,,,,
Thermo,114,240-392,,,,
Thermo,115,288-528,,,,
Thermo,116,320-560,,,,
Thermo,117,168-256,368-440,,,
Thermo,118,128-272,376-440,,,
Thermo,119,360-456,,,,
Thermo,120,0-40,288-312,328-432,,
Thermo,121,200-424,504-560,,,
Thermo,122,8-96,,,,
Thermo,123,0-120,280-432,,,
Thermo,124,376-384,488-560,,,
Thermo,125,32-56,336-544,,,
Thermo,126,200-400,,,,
Thermo,127,304-488,,,,
Thermo,128,312-352,,,,
Thermo,129,184-560,,,,
Thermo,130,368-416,496-560,,,
Thermo,131,248-272,376-408,520-560,,
Thermo,132,144-224,320-440,,,
Thermo,133,344-440,,,,
Thermo,134,112-232,,,,
Thermo,135,88-160,288-448,,,
Thermo,136,152-184,352-408,,,
Thermo,137,56-80,168-224,432-464,,
Thermo,138,352-400,488-560,,,
Thermo,139,0-72,256-272,304-400,,
Thermo,140,,,,,
Thermo,141,0-56,216-392,528-544,,
Thermo,142,352-400,464-560,,,
Thermo,143,256-440,,,,
Thermo,144,224-312,328-480,,,
Thermo,145,104-168,384-424,,,
Thermo,146,304-416,,,,
Thermo,147,344-488,,,,
Thermo,148,0-168,248-464,,,
Thermo,149,360-408,,,,
Thermo,150,0-304,,,,
Thermo,151,48-72,176-376,504-536,,
Thermo,152,376-496,,,,
Thermo,153,144-424,,,,
Thermo,154,272-408,,,,
Thermo,155,320-448,,,,
Thermo,156,352-392,488-560,,,
Thermo,157,104-120,256-408,,,
Thermo,158,0-32,248-560,,,
Thermo,159,216-384,,,,
Thermo,160,256-304,384-480,,,
Thermo,161,240-504,,,,
Thermo,162,,,,,
Thermo,163,344-384,,,,
Thermo,164,152-384,,,,
Thermo,165,56-152,344-400,,,
Thermo,166,32-280,376-424,,,
Thermo,167,280-472,,,,
Thermo,168,352-456,,,,
Thermo,169,8-80,280-488,,,
Thermo,170,344-400,,,,
Thermo,171,280-416,536-560,,,
Thermo,172,,,,,
Thermo,173,240-264,504-560,,,
Thermo,174,272-392,,,,
Thermo,175,392-424,,,,
Thermo,176,328-376,,,,
Thermo,177,344-552,,,,
Thermo,178,312-408,,,,
Thermo,179,,,,,
Thermo,180,336-416,488-536,,,
Thermo,181,0-16,352-408,,,
Thermo,182,240-472,,,,
Thermo,183,0-8,320-432,,,
Thermo,184,360-408,,,,
Thermo,185,280-416,504-560,,,
Thermo,186,40-112,200-264,352-416,,
Thermo,187,200-504,,,,
Thermo,188,352-424,,,,
Thermo,189,352-544,,,,
Thermo,190,432-512,,,,
Thermo,191,280-408,,,,
Thermo,192,288-296,320-552,,,
Thermo,193,376-424,,,,
Thermo,194,0-48,208-416,,,
Thermo,195,384-424,,,,
Thermo,196,96-192,352-400,,,
Thermo,197,104-144,296-416,,,
Thermo,198,320-400,,,,
Thermo,199,232-480,,,,
Thermo,200,216-384,,,,
Thermo,201,320-464,,,,
Thermo,202,0-368,,,,
Thermo,203,176-184,432-512,,,
Thermo,204,128-168,336-384,,,
Thermo,205,8-280,440-560,,,
Thermo,206,64-384,480-504,,,
Thermo,207,144-160,424-536,,,
Thermo,208,288-472,,,,
Thermo,209,0-32,152-424,,,
Thermo,210,48-64,,,,
Thermo,211,320-408,,,,
Thermo,212,0-128,360-432,,,
Thermo,213,288-424,,,,
Thermo,214,312-488,,,,
Thermo,215,376-440,,,,
Thermo,216,320-376,504-536,,,
Thermo,217,336-392,,,,
Thermo,218,288-560,,,,
Thermo,219,48-80,296-544,,,
Thermo,220,24-64,176-480,,,
Thermo,221,112-152,272-432,,,
Thermo,222,136-200,360-560,,,
Thermo,223,344-440,,,,
Thermo,224,320-496,,,,
Thermo,225,248-384,,,,
Thermo,226,96-224,344-472,,,
Thermo,227,296-424,,,,
Thermo,228,184-392,,,,
Thermo,229,96-104,208-280,376-432,,
Thermo,230,312-416,,,,
Thermo,231,0-120,224-376,,,
Thermo,232,344-376,,,,
Thermo,233,24-160,304-408,512-520,,
Thermo,234,248-304,384-480,,,
Thermo,235,40-416,,,,
Thermo,236,304-504,,,,
Thermo,237,80-176,248-384,496-544,,
Thermo,238,,,,,
Thermo,239,0-16,184-408,,,
Thermo,240,184-360,,,,
Thermo,241,368-424,536-560,,,
Thermo,242,8-96,128-240,352-400,,
Thermo,243,288-456,,,,
Thermo,244,200-416,,,,
Thermo,245,344-536,,,,
Thermo,246,184-416,488-560,,,
Thermo,247,184-392,,,,
Thermo,248,160-496,,,,
Thermo,249,352-456,,,,
Thermo,250,152-192,312-376,,,
Thermo,251,272-400,,,,
Thermo,252,104-176,504-528,,,
Thermo,253,152-424,520-544,,,
Thermo,254,0-16,488-560,,,
Thermo,255,336-408,,,,
Thermo,256,48-208,352-552,,,
Thermo,257,0-560,,,,
Thermo,258,32-56,320-416,512-560,,
Thermo,259,248-424,,,,
Thermo,260,152-208,384-464,,,
Thermo,261,344-416,,,,
Thermo,262,376-448,,,,
Thermo,263,0-24,176-224,368-416,,
Thermo,264,352-376,,,,
Thermo,265,344-528,,,,
Thermo,266,240-416,,,,
Thermo,267,232-432,,,,
Thermo,268,320-424,448-464,,,
Thermo,269,160-288,,,,
Thermo,270,168-496,,,,
Thermo,271,312-488,,,,
Thermo,272,280-496,,,,
Thermo,273,0-216,376-448,,,
Thermo,274,0-112,248-440,,,
Thermo,275,256-272,368-400,,,
Thermo,276,48-104,264-544,,,
Thermo,277,312-512,,,,
Thermo,278,328-464,,,,
Thermo,279,88-192,376-512,,,
Thermo,280,240-456,,,,
Thermo,281,232-480,,,,
Thermo,282,120-152,248-384,464-560,,
Thermo,283,344-488,,,,
Thermo,284,232-288,328-432,,,
Thermo,285,,,,,
Thermo,286,344-448,,,,
Thermo,287,200-440,,,,
Thermo,288,0-128,360-464,,,
Thermo,289,312-408,,,,
Thermo,290,240-392,,,,
Thermo,291,0-80,360-560,,,
Thermo,292,264-320,368-448,,,
Thermo,293,72-360,496-544,,,
Thermo,294,336-488,,,,
Thermo,295,176-224,328-392,,,
Thermo,296,136-240,360-424,,,
Thermo,297,232-368,,,,
Thermo,298,200-416,,,,
Thermo,299,360-512,,,,
Thermo,300,336-400,,,,
Thermo,301,352-408,,,,
Thermo,302,96-320,,,,
Thermo,303,336-424,,,,
Thermo,304,256-392,,,,
Thermo,305,352-496,,,,
Thermo,306,0-112,232-440,,,
Thermo,307,240-520,,,,
Thermo,308,352-408,,,,
Thermo,309,,,,,
Thermo,310,208-400,,,,
Thermo,311,360-400,488-528,,,
Thermo,312,352-456,,,,
Thermo,313,352-424,,,,
Thermo,314,0-40,376-400,,,
Thermo,315,376-432,,,,
Thermo,316,384-456,,,,
Thermo,317,224-264,,,,
Thermo,318,0-8,88-224,392-560,,
Thermo,319,0-80,200-264,344-400,464-496,
Thermo,320,368-448,512-560,,,
Thermo,321,208-408,,,,
Thermo,322,304-376,,,,
Thermo,323,136-296,376-384,408-432,,
Thermo,324,184-408,,,,
Thermo,325,272-408,,,,
Thermo,326,288-408,,,,
Thermo,327,72-120,176-552,,,
Thermo,328,328-432,,,,
Thermo,329,392-408,480-520,,,
Thermo,330,352-416,,,,
Thermo,331,0-280,352-528,,,
Thermo,332,216-400,,,,
Thermo,333,48-104,224-248,368-520,,
Thermo,334,216-232,280-408,,,
Thermo,335,160-192,336-488,,,
Thermo,336,104-416,,,,
Thermo,337,256-400,,,,
Thermo,338,360-456,,,,
Thermo,339,368-520,,,,
Thermo,340,0-56,96-112,144-152,200-432,
Thermo,341,128-216,304-528,,,
Thermo,342,24-120,,,,
Thermo,343,360-408,,,,
Thermo,344,80-152,280-304,368-456,,
Thermo,345,56-176,224-392,,,
Thermo,346,368-440,,,,
Thermo,347,528-560,,,,
Thermo,348,320-424,,,,
Thermo,349,328-520,,,,
Thermo,350,280-400,,,,
Thermo,351,8-32,176-536,,,
Thermo,352,80-152,288-456,,,
Thermo,353,304-408,,,,
Thermo,354,24-152,384-560,,,
Thermo,355,296-384,,,,
Thermo,356,320-392,,,,
Thermo,357,0-32,272-416,,,
Thermo,358,328-560,,,,
Thermo,359,0-16,344-472,,,
Thermo,360,152-216,344-416,,,
Thermo,361,344-432,,,,
Thermo,362,248-560,,,,
Thermo,363,176-424,,,,
Thermo,364,192-280,,,,
Thermo,365,200-304,384-432,,,
Thermo,366,352-448,,,,
Thermo,367,0-96,376-416,,,
Thermo,368,264-376,,,,
Thermo,369,384-472,,,,
Thermo,370,160-384,,,,
Thermo,371,,,,,
Thermo,372,104-144,384-480,,,
Thermo,373,360-384,,,,
Thermo,374,200-560,,,,
Thermo,375,56-296,,,,
Thermo,376,192-248,,,,
Thermo,377,424-448,,,,
Thermo,378,240-416,,,,
Thermo,379,80-128,408-528,,,
Thermo,380,88-472,,,,
Thermo,381,304-400,,,,
Thermo,382,104-144,192-408,,,
Thermo,383,336-384,496-560,,,
Thermo,384,64-136,328-528,,,
Thermo,385,64-112,320-384,456-560,,
Thermo,386,48-56,320-512,,,
Thermo,387,312-400,,,,
Thermo,388,344-456,,,,
Thermo,389,0-40,304-432,536-560,,
Thermo,390,0-24,480-512,,,
Thermo,391,352-392,,,,
Thermo,392,0-432,,,,
Thermo,393,,,,,
Thermo,394,112-208,304-560,,,
Thermo,395,280-368,,,,
Thermo,396,248-504,,,,
Thermo,397,192-464,,,,
Thermo,398,144-168,344-392,,,
Thermo,399,,,,,
Thermo,400,8-48,128-376,,,
Thermo,401,0-472,,,,
Thermo,402,344-400,,,,
Thermo,403,24-72,280-424,,,
Thermo,404,144-192,320-392,,,
Thermo,405,264-440,,,,
Thermo,406,336-432,,,,
Thermo,407,32-88,368-400,,,
Thermo,408,360-456,,,,
Thermo,409,352-424,,,,
Thermo,410,280-432,,,,
Thermo,411,,,,,
Thermo,412,376-560,,,,
Thermo,413,256-432,,,,
Thermo,414,176-208,304-472,,,
Thermo,415,240-424,,,,
Thermo,416,272-440,,,,
Thermo,417,24-128,344-488,,,
Thermo,418,48-104,136-384,,,
Thermo,419,200-392,,,,
Thermo,420,312-560,,,,
Thermo,421,0-176,280-472,,,
Thermo,422,0-152,360-424,,,
Thermo,423,384-544,,,,
Thermo,424,40-112,312-400,480-560,,
Thermo,425,344-552,,,,
Thermo,426,248-392,,,,
Thermo,427,368-416,,,,
Thermo,428,352-416,,,,
Thermo,429,32-136,,,,
Thermo,430,344-560,,,,
Thermo,431,336-376,,,,
Thermo,432,,,,,
Thermo,433,24-32,56-72,296-528,,
Thermo,434,0-392,,,,
Thermo,435,24-144,208-256,360-560,,
Thermo,436,56-88,152-392,,,
Thermo,437,216-392,520-560,,,
Thermo,438,240-304,376-432,,,
Thermo,439,200-536,,,,
Thermo,440,0-24,104-144,264-448,,
Thermo,441,384-416,,,,
Thermo,442,0-40,376-464,,,
Thermo,443,0-80,344-400,,,
Thermo,444,248-384,,,,
Thermo,445,0-16,360-432,,,
Thermo,446,352-432,528-560,,,
Thermo,447,320-528,,,,
Thermo,448,0-24,376-424,488-560,,
Thermo,449,248-320,,,,
Thermo,450,280-400,456-488,,,
Thermo,451,0-56,320-424,,,
Thermo,452,312-416,,,,
Thermo,453,264-400,,,,
Thermo,454,320-376,480-560,,,
Thermo,455,0-40,112-184,360-560,,
Thermo,456,128-360,520-560,,,
Thermo,457,336-496,,,,
Thermo,458,64-136,288-552,,,
Thermo,459,296-408,,,,
Thermo,460,200-408,,,,
Thermo,461,8-48,304-440,,,
Thermo,462,56-432,,,,
Thermo,463,0-96,216-312,400-560,,
Thermo,464,360-456,,,,
Thermo,465,0-72,280-560,,,
Thermo,466,40-80,424-536,,,
Thermo,467,320-400,,,,
Thermo,468,336-432,,,,
Thermo,469,0-32,336-520,,,
Thermo,470,,,,,
Thermo,471,256-560,,,,
Thermo,472,328-560,,,,
Thermo,473,88-136,328-416,,,
Thermo,474,352-472,,,,
Thermo,475,112-192,360-544,,,
Thermo,476,360-416,,,,
Thermo,477,336-424,472-552,,,
Thermo,478,32-192,328-392,520-560,,
Thermo,479,0-56,136-184,344-472,,
Thermo,480,,,,,
Thermo,481,176-248,336-560,,,
Thermo,482,384-416,,,,
Thermo,483,0-192,456-552,,,
Thermo,484,288-520,,,,
Thermo,485,144-392,472-496,,,
Thermo,486,328-448,,,,
Thermo,487,288-560,,,,
Thermo,488,216-456,,,,
Thermo,489,200-424,512-560,,,
Thermo,490,360-400,,,,
Thermo,491,72-232,448-560,,,
Thermo,492,224-440,,,,
Thermo,493,256-296,400-472,,,
Thermo,494,112-200,352-424,,,
Thermo,495,0-96,248-424,480-536,,
Thermo,496,0-24,48-248,416-472,528-544,
Thermo,497,352-424,,,,
Thermo,498,0-136,240-272,416-448,,
Thermo,499,,,,,
Thermo,500,0-136,208-560,,,
Thermo,501,80-104,272-408,,,
Thermo,502,392-552,,,,
Thermo,503,208-416,,,,
Thermo,504,8-48,168-264,352-392,,
Thermo,505,376-560,,,,
Thermo,506,64-96,280-512,,,
Thermo,507,352-448,,,,
Thermo,508,40-64,152-192,344-400,,
Thermo,509,344-528,,,,
Thermo,510,304-432,,,,
Thermo,511,32-224,336-424,,,
Thermo,512,240-456,,,,
Thermo,513,0-40,136-152,256-456,,
Thermo,514,0-24,192-320,,,
Thermo,515,184-400,,,,
Thermo,516,272-408,520-560,,,
Thermo,517,0-80,384-528,,,
Thermo,518,0-96,336-376,,,
Thermo,519,248-432,,,,
Thermo,520,104-128,384-464,,,
Thermo,521,8-144,256-448,,,
Thermo,522,0-8,48-144,240-384,456-544,
Thermo,523,104-128,360-408,528-552,,
Thermo,524,256-416,,,,
Thermo,525,80-176,256-544,,,
Thermo,526,352-392,536-560,,,
Thermo,527,304-408,,,,
Thermo,528,0-160,376-416,,,
Thermo,529,112-200,328-384,,,
Thermo,530,0-40,120-176,360-392,496-504,520-536
Thermo,531,336-496,,,,
Thermo,532,48-104,376-408,,,
Thermo,533,304-560,,,,
Thermo,534,144-208,352-416,,,
Thermo,535,176-264,344-512,,,
Thermo,536,104-152,248-312,464-480,,
Thermo,537,72-392,,,,
Thermo,538,,,,,
Thermo,539,,,,,
Thermo,540,304-400,,,,
Thermo,541,0-48,352-528,,,
Thermo,542,352-400,,,,
Thermo,543,232-424,528-552,,,
Thermo,544,232-400,,,,
Thermo,545,336-560,,,,
Thermo,546,8-40,352-408,,,
Thermo,547,208-280,,,,
Thermo,548,400-560,,,,
Thermo,549,104-416,,,,
Thermo,550,376-416,,,,
Thermo,551,88-232,360-416,,,
Thermo,552,320-392,,,,
Thermo,553,0-112,360-448,,,
Thermo,554,104-232,336-536,,,
Thermo,555,224-472,,,,
Thermo,556,296-456,,,,
Thermo,557,352-384,,,,
Thermo,558,0-392,480-512,,,
Thermo,559,344-416,,,,
Thermo,560,8-136,312-456,,,
Thermo,561,256-384,,,,
Thermo,562,328-416,,,,
Thermo,563,368-408,,,,
Thermo,564,320-448,512-520,536-552,,
Thermo,565,104-128,248-488,,,
Thermo,566,240-464,,,,
Thermo,567,352-464,,,,
Thermo,568,200-352,,,,
Thermo,569,,,,,
Thermo,570,48-104,336-560,,,
Thermo,571,160-464,,,,
Thermo,572,152-184,296-424,464-472,,
Thermo,573,64-544,,,,
Thermo,574,336-480,,,,
Thermo,575,24-296,336-360,,,
Thermo,576,192-392,,,,
Thermo,577,0-56,336-416,488-560,,
Thermo,578,152-216,360-432,,,
Thermo,579,368-432,,,,
Thermo,580,0-104,344-456,,,
Thermo,581,352-408,488-560,,,
Thermo,582,344-384,,,,
